wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986248.671340,2026-07-25T21:30:48.671+08:00,-0.003118,-0.068958,0.002215,0.005708,-0.005708,0.106553,418.611
1784986248.721297,2026-07-25T21:30:48.721+08:00,-0.008566,-0.072493,0.000000,0.009627,-0.009016,0.044731,369.194
1784986248.821274,2026-07-25T21:30:48.821+08:00,-0.009584,-0.070857,0.000000,0.008519,-0.007340,0.041193,270.450
1784986248.926341,2026-07-25T21:30:48.926+08:00,-0.009612,-0.072406,0.000000,0.009923,-0.008886,0.014328,276.157
1784986249.021212,2026-07-25T21:30:49.021+08:00,0.021435,-0.071769,0.026632,0.009526,-0.009526,0.228602,271.669
1784986249.121290,2026-07-25T21:30:49.121+08:00,0.065725,-0.070308,0.070944,0.009887,-0.009887,0.019450,272.387
1784986249.221272,2026-07-25T21:30:49.221+08:00,0.130174,-0.068168,0.135427,0.010397,-0.010397,0.343341,273.009
1784986249.371195,2026-07-25T21:30:49.371+08:00,0.183576,-0.060324,0.189107,0.004755,-0.004755,1.338518,323.572
1784986249.422762,2026-07-25T21:30:49.422+08:00,0.232619,-0.060692,0.238093,0.007138,-0.007138,1.681393,275.779
1784986249.571178,2026-07-25T21:30:49.571+08:00,0.289770,-0.057059,0.295345,0.005857,-0.005857,2.099729,324.835
1784986249.622261,2026-07-25T21:30:49.622+08:00,0.339122,-0.047395,0.345052,0.001771,0.001771,2.114184,276.558
1784986249.771144,2026-07-25T21:30:49.771+08:00,0.386043,-0.037926,0.392323,0.009304,0.009304,2.361637,326.081
1784986249.871162,2026-07-25T21:30:49.871+08:00,0.433384,-0.035492,0.439724,0.009790,0.009790,2.275296,326.739
1784986249.971283,2026-07-25T21:30:49.971+08:00,0.487126,-0.032766,0.494175,0.006967,0.006967,2.633587,327.500
1784986250.071208,2026-07-25T21:30:50.071+08:00,0.525617,-0.029735,0.532758,0.005546,0.005546,3.169135,328.065
1784986250.171205,2026-07-25T21:30:50.171+08:00,0.567116,-0.031447,0.573784,0.000933,-0.000933,3.335112,328.701
1784986250.271194,2026-07-25T21:30:50.271+08:00,0.609863,-0.038067,0.615485,0.012431,-0.012431,3.497360,329.331
1784986250.371257,2026-07-25T21:30:50.371+08:00,0.658742,-0.044486,0.663299,0.024434,-0.024434,2.770299,330.034
1784986250.471092,2026-07-25T21:30:50.471+08:00,0.711579,-0.042189,0.716050,0.028237,-0.028237,2.846352,330.509
1784986250.571150,2026-07-25T21:30:50.571+08:00,0.750028,-0.033501,0.755244,0.024033,-0.024033,2.679651,331.207
1784986250.671130,2026-07-25T21:30:50.671+08:00,0.804818,-0.026458,0.810480,0.023346,-0.023346,2.929273,331.827
1784986250.771167,2026-07-25T21:30:50.771+08:00,0.858711,-0.016998,0.865103,0.020154,-0.020154,3.027829,332.504
1784986250.871295,2026-07-25T21:30:50.871+08:00,0.896565,-0.012435,0.905196,0.017991,-0.017991,3.852765,333.316
1784986250.971233,2026-07-25T21:30:50.971+08:00,0.945787,-0.013671,0.954400,0.019816,-0.019816,3.818759,333.850
1784986251.071233,2026-07-25T21:30:51.071+08:00,0.994189,-0.005814,1.002893,0.012539,-0.012539,3.558618,337.231
1784986251.171243,2026-07-25T21:30:51.171+08:00,1.045175,0.001632,1.053964,0.005704,-0.005704,2.899220,335.184
1784986251.271713,2026-07-25T21:30:51.271+08:00,1.096505,0.010455,1.105396,0.002503,0.002503,2.967003,336.294
1784986251.371095,2026-07-25T21:30:51.371+08:00,1.149703,0.018127,1.158682,0.009538,0.009538,2.601140,336.272
1784986251.471325,2026-07-25T21:30:51.471+08:00,1.208120,0.015499,1.217063,0.006210,0.006210,2.508004,337.142
1784986251.571171,2026-07-25T21:30:51.571+08:00,1.262645,0.017621,1.271610,0.007679,0.007679,2.785951,337.628
1784986251.671185,2026-07-25T21:30:51.671+08:00,1.308453,0.020632,1.317451,0.010141,0.010141,2.701576,338.282
1784986251.821317,2026-07-25T21:30:51.821+08:00,1.362956,0.017797,1.371998,0.006155,0.006155,1.987054,389.054
