1784986236.479227 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784986236.813836957] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784986236.814699773] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-17/route_horizontal.csv
[INFO] [1784986236.815363318] [waypoint_follower]: route points: 1277
[INFO] [1784986236.816485568] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784986236.817170202] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784986236.817801202] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784986236.843944266] [waypoint_follower]: FOLLOWER_EXACT_TRACE_READY file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-17/follower_control_trace.jsonl base_sha256=d205a596fc6118ad7fa191871c646173cb545ab4b136e46de360598e38261120
[INFO] [1784986236.844632228] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_ACTIVE file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-17/.motion_enabled
[INFO] [1784986236.845394209] [waypoint_follower]: FOLLOWER_HORIZONTAL_FRAME_CALIBRATING metadata=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-17/route_horizontal.json lidar_imu=/livox/imu body_imu=/lf/sportmodestate samples=15 max_spread_deg=1.500 max_source_disagreement_deg=3.000
[INFO] [1784986239.833746866] [waypoint_follower]: FOLLOWER_HORIZONTAL_FRAME_READY samples=15 spread_deg=0.756002 source_disagreement_deg=1.205764 map_up=(-0.561260271,-0.062977280,0.825239826)
[INFO] [1784986239.837060271] [waypoint_follower]: FOLLOWER_HORIZONTAL_CALIBRATION_INPUT_FROZEN lidar_imu_subscription=closed
[INFO] [1784986239.841454741] [waypoint_follower]: FOLLOWER_HORIZONTAL_ROUTE_ANCHORED x=-0.005566 y=-0.063345 yaw_deg=-0.381280 rotation_deg=-15.466573
[INFO] [1784986239.844735376] [waypoint_follower]: init nearest_index=0, distance_to_start=0.000
[INFO] [1784986240.826980098] [waypoint_follower]: FOLLOWER_ODOM_READY callbacks=20 age_ms=422.750 source_gap_ms=198.868
[INFO] [1784986248.672347062] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_RELEASED file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-17/.motion_enabled receive_age_ms=71.185 stamp_age_ms=418.611
[WARN] [1784986248.674285120] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1784986248.675453964] [waypoint_follower]: nearest=0, target=2, dist=0.88, alpha=0.09, vx=0.50, yaw_rate=0.08, dir=1
[INFO] [1784986249.724238374] [waypoint_follower]: nearest=1, target=3, dist=0.99, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784986250.723118767] [waypoint_follower]: nearest=2, target=4, dist=0.96, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986251.774628979] [waypoint_follower]: nearest=3, target=5, dist=0.92, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784986252.822606531] [waypoint_follower]: nearest=4, target=6, dist=0.81, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784986253.823356646] [waypoint_follower]: nearest=5, target=7, dist=0.85, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986254.873272740] [waypoint_follower]: nearest=6, target=8, dist=0.79, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784986255.873401105] [waypoint_follower]: nearest=7, target=9, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986256.927857821] [waypoint_follower]: nearest=8, target=10, dist=0.75, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784986257.972904118] [waypoint_follower]: nearest=10, target=12, dist=1.12, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784986258.973945912] [waypoint_follower]: nearest=11, target=13, dist=1.06, alpha=-0.09, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784986260.022664384] [waypoint_follower]: nearest=12, target=14, dist=0.99, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784986261.072625641] [waypoint_follower]: nearest=13, target=15, dist=0.95, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784986262.075957045] [waypoint_follower]: nearest=14, target=16, dist=0.92, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784986263.123122583] [waypoint_follower]: nearest=15, target=17, dist=0.91, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784986264.123438000] [waypoint_follower]: nearest=16, target=18, dist=0.88, alpha=0.01, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784986265.123637398] [waypoint_follower]: nearest=17, target=19, dist=0.84, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784986266.172963965] [waypoint_follower]: nearest=18, target=20, dist=0.77, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784986267.172978780] [waypoint_follower]: nearest=19, target=21, dist=0.76, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
