id,x,y,yaw,v
0,-0.007,0.009,0.0097,0.2
1,0.393,0.013,0.0097,0.2
2,0.793,0.017,0.0097,0.2
3,1.193,0.021,0.0097,0.2
4,1.593,0.025,0.0097,0.2
5,1.993,0.028,0.0097,0.2
6,2.393,0.032,0.0097,0.2
7,2.793,0.036,0.0097,0.2
8,3.193,0.04,0.0097,0.2
9,3.592,0.044,0.0741,0.2
10,3.991,0.074,0.0741,0.2
11,4.39,0.103,0.0741,0.2
12,4.789,0.133,0.0741,0.2
13,5.188,0.162,0.0741,0.2
14,5.587,0.192,0.0741,0.2
15,5.986,0.222,0.0741,0.2
16,6.385,0.251,0.0741,0.2
17,6.783,0.281,0.0502,0.2
18,7.183,0.301,0.0502,0.2
19,7.582,0.321,0.0502,0.2
20,7.982,0.341,0.0502,0.2
21,8.381,0.361,0.0502,0.2
22,8.781,0.381,0.0502,0.2
23,9.18,0.401,0.0502,0.2
24,9.58,0.421,0.0502,0.2
25,9.979,0.441,0.0502,0.2
26,10.379,0.462,0.0502,0.2
27,10.778,0.482,0.0502,0.2
28,11.178,0.502,0.0502,0.2
29,11.577,0.522,0.0502,0.2
30,11.977,0.542,0.0502,0.2
31,12.376,0.562,0.0502,0.2
32,12.776,0.582,0.0502,0.2
33,13.175,0.602,0.0502,0.2
34,13.575,0.622,0.0502,0.2
35,13.974,0.642,0.0502,0.2
36,14.374,0.662,0.0502,0.2
37,14.773,0.682,0.0502,0.2
38,15.173,0.702,0.0502,0.2
39,15.572,0.723,0.0502,0.2
40,15.972,0.743,0.0502,0.2
41,16.371,0.763,0.0502,0.2
42,16.771,0.783,0.0502,0.2
43,17.17,0.803,0.0599,0.2
44,17.57,0.827,0.0599,0.2
45,17.969,0.851,0.0599,0.2
46,18.368,0.875,0.0599,0.2
47,18.767,0.899,0.0599,0.2
48,19.167,0.923,0.0599,0.2
49,19.566,0.947,0.0599,0.2
50,19.965,0.97,0.0599,0.2
51,20.365,0.994,0.0599,0.2
52,20.764,1.018,0.0599,0.2
53,21.163,1.042,0.0599,0.2
54,21.562,1.066,0.0599,0.2
55,21.962,1.09,0.0599,0.2
56,22.361,1.114,0.0599,0.2
57,22.76,1.138,0.0599,0.2
58,23.159,1.162,0.0179,0.2
59,23.559,1.169,0.0179,0.2
60,23.959,1.176,0.0179,0.2
61,24.359,1.184,0.0179,0.2
62,25.47224425033511,1.2459046554663757,0.0179,0.2
63,26.336173481130658,1.2744929130134182,0.0179,0.2
64,27.235259934582274,1.2747448933045007,0.0179,0.2
65,27.989127819455092,1.293693075194156,0.0179,0.2
66,28.389127819455126,1.3006930751941326,0.0179,0.2
67,28.58812781945508,1.3046930751941517,0.0522,0.2
68,28.988127819455116,1.3256930751941383,0.0522,0.2
69,29.387127819455117,1.3466930751941533,0.0522,0.2
70,29.786127819455118,1.3676930751941399,0.0522,0.2
71,30.186127819455095,1.3886930751941549,0.0522,0.2
72,30.585127819455096,1.4086930751941367,0.0522,0.2
73,30.98512781945513,1.4296930751941517,0.0522,0.2
74,31.38412781945513,1.4506930751941383,0.0522,0.2
75,31.784127819455108,1.4716930751941533,0.0522,0.2
76,32.18312781945511,1.4926930751941399,0.0522,0.2
77,32.583127819455086,1.5136930751941549,0.0522,0.2
78,32.98212781945509,1.5346930751941414,0.0522,0.2
79,33.38212781945512,1.5556930751941564,0.0522,0.2
80,33.58112781945508,1.5656930751941474,0.0014,0.2
81,33.98112781945511,1.5666930751941521,0.0014,0.2
82,34.38112781945509,1.5666930751941521,0.0014,0.2
83,34.78112781945512,1.567693075194157,0.0014,0.2
84,35.1811278194551,1.567693075194157,0.0014,0.2
85,35.58112781945513,1.5686930751941333,0.0014,0.2
86,35.98112781945511,1.5686930751941333,0.0014,0.2
87,36.38112781945509,1.569693075194138,0.0014,0.2
88,36.78112781945512,1.5706930751941428,0.0014,0.2
89,37.1811278194551,1.5706930751941428,0.0014,0.2
90,37.58112781945513,1.5716930751941476,0.0014,0.2
91,37.98112781945511,1.5716930751941476,0.0014,0.2
