id,x,y,yaw,v
0,-0.800000,0.200000,-0.012473989,0.200
1,-0.351337,0.215840,0.000853019,0.200
2,0.082104,0.263526,0.000273104,0.200
3,0.529950,0.266283,0.013396100,0.200
4,0.966026,0.274529,0.027481231,0.200
5,1.437595,0.270885,0.041567680,0.200
6,1.895864,0.339136,0.045727672,0.200
7,2.379457,0.340954,0.045749664,0.200
8,2.829538,0.403992,0.050245996,0.200
9,3.314864,0.440680,0.059723500,0.200
10,3.774273,0.470469,0.071930178,0.200
11,4.256455,0.501012,0.050002179,0.200
12,4.696753,0.433612,-0.097852674,0.200
13,5.125478,0.425486,-0.090827491,0.200
14,5.585145,0.383693,-0.088273266,0.200
15,6.075103,0.342155,-0.083793082,0.200
16,6.523949,0.337121,-0.077385446,0.200
17,7.001155,0.311810,-0.069896384,0.200
18,7.469940,0.310914,-0.067950538,0.200
19,7.915544,0.268200,-0.068406992,0.200
20,8.384520,0.252792,-0.055108383,0.200
21,8.842790,0.245027,-0.055870289,0.200
22,9.295017,0.257724,-0.045085319,0.200
23,9.750775,0.216282,-0.035898211,0.200
24,10.228900,0.230560,-0.019528967,0.200
25,10.696124,0.208764,-0.009688117,0.200
26,11.161975,0.235413,0.002116988,0.200
27,11.646398,0.244355,0.011294451,0.200
28,12.128408,0.260665,0.030467966,0.200
29,12.609256,0.264263,0.035938272,0.200
30,13.057725,0.295013,0.040160636,0.200
31,13.534800,0.351604,0.044925275,0.200
32,14.014709,0.375284,0.060298728,0.200
33,14.450130,0.337521,0.009045780,0.200
34,14.900309,0.371562,0.026137888,0.200
35,15.383061,0.407116,0.025702611,0.200
36,15.843921,0.414728,0.027633731,0.200
37,16.284918,0.425244,0.048098098,0.200
38,16.720467,0.464219,0.069024557,0.200
39,17.150829,0.481774,0.082903180,0.200
40,17.586526,0.501369,0.002964667,0.200
41,18.062177,0.464377,-0.001369284,0.200
42,18.504376,0.492736,-0.008551887,0.200
43,18.961009,0.473704,-0.000031088,0.200
44,19.440309,0.493769,0.005317951,0.200
45,19.897241,0.517545,0.017664247,0.200
46,20.395086,0.528372,-0.037054629,0.200
47,20.992644,0.481945,-0.043567390,0.200
48,21.407166,0.478378,-0.049725115,0.200
49,21.866426,0.449074,-0.052181251,0.200
50,22.347222,0.434532,-0.048894937,0.200
51,22.792399,0.447718,-0.041081517,0.200
52,23.239439,0.442791,-0.033583144,0.200
53,23.681209,0.402319,-0.035759199,0.200
54,24.148595,0.397379,-0.026181553,0.200
55,24.638252,0.405206,-0.022175145,0.200
56,25.128041,0.392298,-0.003486716,0.200
57,25.595929,0.407038,0.001665713,0.200
58,26.105939,0.407271,-0.002990540,0.200
59,26.555234,0.441221,0.001615051,0.200
60,27.053971,0.456696,0.005323233,0.200
61,27.555758,0.437209,-0.033583221,0.200
62,27.987571,0.442997,-0.030059955,0.200
63,28.479486,0.418226,-0.055487883,0.200
64,28.918165,0.395083,-0.093910267,0.200
65,29.422153,0.336828,-0.080562719,0.200
66,29.857123,0.263342,-0.084314458,0.200
67,30.295861,0.268662,-0.083665206,0.200
68,30.799514,0.251812,-0.057027505,0.200
69,31.294872,0.207907,-0.068281016,0.200
70,31.759660,0.208837,-0.071721947,0.200
71,32.268915,0.158635,-0.064227323,0.200
72,32.718129,0.159046,-0.063352062,0.200
73,33.170858,0.146312,-0.057187266,0.200
74,33.595772,0.136613,-0.051834433,0.200
75,34.073122,0.103211,-0.050051433,0.200
76,34.559025,0.102707,-0.038401404,0.200
77,35.017313,0.091679,-0.038418958,0.200
78,35.496460,0.091044,-0.023965992,0.200
79,35.968749,0.079342,-0.008584882,0.200
80,36.451684,0.055794,-0.009206306,0.200
81,36.904251,0.020019,-0.005273569,0.200
82,37.366953,0.043739,-0.007693588,0.200
83,37.847329,0.082704,-0.004988127,0.200
84,38.281778,0.095574,-0.003999192,0.200
85,38.778843,0.103795,0.001994512,0.200
86,39.265836,0.025019,0.001482106,0.200
87,39.711676,0.066634,0.001836053,0.200
88,40.142190,0.095609,0.006754210,0.200
89,40.620215,0.144874,0.012986871,0.200
90,41.142253,0.140090,0.016352335,0.200
91,41.606159,0.147169,0.016344941,0.200
92,42.053109,0.175191,0.018677796,0.200
93,42.504006,0.161964,0.023041912,0.200
94,42.962735,0.137637,0.029303610,0.200
95,43.406382,0.144956,0.033204483,0.200
96,43.870390,0.157781,0.035101982,0.200
97,44.307884,0.225243,0.040488248,0.200
98,44.770039,0.297418,0.043785688,0.200
99,45.289656,0.291388,0.041624161,0.200
100,45.730528,0.277873,-0.010806427,0.200
101,46.198810,0.169856,-0.083514795,0.200
102,46.639730,0.187835,-0.083831994,0.200
103,47.093059,0.209329,-0.082455411,0.200
104,47.584394,0.186218,-0.065209244,0.200
105,48.035272,0.152019,-0.053455020,0.200
106,48.504486,0.104218,-0.043748757,0.200
107,48.977422,0.116836,-0.036136474,0.200
108,49.432120,0.135298,-0.032793407,0.200
109,49.896912,0.129208,-0.029055423,0.200
110,50.396410,0.075344,-0.021281515,0.200
111,50.943417,0.125554,-0.015758102,0.200
112,51.399913,0.152303,-0.013489131,0.200
113,51.838260,0.115291,-0.004904498,0.200
114,52.351280,0.121843,0.001499421,0.200
115,52.823691,0.150963,0.009003768,0.200
116,53.270966,0.133478,0.011279398,0.200
117,53.692559,0.171338,0.014578990,0.200
118,54.130227,0.216919,0.027589471,0.200
119,54.586278,0.195474,0.030350471,0.200
120,55.109289,0.170455,0.036508276,0.200
121,55.560717,0.187800,0.039785977,0.200
122,56.001469,0.284435,0.012879970,0.200
123,56.446312,0.252039,-0.072984515,0.200
124,56.927137,0.127215,-0.208440352,0.200
125,57.396349,-0.013079,-0.324093814,0.200
126,57.845085,-0.199445,-0.327037771,0.200
127,58.265365,-0.323589,-0.330658205,0.200
128,58.705825,-0.436783,-0.346809259,0.200
129,59.161121,-0.626938,-0.452116233,0.200
130,59.503816,-0.884943,-0.563568064,0.200
131,59.942969,-1.128031,-0.556251140,0.200
132,60.334346,-1.306667,-0.554914223,0.200
133,60.723520,-1.639626,-0.549003756,0.200
134,61.080288,-1.883390,-0.604955418,0.200
135,61.459714,-2.201759,-0.715784590,0.200
136,61.778946,-2.545923,-0.874764906,0.200
137,62.098795,-2.938553,-0.861047259,0.200
138,62.395390,-3.296648,-0.854460098,0.200
139,62.701553,-3.648711,-0.851195719,0.200
140,63.032658,-3.994256,-0.846107860,0.200
141,63.339992,-4.334772,-0.839526495,0.200
142,63.650615,-4.666093,-0.838272306,0.200
143,63.986645,-4.989495,-0.830365213,0.200
144,64.304609,-5.360316,-0.825264249,0.200
145,64.627702,-5.781684,-0.921813086,0.200
146,64.825176,-6.148045,-1.079941425,0.200
147,64.994247,-6.594070,-1.208508668,0.200
148,65.075021,-7.029537,-1.410014818,0.200
149,65.165133,-7.476257,-1.410495308,0.200
150,65.233552,-7.906177,-1.403730762,0.200
151,65.303943,-8.337045,-1.419859922,0.200
152,65.297931,-8.823970,-1.545481946,0.200
153,65.336103,-9.310854,-1.539507464,0.200
154,65.375398,-9.772704,-1.533847516,0.200
155,65.431265,-10.220515,-1.529466999,0.200
156,65.431645,-10.680658,-1.527452224,0.200
157,65.444450,-11.157668,-1.522486992,0.200
158,65.437981,-11.573818,-1.513177713,0.200
159,65.504804,-12.042805,-1.509652677,0.200
160,65.556713,-12.489054,-1.508362928,0.200
161,65.565674,-12.970241,-1.569943780,0.200
162,65.492224,-13.393801,-1.643395748,0.200
163,65.452734,-13.828070,-1.635905584,0.200
164,65.422279,-14.271773,-1.633916700,0.200
165,65.379647,-14.742297,-1.629253354,0.200
166,65.389475,-15.201883,-1.623925482,0.200
167,65.389882,-15.634777,-1.622409942,0.200
168,65.357602,-16.132499,-1.617421814,0.200
169,65.328036,-16.611658,-1.609772799,0.200
170,65.308080,-17.049714,-1.604984499,0.200
171,65.299307,-17.495101,-1.598978313,0.200
172,65.293876,-17.895934,-1.602189014,0.200
173,65.285078,-18.340598,-1.597425518,0.200
174,65.260046,-18.755416,-1.590982565,0.200
175,65.267644,-19.188287,-1.587659686,0.200
176,65.279190,-19.647908,-1.577274532,0.200
177,65.300833,-20.080989,-1.576415532,0.200
178,65.285551,-20.522537,-1.570030828,0.200
179,65.286644,-20.935738,-1.562620725,0.200
180,65.315391,-21.418199,-1.556559504,0.200
181,65.330871,-21.857767,-1.557573336,0.200
182,65.348597,-22.273384,-1.561490748,0.200
183,65.360262,-22.738336,-1.558059927,0.200
184,65.374029,-23.176891,-1.546167481,0.200
185,65.378814,-23.627241,-1.539961059,0.200
186,65.400606,-24.069747,-1.538420317,0.200
187,65.420702,-24.500383,-1.537348605,0.200
188,65.469860,-24.933642,-1.553067190,0.200
189,65.456382,-25.359709,-1.596614882,0.200
190,65.396986,-25.764292,-1.635228577,0.200
191,65.368192,-26.192316,-1.630543041,0.200
192,65.364373,-26.643377,-1.626476493,0.200
193,65.365060,-27.075486,-1.620695224,0.200
194,65.309970,-27.494201,-1.623306933,0.200
195,65.292947,-27.945253,-1.613399921,0.200
196,65.268897,-28.389499,-1.613206691,0.200
197,65.254707,-28.830781,-1.612194818,0.200
198,65.302022,-29.283224,-1.614388142,0.200
199,65.255659,-29.710913,-1.612317384,0.200
200,65.198307,-30.144447,-1.607957455,0.200
201,65.197200,-30.610812,-1.591640937,0.200
202,65.230655,-31.059689,-1.590104302,0.200
203,65.245446,-31.518469,-1.591893232,0.200
204,65.173465,-31.923442,-1.587621489,0.200
205,65.207569,-32.363998,-1.577633837,0.200
206,65.233583,-32.826361,-1.574598745,0.200
207,65.251498,-33.296502,-1.571940166,0.200
208,65.248150,-33.715130,-1.569724582,0.200
209,65.234666,-34.145304,-1.555754536,0.200
210,65.285208,-34.574218,-1.555519569,0.200
211,65.280327,-35.083674,-1.614482614,0.200
212,65.243802,-35.505113,-1.646385941,0.200
213,65.190141,-35.905267,-1.635682150,0.200
214,65.196791,-36.331187,-1.625820085,0.200
215,65.197184,-36.798460,-1.631171895,0.200
216,65.186376,-37.237827,-1.621987958,0.200
217,65.148607,-37.684241,-1.611406048,0.200
218,65.132059,-38.147317,-1.607930799,0.200
219,65.132501,-38.559961,-1.603209347,0.200
220,65.112687,-39.007921,-1.602314372,0.200
221,65.101552,-39.442377,-1.598972018,0.200
222,65.089683,-39.876198,-1.591969541,0.200
223,65.093021,-40.325005,-1.580108925,0.200
224,65.073322,-40.761560,-1.577083021,0.200
225,65.064054,-41.219621,-1.567305666,0.200
226,65.075895,-41.663773,-1.563777002,0.200
227,65.084658,-42.126329,-1.552147420,0.200
228,65.111788,-42.577237,-1.557004309,0.200
229,65.133151,-43.025798,-1.556405581,0.200
230,65.126595,-43.539979,-1.544187689,0.200
231,65.137503,-43.982023,-1.534622941,0.200
232,65.160413,-44.428159,-1.531182609,0.200
233,65.186773,-44.863242,-1.527138340,0.200
234,65.191473,-45.277210,-1.525905741,0.200
235,65.219313,-45.723295,-1.525362108,0.200
236,65.259088,-46.201126,-1.520315045,0.200
237,65.277212,-46.654143,-1.518639286,0.200
238,65.316304,-47.102448,-1.519515749,0.200
239,65.341872,-47.576327,-1.531411098,0.200
240,65.350615,-48.135669,-1.529540124,0.200
241,65.368087,-48.621732,-1.529329233,0.200
242,65.403454,-49.068728,-1.525433646,0.200
243,65.403711,-49.525137,-1.536942301,0.200
244,65.435324,-49.944790,-1.576624580,0.200
245,65.384218,-50.396009,-1.648734301,0.200
246,65.347935,-50.852937,-1.654286282,0.200
247,65.287334,-51.314339,-1.649748112,0.200
248,65.263872,-51.740411,-1.649503436,0.200
249,65.284011,-52.178225,-1.641554908,0.200
250,65.222901,-52.611049,-1.631253584,0.200
251,65.203800,-53.049253,-1.630552542,0.200
252,65.200608,-53.489647,-1.625927172,0.200
253,65.145248,-53.917832,-1.619894166,0.200
254,65.143073,-54.360522,-1.616397752,0.200
255,65.154587,-54.791723,-1.613259838,0.200
256,65.135532,-55.250572,-1.613403444,0.200
257,65.121668,-55.688287,-1.609376851,0.200
258,65.116851,-56.143936,-1.600188673,0.200
259,65.079770,-56.579473,-1.597029061,0.200
260,65.081866,-57.012720,-1.594983054,0.200
261,65.085329,-57.437248,-1.597956220,0.200
262,65.089355,-57.974375,-1.600665042,0.200
263,65.056443,-58.425286,-1.592631028,0.200
264,65.023782,-58.847937,-1.586907147,0.200
