id,x,y,yaw,v
0,0.000000,0.000000,-0.011458982,0.200
1,0.448647,0.016295,0.001868026,0.200
2,0.882039,0.064421,0.001288111,0.200
3,1.329882,0.067633,0.014411107,0.200
4,1.765949,0.076322,0.028496238,0.200
5,2.237522,0.073156,0.042582687,0.200
6,2.695721,0.141872,0.046742679,0.200
7,3.179312,0.144181,0.046764671,0.200
8,3.629329,0.207676,0.051261003,0.200
9,4.114618,0.244857,0.060738507,0.200
10,4.573996,0.275112,0.072945185,0.200
11,5.056147,0.306144,0.051017186,0.200
12,5.496513,0.239191,-0.096837667,0.200
13,5.925246,0.231500,-0.089812484,0.200
14,6.384955,0.190173,-0.087258259,0.200
15,6.874955,0.149134,-0.082778075,0.200
16,7.323806,0.144555,-0.076370439,0.200
17,7.801037,0.119728,-0.068881377,0.200
18,8.269823,0.119308,-0.066935531,0.200
19,8.715470,0.077047,-0.067391985,0.200
20,9.184461,0.062114,-0.054093376,0.200
21,9.642739,0.054814,-0.054855282,0.200
22,10.094953,0.067971,-0.044070312,0.200
23,10.550753,0.026991,-0.034883204,0.200
24,11.028863,0.041754,-0.018513960,0.200
25,11.496109,0.020432,-0.008673110,0.200
26,11.961933,0.047554,0.003131995,0.200
27,12.446347,0.056988,0.012309458,0.200
28,12.928340,0.073788,0.031482973,0.200
29,13.409184,0.077873,0.036953279,0.200
30,13.857621,0.109079,0.041175643,0.200
31,14.334639,0.166154,0.045940282,0.200
32,14.814523,0.190321,0.061313735,0.200
33,15.249983,0.152999,0.010060787,0.200
34,15.700127,0.187498,0.027152895,0.200
35,16.182842,0.223542,0.026717618,0.200
36,16.643695,0.231621,0.028648738,0.200
37,17.084681,0.242585,0.049113105,0.200
38,17.520190,0.282002,0.070039564,0.200
39,17.950533,0.299994,0.083918187,0.200
40,18.386210,0.320032,0.003979674,0.200
41,18.861899,0.283522,-0.000354277,0.200
42,19.304069,0.312330,-0.007536880,0.200
43,19.760721,0.293761,0.000983919,0.200
44,20.240001,0.314313,0.006332958,0.200
45,20.696908,0.338553,0.018679254,0.200
46,21.194741,0.349885,-0.036039622,0.200
47,21.792347,0.304065,-0.042552383,0.200
48,22.206872,0.300918,-0.048710108,0.200
49,22.666162,0.272080,-0.051166244,0.200
50,23.146972,0.258027,-0.047879930,0.200
51,23.592135,0.271665,-0.040066510,0.200
52,24.039180,0.267191,-0.032568137,0.200
53,24.480991,0.227167,-0.034744192,0.200
54,24.948382,0.222702,-0.025166546,0.200
55,25.438030,0.231025,-0.021160138,0.200
56,25.927833,0.218615,-0.002471709,0.200
57,26.395706,0.233830,0.002680720,0.200
58,26.905715,0.234581,-0.001975533,0.200
59,27.354975,0.268986,0.002630058,0.200
60,27.853696,0.284968,0.006338240,0.200
61,28.355502,0.265990,-0.032568214,0.200
62,28.787309,0.272217,-0.029044948,0.200
63,29.279249,0.247945,-0.054472876,0.200
64,29.717952,0.225247,-0.092895260,0.200
65,30.221998,0.167503,-0.079547712,0.200
66,30.657043,0.094459,-0.083299451,0.200
67,31.095775,0.100224,-0.082650199,0.200
68,31.599445,0.083886,-0.056012498,0.200
69,32.094847,0.040483,-0.067266009,0.200
70,32.559634,0.041885,-0.070706940,0.200
71,33.068940,-0.007799,-0.063212316,0.200
72,33.518153,-0.006933,-0.062337055,0.200
73,33.970895,-0.019208,-0.056172259,0.200
74,34.395818,-0.028475,-0.050819426,0.200
75,34.873202,-0.061392,-0.049036426,0.200
76,35.359106,-0.061403,-0.037386397,0.200
77,35.817404,-0.071966,-0.037403951,0.200
78,36.296552,-0.072115,-0.022950985,0.200
79,36.768852,-0.083337,-0.007569875,0.200
80,37.251811,-0.106395,-0.008191299,0.200
81,37.704414,-0.141711,-0.004258562,0.200
82,38.167092,-0.117521,-0.006678581,0.200
