# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778824266.375137568 -1.179666 -0.817061 -0.227886 0.225711681 0.024681815 -0.940482410 0.252859409 -2.598944122 keyframe_000000.pcd
1 1778824298.775683165 -1.997923 -1.363962 -0.436231 0.233567007 0.027211501 -0.932047430 0.275669323 -2.545614075 keyframe_000001.pcd
2 1778824307.675522089 -2.788856 -1.958652 -0.635659 0.242244482 0.030077062 -0.922739879 0.298268497 -2.491453200 keyframe_000002.pcd
3 1778824309.775460720 -3.337769 -2.451605 -0.736282 0.218706653 0.031243906 -0.888432608 0.402341546 -2.262336895 keyframe_000003.pcd
4 1778824309.975455761 -3.364135 -2.569253 -0.747601 0.208874995 0.022073441 -0.826736151 0.521911233 -1.977733966 keyframe_000004.pcd
5 1778824310.175554037 -3.371412 -2.705378 -0.779316 0.185824859 0.038242251 -0.772435301 0.606094348 -1.780478501 keyframe_000005.pcd
6 1778824310.575421572 -3.399254 -3.117740 -0.749474 0.183591005 0.034810162 -0.716673767 0.671908705 -1.602003874 keyframe_000006.pcd
7 1778824311.775493383 -3.391633 -4.173860 -0.783833 0.183146782 0.041967094 -0.686412084 0.702520085 -1.513797271 keyframe_000007.pcd
8 1778824312.475561142 -3.268117 -4.955970 -0.787825 0.156020730 0.028745588 -0.616299514 0.771366406 -1.322579215 keyframe_000008.pcd
9 1778824313.375530481 -3.023789 -5.988556 -0.708439 0.151739895 0.025069253 -0.588409332 0.793801609 -1.251533363 keyframe_000009.pcd
10 1778824314.175394058 -2.748400 -6.963224 -0.663953 0.158324269 0.031920178 -0.578729759 0.799366245 -1.226537280 keyframe_000010.pcd
11 1778824315.075347662 -2.407190 -8.035014 -0.581263 0.154385928 0.027429578 -0.575637072 0.802530103 -1.219246088 keyframe_000011.pcd
12 1778824315.875391722 -2.082507 -9.052356 -0.528073 0.140534026 0.043114207 -0.573518355 0.805895806 -1.215554403 keyframe_000012.pcd
13 1778824317.271649837 -1.730586 -10.048712 -0.478647 0.132294457 0.037633592 -0.567910450 0.811516858 -1.202249222 keyframe_000013.pcd
14 1778824318.375272751 -1.386181 -10.999242 -0.401022 0.127231380 0.027458764 -0.561133652 0.817427193 -1.185945222 keyframe_000014.pcd
15 1778824319.574935436 -1.044382 -11.979394 -0.341928 0.118374568 0.027756334 -0.550317341 0.826055610 -1.160370977 keyframe_000015.pcd
16 1778824323.075185776 -0.559553 -12.875838 -0.262124 0.116537146 -0.008607386 -0.521721953 0.845074677 -1.094943458 keyframe_000016.pcd
17 1778824323.775276423 -0.123851 -13.940393 -0.159030 0.125810247 0.006676554 -0.517409393 0.846412857 -1.082404365 keyframe_000017.pcd
18 1778824324.275184393 0.396956 -15.089520 -0.047392 0.138768627 0.028127116 -0.537386733 0.831364922 -1.127227803 keyframe_000018.pcd
19 1778824324.675136566 0.803775 -16.216474 0.058359 0.126608975 0.026919458 -0.586486390 0.799549388 -1.248781199 keyframe_000019.pcd
20 1778824325.075238228 1.170100 -17.289035 0.131567 0.151302373 0.051273597 -0.590420980 0.791126840 -1.257571806 keyframe_000020.pcd
21 1778824328.170781136 1.518842 -18.266311 0.158101 0.140192277 0.038507949 -0.589000594 0.794947522 -1.254266081 keyframe_000021.pcd
22 1778824329.075006723 1.775843 -19.233783 0.219097 0.158686301 0.029820997 -0.577399980 0.800336573 -1.223185977 keyframe_000022.pcd
23 1778824329.474215508 1.869729 -19.717750 0.239046 0.149607656 0.015431492 -0.654314213 0.741115598 -1.423441345 keyframe_000023.pcd
24 1778824329.675071478 1.850611 -19.983684 0.222229 0.210824259 0.022170991 -0.722897026 0.657633232 -1.619769976 keyframe_000024.pcd
25 1778824330.075117350 1.644007 -20.426094 0.189308 0.217877558 0.016331063 -0.792967367 0.568740206 -1.851626573 keyframe_000025.pcd
26 1778824330.275010586 1.486292 -20.631960 0.162432 0.199227554 0.003167664 -0.858198692 0.473068021 -2.098977135 keyframe_000026.pcd
27 1778824330.475119591 1.279597 -20.782858 0.107750 0.237197212 -0.007613116 -0.896149109 0.374961729 -2.302131868 keyframe_000027.pcd
28 1778824330.975189924 0.744537 -21.091674 -0.031564 0.252770791 0.009699739 -0.923043351 0.289834117 -2.496275810 keyframe_000028.pcd
29 1778824331.375157118 0.290547 -21.294128 -0.135414 0.247725073 0.014123133 -0.945410991 0.211260227 -2.679512999 keyframe_000029.pcd
30 1778824332.175143242 -0.685499 -21.586678 -0.357780 0.257661232 0.012735250 -0.948861547 0.181962271 -2.741493609 keyframe_000030.pcd
31 1778824332.975018024 -1.609222 -22.034273 -0.538354 0.243965740 0.023947477 -0.937793842 0.245865709 -2.607562039 keyframe_000031.pcd
32 1778824333.175001621 -1.808812 -22.200187 -0.591507 0.227168752 0.023988865 -0.916881436 0.327333659 -2.429296681 keyframe_000032.pcd
