# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778824266.375137568 -1.179666 -0.817061 -0.227886 0.225711681 0.024681815 -0.940482410 0.252859409 -2.598944122 keyframe_000000.pcd
1 1778824297.675761938 -1.612511 -1.090604 -0.312763 0.227700380 0.005275714 -0.934313743 0.274194335 -2.541921938 keyframe_000001.pcd
2 1778824298.873952389 -2.010671 -1.372731 -0.441249 0.231690511 0.028797722 -0.933072380 0.273616761 -2.551735090 keyframe_000002.pcd
3 1778824299.575707197 -2.449114 -1.657067 -0.544522 0.256397243 0.022867844 -0.925074012 0.279241092 -2.525133172 keyframe_000003.pcd
4 1778824307.775308371 -2.840935 -1.994285 -0.636883 0.239468237 0.033777793 -0.923499895 0.297761596 -2.495566397 keyframe_000004.pcd
5 1778824309.575466156 -3.271190 -2.354797 -0.710364 0.216025835 0.001813494 -0.921003747 0.324162995 -2.433525238 keyframe_000005.pcd
6 1778824309.775460720 -3.337769 -2.451605 -0.736282 0.218706653 0.031243906 -0.888432608 0.402341546 -2.262336895 keyframe_000006.pcd
7 1778824309.875548840 -3.353624 -2.509005 -0.737440 0.206321095 0.031557823 -0.863692253 0.458771623 -2.135610076 keyframe_000007.pcd
8 1778824309.975455761 -3.364135 -2.569253 -0.747601 0.208874995 0.022073441 -0.826736151 0.521911233 -1.977733966 keyframe_000008.pcd
9 1778824310.075444698 -3.368390 -2.632937 -0.754445 0.202712561 0.014425884 -0.793830491 0.573177688 -1.851566245 keyframe_000009.pcd
10 1778824310.275506735 -3.379100 -2.792964 -0.764971 0.185941357 0.046925651 -0.757266554 0.624316555 -1.732406239 keyframe_000010.pcd
11 1778824310.475535154 -3.385470 -3.005281 -0.761924 0.187035039 0.039832379 -0.722964540 0.663892725 -1.622102106 keyframe_000011.pcd
12 1778824311.075469732 -3.407796 -3.512673 -0.777013 0.182011981 0.037231351 -0.694285989 0.695307436 -1.535974298 keyframe_000012.pcd
13 1778824311.675520182 -3.395591 -4.053401 -0.782407 0.167374940 0.019729971 -0.687512798 0.706344470 -1.515005550 keyframe_000013.pcd
14 1778824312.175431252 -3.352177 -4.610713 -0.820920 0.176903007 0.040705882 -0.647898978 0.739780556 -1.405882056 keyframe_000014.pcd
15 1778824312.575309753 -3.234083 -5.081313 -0.780350 0.155740851 0.042347769 -0.608129373 0.777258078 -1.302003636 keyframe_000015.pcd
16 1778824313.075395823 -3.110922 -5.654796 -0.737432 0.155925578 0.050445091 -0.594264845 0.787395581 -1.266848134 keyframe_000016.pcd
