# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778824266.375137568 -1.179666 -0.817061 -0.227886 0.225711681 0.024681815 -0.940482410 0.252859409 -2.598944122 keyframe_000000.pcd
1 1778824297.272689581 -1.302878 -0.897361 -0.256056 0.239234518 0.023670730 -0.932473161 0.269630015 -2.555371453 keyframe_000001.pcd
2 1778824297.475860596 -1.448654 -0.987809 -0.277316 0.231609413 0.022783054 -0.934116186 0.270675015 -2.555751090 keyframe_000002.pcd
3 1778824297.675761938 -1.612511 -1.090604 -0.312763 0.227700380 0.005275714 -0.934313743 0.274194335 -2.541921938 keyframe_000003.pcd
4 1778824297.774044514 -1.697146 -1.148664 -0.338169 0.237555315 0.026401264 -0.931588232 0.273886492 -2.547649245 keyframe_000004.pcd
5 1778824297.973601103 -1.842372 -1.213939 -0.371038 0.253363127 0.021069293 -0.927434850 0.274276886 -2.537166351 keyframe_000005.pcd
6 1778824298.172539234 -1.924547 -1.274122 -0.391742 0.242447466 0.026446521 -0.929165491 0.277797224 -2.536652624 keyframe_000006.pcd
7 1778824298.675728321 -1.988938 -1.355546 -0.425998 0.238790922 0.027031153 -0.930537538 0.276311604 -2.541893879 keyframe_000007.pcd
8 1778824299.075273275 -2.073165 -1.420084 -0.451441 0.217744114 0.020149739 -0.935957699 0.275979481 -2.548149248 keyframe_000008.pcd
9 1778824299.275709629 -2.202844 -1.505255 -0.464720 0.226009627 -0.000224823 -0.932835325 0.280602661 -2.526025013 keyframe_000009.pcd
10 1778824299.475879669 -2.366549 -1.613595 -0.505157 0.247520598 0.018247800 -0.928020513 0.277810184 -2.530480127 keyframe_000010.pcd
11 1778824299.575707197 -2.449114 -1.657067 -0.544522 0.256397243 0.022867844 -0.925074012 0.279241092 -2.525133172 keyframe_000011.pcd
12 1778824299.775632620 -2.531702 -1.715280 -0.581886 0.247994744 0.020519193 -0.926691021 0.281640411 -2.522542901 keyframe_000012.pcd
13 1778824300.875797749 -2.621474 -1.804848 -0.581642 0.239773222 0.025362913 -0.926418827 0.289160304 -2.511362591 keyframe_000013.pcd
14 1778824307.471679449 -2.708784 -1.889720 -0.601357 0.235988810 0.016482447 -0.924683602 0.298325068 -2.488288208 keyframe_000014.pcd
15 1778824307.675522089 -2.788856 -1.958652 -0.635659 0.242244482 0.030077062 -0.922739879 0.298268497 -2.491453200 keyframe_000015.pcd
16 1778824307.875375271 -2.881877 -2.018316 -0.646947 0.246210080 0.033710602 -0.921260015 0.299205909 -2.489090084 keyframe_000016.pcd
17 1778824308.173466444 -2.969456 -2.093504 -0.664708 0.240272186 0.013508698 -0.920815802 0.306895829 -2.465309656 keyframe_000017.pcd
18 1778824308.875109911 -3.046752 -2.160549 -0.678621 0.233566243 0.024448917 -0.920897238 0.311122705 -2.463568887 keyframe_000018.pcd
19 1778824309.475421429 -3.214893 -2.313929 -0.696860 0.221404956 -0.001755825 -0.922026247 0.317560014 -2.444486097 keyframe_000019.pcd
20 1778824309.675522327 -3.313459 -2.406322 -0.738116 0.229935173 0.026384034 -0.904832019 0.357369159 -2.359531415 keyframe_000020.pcd
21 1778824309.775460720 -3.337769 -2.451605 -0.736282 0.218706653 0.031243906 -0.888432608 0.402341546 -2.262336895 keyframe_000021.pcd
22 1778824309.875548840 -3.353624 -2.509005 -0.737440 0.206321095 0.031557823 -0.863692253 0.458771623 -2.135610076 keyframe_000022.pcd
