# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778828283.659435749 -0.024679 -0.006522 -0.009352 0.000826890 -0.002153747 -0.002013451 0.999995312 -0.004030494 keyframe_000000.pcd
1 1778828298.660222530 0.488434 0.035115 0.098240 0.003901033 0.003176532 -0.000422327 0.999987257 -0.000819877 keyframe_000001.pcd
2 1778828298.959161997 0.677888 0.066056 0.137297 -0.017664686 0.017134768 0.063273004 0.997692781 0.126065771 keyframe_000002.pcd
3 1778828299.160196066 0.705596 0.081806 0.167382 -0.040762111 -0.000865752 0.120402288 0.991887589 0.241263257 keyframe_000003.pcd
4 1778828299.360224247 0.716153 0.104977 0.182692 -0.054431357 0.003800737 0.190658622 0.980138802 0.382756224 keyframe_000004.pcd
5 1778828299.560278177 0.717581 0.135581 0.185055 -0.074366569 0.002439577 0.248368170 0.965803766 0.500430603 keyframe_000005.pcd
6 1778828299.859182119 0.706637 0.168982 0.173680 -0.073076029 0.000373516 0.304631019 0.949662938 0.617663219 keyframe_000006.pcd
7 1778828300.160224915 0.700338 0.179192 0.175993 -0.086183255 -0.002692903 0.351552799 0.932188728 0.716708493 keyframe_000007.pcd
8 1778828301.457120657 0.681159 0.195594 0.166914 -0.113739307 -0.011713295 0.396608527 0.910839088 0.813773906 keyframe_000008.pcd
9 1778828301.759260893 0.656849 0.196920 0.162358 -0.133861026 -0.015100231 0.454656893 0.880420535 0.941237067 keyframe_000009.pcd
10 1778828301.959228754 0.635970 0.201826 0.161598 -0.143868475 -0.017713943 0.516429729 0.843971808 1.082308995 keyframe_000010.pcd
11 1778828302.160201311 0.612171 0.208899 0.157442 -0.141396731 0.000881153 0.592092712 0.793367764 1.262743456 keyframe_000011.pcd
12 1778828302.260291100 0.592141 0.215374 0.145781 -0.163364869 0.000264936 0.630042462 0.759182683 1.358585526 keyframe_000012.pcd
13 1778828302.360151529 0.573684 0.222715 0.132339 -0.177974801 -0.007559923 0.670338148 0.720357262 1.466699280 keyframe_000013.pcd
14 1778828302.460258245 0.547464 0.216774 0.127932 -0.189871304 -0.011486954 0.709199949 0.678861083 1.577198906 keyframe_000014.pcd
15 1778828302.560238838 0.522864 0.213561 0.119450 -0.201593381 -0.019468936 0.740438184 0.640884050 1.672082449 keyframe_000015.pcd
16 1778828302.760211945 0.498701 0.209341 0.107472 -0.206466503 -0.011378701 0.784158096 0.585096734 1.815252409 keyframe_000016.pcd
17 1778828303.760158062 0.431344 0.315415 0.082916 -0.219843134 0.000964952 0.807645073 0.547154001 1.902821774 keyframe_000017.pcd
18 1778828304.760244846 0.161900 0.790093 0.028205 -0.216862379 -0.019074889 0.817805582 0.532729656 1.937997299 keyframe_000018.pcd
19 1778828305.360087395 0.060518 1.124939 0.016817 -0.204959526 -0.011710510 0.765103173 0.610304508 1.751030006 keyframe_000019.pcd
20 1778828305.560100317 0.048418 1.232807 0.016484 -0.186943988 -0.016551145 0.730348662 0.656786751 1.640452881 keyframe_000020.pcd
21 1778828305.760198832 0.061317 1.330775 0.021118 -0.165846065 -0.003522426 0.694190112 0.700416136 1.533657592 keyframe_000021.pcd
22 1778828306.260229349 0.076704 1.423357 0.030784 -0.158796093 -0.021923139 0.658879306 0.734970229 1.437508166 keyframe_000022.pcd
23 1778828306.860219479 0.085088 1.438650 0.032906 -0.158091727 -0.024731680 0.613941777 0.772962382 1.320223519 keyframe_000023.pcd
24 1778828307.060069799 0.093063 1.440600 0.036780 -0.139838698 -0.017557900 0.571555593 0.808369385 1.214227010 keyframe_000024.pcd
25 1778828307.260082960 0.108809 1.431668 0.045172 -0.126943906 -0.018815847 0.522430584 0.842969450 1.097580410 keyframe_000025.pcd
26 1778828308.860032558 0.205723 1.628583 0.060676 -0.120674887 -0.008331191 0.483959071 0.866690129 1.007194215 keyframe_000026.pcd
27 1778828311.359958649 0.392858 1.981524 0.131668 -0.109306238 -0.018130969 0.442931706 0.889682482 0.916961525 keyframe_000027.pcd
28 1778828311.459894657 0.405822 1.978322 0.137672 -0.100218346 -0.014519885 0.402316639 0.909882837 0.827312518 keyframe_000028.pcd
29 1778828311.559946060 0.424411 1.969751 0.148241 -0.080893580 -0.010451223 0.349891236 0.933232620 0.714449712 keyframe_000029.pcd
30 1778828311.659905910 0.441986 1.951527 0.154301 -0.055978129 -0.007428636 0.292164347 0.954699565 0.592921122 keyframe_000030.pcd
31 1778828311.760076284 0.457050 1.930653 0.159525 -0.039213305 -0.001650196 0.228284084 0.972803151 0.460424383 keyframe_000031.pcd
32 1778828311.860062122 0.478824 1.902494 0.153875 -0.011425734 0.017565058 0.160888528 0.986750122 0.322928985 keyframe_000032.pcd
33 1778828311.959952831 0.500016 1.878042 0.157166 -0.006374292 0.010747928 0.084160682 0.996373840 0.168411345 keyframe_000033.pcd
34 1778828312.060017109 0.508646 1.856660 0.166784 0.011139234 0.006993555 0.012142567 0.999839770 0.024441780 keyframe_000034.pcd
35 1778828312.160062790 0.515774 1.833104 0.170596 0.029309721 0.011043598 -0.067755586 0.997210188 -0.134940369 keyframe_000035.pcd
36 1778828312.259938240 0.518933 1.803189 0.170760 0.057238483 0.007083657 -0.149907079 0.987016436 -0.299721165 keyframe_000036.pcd
37 1778828312.360106945 0.512775 1.777912 0.163742 0.088420912 0.007936566 -0.223697612 0.970607094 -0.448369527 keyframe_000037.pcd
38 1778828312.460019827 0.505193 1.739754 0.151420 0.117355784 0.022993769 -0.305183476 0.944754970 -0.612690626 keyframe_000038.pcd
39 1778828312.560100794 0.494872 1.715367 0.158085 0.124320532 0.015659456 -0.378593393 0.917042109 -0.769462286 keyframe_000039.pcd
40 1778828312.660091877 0.476918 1.692939 0.162685 0.133947141 0.016215900 -0.451838888 0.881837189 -0.929930547 keyframe_000040.pcd
41 1778828312.759979486 0.463327 1.671767 0.162836 0.157741253 0.005855717 -0.505797340 0.848087530 -1.052456592 keyframe_000041.pcd
42 1778828312.960046053 0.436602 1.646820 0.146411 0.194524339 0.005809929 -0.561461397 0.804293246 -1.181617233 keyframe_000042.pcd
43 1778828314.759998560 0.542827 1.122704 0.161169 0.167168145 0.005939464 -0.587489041 0.791755114 -1.248845756 keyframe_000043.pcd
44 1778828315.459877014 0.670169 0.640176 0.198526 0.171605347 -0.004885434 -0.581918859 0.794920234 -1.235755569 keyframe_000044.pcd
45 1778828316.259806395 0.844358 0.126996 0.215916 0.159458505 0.015171194 -0.582508233 0.796885801 -1.236374082 keyframe_000045.pcd
46 1778828317.059828281 1.008877 -0.349454 0.254715 0.158937450 0.010904435 -0.542318139 0.824930916 -1.138219738 keyframe_000046.pcd
47 1778828317.259840012 1.037619 -0.380873 0.259363 0.141300643 0.002913128 -0.488516644 0.861032596 -1.014412221 keyframe_000047.pcd
48 1778828317.459921122 1.062653 -0.383945 0.249298 0.120727291 0.014101156 -0.425509402 0.896754051 -0.872680028 keyframe_000048.pcd
49 1778828317.660078049 1.082251 -0.373218 0.258774 0.098002438 0.008618368 -0.356187508 0.929221021 -0.724432019 keyframe_000049.pcd
50 1778828317.859862328 1.100288 -0.350687 0.265598 0.075322790 -0.002057698 -0.267890517 0.960498263 -0.541320648 keyframe_000050.pcd
51 1778828317.959957600 1.114252 -0.340065 0.264079 0.074203941 -0.005816387 -0.214450544 0.973894711 -0.431964492 keyframe_000051.pcd
52 1778828318.059967279 1.124035 -0.320357 0.267325 0.068275645 -0.010962190 -0.146916396 0.986728858 -0.295721971 keyframe_000052.pcd
53 1778828318.159980059 1.128371 -0.300774 0.263620 0.062905624 -0.010722211 -0.081629530 0.994617784 -0.164479981 keyframe_000053.pcd
54 1778828318.260011911 1.129369 -0.275832 0.254637 0.031331679 0.011741636 -0.012265655 0.999364805 -0.023789189 keyframe_000054.pcd
55 1778828318.359909296 1.130078 -0.254516 0.253090 0.008448285 0.005787302 0.060539083 0.998113297 0.121251102 keyframe_000055.pcd
56 1778828318.559994698 1.118216 -0.209675 0.271683 -0.026071657 -0.005583816 0.197705977 0.979898687 0.398194672 keyframe_000056.pcd
57 1778828318.659862757 1.106222 -0.182677 0.276839 -0.041446831 -0.004834668 0.258480571 0.965114802 0.522864700 keyframe_000057.pcd
58 1778828318.759872437 1.086675 -0.162076 0.270439 -0.083959532 -0.005031613 0.307953949 0.947676023 0.624937509 keyframe_000058.pcd
59 1778828318.859796762 1.071967 -0.149014 0.259837 -0.099870173 -0.012469382 0.365967992 0.925169115 0.748454686 keyframe_000059.pcd
60 1778828318.959872246 1.058369 -0.134637 0.257234 -0.105354258 -0.006279599 0.423204920 0.899865903 0.871511037 keyframe_000060.pcd
61 1778828319.059902191 1.039204 -0.117757 0.254774 -0.119210830 -0.006101955 0.474058441 0.872364682 0.984391023 keyframe_000061.pcd
62 1778828319.160012245 1.018996 -0.096102 0.247244 -0.133644951 0.006784931 0.521931444 0.842425403 1.092398668 keyframe_000062.pcd
63 1778828319.259846449 1.002877 -0.083632 0.236725 -0.143015694 0.010379036 0.566828172 0.811261124 1.199248588 keyframe_000063.pcd
64 1778828319.459852695 0.972745 -0.077241 0.233351 -0.158326059 -0.004975947 0.604858790 0.780419081 1.294401257 keyframe_000064.pcd
65 1778828321.657293081 1.020946 0.452245 0.270593 -0.162794446 -0.016239238 0.617471081 0.769391786 1.327718679 keyframe_000065.pcd
66 1778828322.059782743 1.016818 0.539061 0.257280 -0.164216748 -0.015653502 0.658234427 0.734517030 1.434860258 keyframe_000066.pcd
67 1778828322.359812021 1.007077 0.551264 0.252888 -0.172243454 0.000789907 0.690774837 0.702254721 1.523756408 keyframe_000067.pcd
68 1778828322.659901381 0.978530 0.541115 0.249937 -0.171477369 0.010855831 0.726011248 0.665871858 1.627239501 keyframe_000068.pcd
69 1778828323.059720516 0.941197 0.528962 0.239190 -0.172024290 0.013329011 0.780657365 0.600669675 1.801500395 keyframe_000069.pcd
70 1778828323.359752178 0.925379 0.512274 0.225575 -0.194344794 0.017217286 0.810939537 0.551643665 1.912514652 keyframe_000070.pcd
71 1778828325.059701681 0.689429 0.965358 0.177530 -0.203768621 -0.010357549 0.814956800 0.542417260 1.925025156 keyframe_000071.pcd
72 1778828333.559715748 0.470906 1.351745 0.135523 -0.207839077 -0.022572766 0.787919077 0.579203692 1.828110254 keyframe_000072.pcd
73 1778828333.759668589 0.482165 1.359149 0.142465 -0.198335006 -0.024701990 0.743903191 0.637699834 1.682995158 keyframe_000073.pcd
74 1778828333.959574461 0.506728 1.368136 0.148432 -0.177877582 -0.022126657 0.688233080 0.702997300 1.517857602 keyframe_000074.pcd
75 1778828334.059515238 0.528897 1.372037 0.152259 -0.171392270 -0.020714956 0.654724322 0.735888336 1.425729425 keyframe_000075.pcd
76 1778828334.159568787 0.552155 1.374024 0.152931 -0.156932858 -0.009217297 0.619406955 0.769169776 1.332167142 keyframe_000076.pcd
77 1778828334.359538317 0.581679 1.365864 0.162189 -0.111818925 0.006492437 0.545516298 0.830581932 1.150144465 keyframe_000077.pcd
78 1778828334.459577322 0.600369 1.369189 0.165609 -0.103849385 0.004143651 0.500116233 0.859698720 1.043914610 keyframe_000078.pcd
79 1778828334.559589148 0.620056 1.369647 0.174806 -0.099467521 0.000067321 0.450038488 0.887452290 0.930621238 keyframe_000079.pcd
80 1778828334.659534931 0.640369 1.371194 0.174827 -0.098651751 -0.000119528 0.396195816 0.912850860 0.811857718 keyframe_000080.pcd
81 1778828334.759632349 0.659011 1.363733 0.175104 -0.095773307 -0.012362830 0.337029648 0.936528510 0.686957264 keyframe_000081.pcd
82 1778828334.859601498 0.675446 1.354383 0.187657 -0.082481299 0.003635870 0.288812179 0.953819239 0.583766995 keyframe_000082.pcd
83 1778828334.959682703 0.685344 1.340854 0.194619 -0.070548556 0.005938151 0.240274710 0.968119674 0.483488702 keyframe_000083.pcd
84 1778828335.059618711 0.689019 1.323889 0.197510 -0.052750121 0.002249243 0.193129359 0.979751712 0.387976991 keyframe_000084.pcd
85 1778828335.159568310 0.691514 1.304625 0.195017 -0.037599836 -0.001386485 0.144942348 0.988724454 0.290811653 keyframe_000085.pcd
86 1778828335.259651661 0.697595 1.285647 0.191769 -0.025114465 0.000473720 0.094929835 0.995167004 0.190063615 keyframe_000086.pcd
87 1778828335.459531069 0.682152 1.253146 0.189844 0.035645880 -0.005102596 0.003598130 0.999344980 0.006828199 keyframe_000087.pcd
88 1778828335.559669733 0.683304 1.242624 0.196526 0.040111752 -0.002661918 -0.046518426 0.998108209 -0.093209419 keyframe_000088.pcd
89 1778828335.759591579 0.695674 1.214920 0.188534 0.050906476 0.016054705 -0.116108352 0.991801204 -0.230944007 keyframe_000089.pcd
90 1778828336.159698009 0.637874 1.218568 0.178921 0.061509599 0.014698109 -0.160158833 0.985063289 -0.319505473 keyframe_000090.pcd
91 1778828338.259576321 0.359218 1.342101 0.094234 0.045497917 0.017532838 -0.104192386 0.993361206 -0.207084850 keyframe_000091.pcd
92 1778828338.559571743 0.343767 1.348922 0.092999 0.019451560 0.012620234 -0.049093068 0.998525031 -0.097741779 keyframe_000092.pcd
93 1778828338.759506464 0.343574 1.371495 0.096012 0.004317302 0.006386151 -0.003772567 0.999963172 -0.007490398 keyframe_000093.pcd
94 1778828338.959551096 0.345097 1.398846 0.098736 -0.023009825 0.002605858 0.072602233 0.997092109 0.145177010 keyframe_000094.pcd
95 1778828339.059448481 0.342225 1.418304 0.099154 -0.032295902 0.000814450 0.121063238 0.992118946 0.242547514 keyframe_000095.pcd
96 1778828339.159453630 0.344834 1.433954 0.098886 -0.028785855 0.004147694 0.177568013 0.983678693 0.356674486 keyframe_000096.pcd
97 1778828339.259579182 0.341128 1.453784 0.093853 -0.039657886 0.020810849 0.234448876 0.971096229 0.471795441 keyframe_000097.pcd
98 1778828339.359564781 0.335489 1.476465 0.083344 -0.057906646 0.023965187 0.299522419 0.952028787 0.605741737 keyframe_000098.pcd
99 1778828339.459473610 0.314690 1.494305 0.089725 -0.081730906 0.009575352 0.357786831 0.930170391 0.728808812 keyframe_000099.pcd
100 1778828339.559537172 0.296194 1.501565 0.091769 -0.092712894 0.008132441 0.423141806 0.901270877 0.870334940 keyframe_000100.pcd
101 1778828339.659480810 0.268860 1.508871 0.091679 -0.109000313 -0.001652790 0.487244201 0.866434815 1.014542549 keyframe_000101.pcd
102 1778828339.759507656 0.242135 1.525926 0.078801 -0.133707322 -0.001665122 0.543660538 0.828584817 1.144958602 keyframe_000102.pcd
103 1778828339.859555244 0.220009 1.537904 0.065917 -0.162932780 -0.004017221 0.599546831 0.783568994 1.280519389 keyframe_000103.pcd
104 1778828339.959584475 0.197818 1.541880 0.061686 -0.165695878 -0.009618015 0.659427035 0.733217809 1.437467438 keyframe_000104.pcd
105 1778828340.059461117 0.171267 1.538242 0.050840 -0.186634163 -0.006230785 0.713589613 0.675217544 1.589943321 keyframe_000105.pcd
106 1778828340.159539700 0.136676 1.527031 0.044832 -0.209726333 -0.017021323 0.763755278 0.610248323 1.746980489 keyframe_000106.pcd
107 1778828340.259486914 0.107093 1.517387 0.029277 -0.235707410 -0.013644492 0.800968617 0.550186441 1.879864590 keyframe_000107.pcd
108 1778828340.359624147 0.095404 1.506906 0.024361 -0.227967026 -0.004377415 0.830855927 0.507632054 1.993838245 keyframe_000108.pcd
109 1778828340.559444666 0.083212 1.491874 0.026238 -0.236276277 -0.015132113 0.856974281 0.457754981 2.105845678 keyframe_000109.pcd
110 1778828342.559442520 0.406507 1.085269 0.096188 -0.245293729 -0.007004834 0.875465739 0.416343199 2.199865820 keyframe_000110.pcd
111 1778828343.659357548 0.465443 1.016343 0.111292 -0.234209834 -0.009900665 0.853052596 0.466207035 2.088461959 keyframe_000111.pcd
112 1778828343.859498501 0.483307 1.035264 0.124226 -0.225667621 -0.009296590 0.819105354 0.527308370 1.946152526 keyframe_000112.pcd
113 1778828344.059448957 0.508891 1.059685 0.135099 -0.198594254 0.002919503 0.767434913 0.609586297 1.758949991 keyframe_000113.pcd
114 1778828344.159544468 0.526504 1.068193 0.141359 -0.189787919 0.004121464 0.732659207 0.653585531 1.647633999 keyframe_000114.pcd
115 1778828344.259452581 0.554182 1.077697 0.142604 -0.181960165 0.016530429 0.694898090 0.695509805 1.535742254 keyframe_000115.pcd
116 1778828344.359425068 0.581884 1.095897 0.150371 -0.174133213 0.009767468 0.652766137 0.737210005 1.418090146 keyframe_000116.pcd
117 1778828344.460572958 0.591826 1.098569 0.160436 -0.161499240 0.004397573 0.613093011 0.773314695 1.314425622 keyframe_000117.pcd
118 1778828344.559339762 0.598332 1.097453 0.166290 -0.154514810 -0.001320152 0.565156859 0.810383339 1.195348182 keyframe_000118.pcd
119 1778828344.659432888 0.617795 1.096530 0.175434 -0.135795726 0.003703990 0.512445089 0.847906735 1.070282604 keyframe_000119.pcd
120 1778828344.759392500 0.640814 1.092108 0.181186 -0.117081752 0.004395564 0.455447577 0.882519148 0.941020555 keyframe_000120.pcd
121 1778828344.859457731 0.659598 1.083987 0.182358 -0.098849270 0.006308154 0.401190553 0.910623506 0.821907509 keyframe_000121.pcd
122 1778828344.959522724 0.677866 1.074417 0.178314 -0.086478730 0.006968458 0.344634685 0.934719104 0.700723746 keyframe_000122.pcd
123 1778828345.159454107 0.684128 1.073240 0.187746 -0.073535707 -0.002825588 0.296474883 0.952201218 0.600962055 keyframe_000123.pcd
124 1778828346.859271765 0.289774 0.788359 0.070083 -0.068585667 0.017890209 0.270769174 0.960031250 0.545408248 keyframe_000124.pcd
125 1778828347.659327030 -0.119667 0.515765 -0.026978 -0.073816042 -0.002641768 0.317916285 0.945237245 0.645918639 keyframe_000125.pcd
126 1778828348.059299946 -0.153689 0.509520 -0.050224 -0.099565140 0.004225646 0.373285873 0.922348407 0.761612086 keyframe_000126.pcd
127 1778828350.459244728 0.030003 0.804500 -0.004288 -0.100727305 -0.001439565 0.416995691 0.903308658 0.857411554 keyframe_000127.pcd
128 1778828351.559277058 0.201956 1.064183 0.052197 -0.113309479 -0.035246111 0.465692731 0.876954363 0.971192469 keyframe_000128.pcd
129 1778828351.859295607 0.185482 1.072511 0.046291 -0.128255829 -0.031111856 0.516675006 0.845948836 1.086431297 keyframe_000129.pcd
130 1778828352.159303427 0.159740 1.084704 0.034291 -0.140524442 -0.008662108 0.574597774 0.806235231 1.220388715 keyframe_000130.pcd
131 1778828352.359213352 0.138226 1.090918 0.025581 -0.140310014 0.001417093 0.619911335 0.772023982 1.333483305 keyframe_000131.pcd
132 1778828352.559220314 0.101442 1.100148 0.013396 -0.159945126 0.012724898 0.671688309 0.723249922 1.470520734 keyframe_000132.pcd
133 1778828352.659326553 0.086648 1.107193 -0.007584 -0.175001747 0.021476712 0.704391879 0.687564702 1.563782009 keyframe_000133.pcd
134 1778828352.859232187 0.058542 1.100934 -0.001761 -0.192651745 0.013641967 0.748733695 0.634111233 1.698839078 keyframe_000134.pcd
135 1778828353.159394503 0.055492 1.080371 -0.004851 -0.205857611 -0.006302224 0.775759286 0.596473349 1.786849998 keyframe_000135.pcd
136 1778828354.759312868 0.081813 1.061707 0.012745 -0.193351808 -0.008037965 0.736435351 0.648238724 1.659098341 keyframe_000136.pcd
137 1778828354.959304810 0.101085 1.069950 0.023638 -0.181164826 -0.008913185 0.694036052 0.696716455 1.533229557 keyframe_000137.pcd
138 1778828355.159191370 0.120314 1.078129 0.029056 -0.173082365 -0.009642844 0.654806423 0.735648054 1.424681105 keyframe_000138.pcd
139 1778828357.659415483 0.055039 0.580416 -0.011636 -0.175114973 0.007227657 0.646010503 0.742935352 1.399883729 keyframe_000139.pcd
