# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778846177.510451317 0.016624 0.226218 0.012084 -0.010249780 -0.016126786 -0.008749319 0.999779135 -0.017174057 keyframe_000000.pcd
1 1778846195.710227728 0.123703 0.234994 0.031973 -0.001794683 -0.021367061 0.000907720 0.999769675 0.001893446 keyframe_000001.pcd
2 1778846196.010141611 0.217835 0.244590 0.092749 -0.015532078 -0.013084860 -0.000733626 0.999793480 -0.001060842 keyframe_000002.pcd
3 1778846196.310019493 0.350091 0.245958 0.129762 -0.009807057 -0.018973005 0.009664001 0.999725189 0.019710151 keyframe_000003.pcd
4 1778846196.610109091 0.461888 0.238512 0.146480 0.009379253 -0.025122914 0.013461465 0.999549728 0.026476379 keyframe_000004.pcd
5 1778846196.910062551 0.585936 0.266083 0.182204 -0.009278278 -0.027823674 0.007380292 0.999542539 0.015294300 keyframe_000005.pcd
6 1778846197.210195541 0.715226 0.273970 0.225455 0.008786087 -0.032294980 0.022673737 0.999182536 0.044852580 keyframe_000006.pcd
7 1778846197.510196686 0.849046 0.282911 0.259372 -0.001906939 -0.018878652 0.014904481 0.999708866 0.029897978 keyframe_000007.pcd
8 1778846197.810146809 0.978950 0.302324 0.291964 -0.008319189 -0.025384080 0.018540877 0.999471198 0.037541074 keyframe_000008.pcd
9 1778846198.110150576 1.097338 0.295861 0.333002 0.006861999 -0.032470940 0.028604265 0.999039712 0.056859783 keyframe_000009.pcd
10 1778846198.410136223 1.221566 0.304812 0.373921 -0.006769158 -0.030230658 0.022623030 0.999263971 0.045720604 keyframe_000010.pcd
11 1778846198.809067965 1.394337 0.294286 0.427701 0.011958570 -0.037520038 0.038092280 0.998497981 0.075461469 keyframe_000011.pcd
12 1778846199.010147810 1.488867 0.303277 0.461477 -0.004942503 -0.020791279 0.031353165 0.999279877 0.062961822 keyframe_000012.pcd
13 1778846199.210001945 1.586989 0.323398 0.489912 -0.008300681 -0.023757248 0.035386016 0.999056816 0.071238187 keyframe_000013.pcd
14 1778846199.410112381 1.683418 0.334633 0.520584 -0.000921646 -0.029465319 0.043865692 0.998602397 0.087928110 keyframe_000014.pcd
15 1778846199.710081577 1.793979 0.363013 0.545444 -0.010415329 -0.021856627 0.041098094 0.998861730 0.082727993 keyframe_000015.pcd
16 1778846200.410030842 1.859535 0.347691 0.566191 -0.001847676 -0.022651072 -0.008949003 0.999701671 -0.017828226 keyframe_000016.pcd
17 1778846200.510004282 1.861913 0.336142 0.568516 0.009691491 -0.021413572 -0.048305815 0.998555999 -0.097124681 keyframe_000017.pcd
18 1778846200.710039616 1.861758 0.332378 0.570367 0.024585634 -0.023791191 -0.087071449 0.995614428 -0.175612566 keyframe_000018.pcd
19 1778846201.010189056 1.932087 0.312738 0.576638 0.045478252 -0.015733612 -0.119972259 0.991610225 -0.241759990 keyframe_000019.pcd
20 1778846201.309995174 2.049337 0.262905 0.611939 0.046507753 -0.021027188 -0.128527347 0.990391643 -0.259558495 keyframe_000020.pcd
21 1778846202.210177898 2.149301 0.234852 0.646293 0.035043923 -0.024795432 -0.142169174 0.988911035 -0.287065932 keyframe_000021.pcd
22 1778846202.610158205 2.256239 0.199689 0.674440 0.050710302 -0.033768931 -0.128099344 0.989888217 -0.260337399 keyframe_000022.pcd
23 1778846202.910035372 2.362834 0.164601 0.704124 0.044384532 -0.028485114 -0.138304312 0.988984595 -0.280003184 keyframe_000023.pcd
24 1778846203.210058689 2.497349 0.124560 0.744039 0.037860370 -0.025920516 -0.134596173 0.989837658 -0.271987795 keyframe_000024.pcd
25 1778846203.510093927 2.621475 0.085147 0.782877 0.048441216 -0.027433023 -0.123462753 0.990786469 -0.250130933 keyframe_000025.pcd
26 1778846203.710130692 2.706821 0.046466 0.820162 0.040194130 -0.014175986 -0.128624850 0.990777029 -0.258941019 keyframe_000026.pcd
27 1778846204.010002851 2.806059 0.026074 0.838088 0.034806502 -0.018232995 -0.123690534 0.991542595 -0.249223705 keyframe_000027.pcd
28 1778846204.610111713 2.935900 0.014477 0.875221 0.041290855 -0.019404123 -0.120359866 0.991681425 -0.242796137 keyframe_000028.pcd
29 1778846204.810089111 3.092379 -0.036770 0.920877 0.032213432 -0.009850988 -0.119279787 0.992289063 -0.239659048 keyframe_000029.pcd
30 1778846205.009882212 3.262444 -0.087728 0.987883 0.045402642 -0.021259990 -0.108105575 0.992874512 -0.218448076 keyframe_000030.pcd
31 1778846205.210151196 3.435048 -0.139062 1.051178 0.035332398 0.006308554 -0.122155808 0.991861776 -0.244356158 keyframe_000031.pcd
