# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778838502.235171318 0.213771 -0.003826 -0.003076 -0.247265908 -0.023749051 0.966234863 -0.068452483 -3.003661371 keyframe_000000.pcd
1 1778838516.434966087 -0.000388 -0.044221 -0.054530 -0.247189379 -0.035727152 0.967799289 -0.031392945 -3.092419920 keyframe_000001.pcd
2 1778838517.535157681 -0.289728 -0.047248 -0.102926 -0.233330894 -0.026689307 0.971662218 0.026775175 3.069234976 keyframe_000002.pcd
3 1778838518.035803795 -0.532461 -0.006871 -0.168121 -0.239174752 -0.002550665 0.969461775 0.054155323 3.021428570 keyframe_000003.pcd
4 1778838518.535122395 -0.844210 0.009615 -0.233301 -0.235883506 -0.015861072 0.970468748 0.047935454 3.028381368 keyframe_000004.pcd
5 1778838518.935275555 -1.096688 0.041970 -0.296143 -0.234198223 -0.016007031 0.970854809 0.048331228 3.027658067 keyframe_000005.pcd
6 1778838519.435136557 -1.366275 0.048014 -0.361220 -0.235444319 -0.012893420 0.970966718 0.040290999 3.046703836 keyframe_000006.pcd
7 1778838520.835047722 -1.640646 0.063109 -0.428045 -0.236680154 -0.003085922 0.970796149 0.039087332 3.054401468 keyframe_000007.pcd
8 1778838521.335295439 -1.890427 0.069880 -0.489535 -0.237054700 -0.015050298 0.970684631 0.036741044 3.053155719 keyframe_000008.pcd
9 1778838521.835121393 -2.166117 0.088052 -0.543795 -0.235784667 -0.012603292 0.971369926 0.026214791 3.077594651 keyframe_000009.pcd
10 1778838522.335156441 -2.453788 0.095995 -0.617993 -0.232870429 -0.006284676 0.972267242 0.020694817 3.093163631 keyframe_000010.pcd
11 1778838523.135328770 -2.623795 0.082171 -0.645694 -0.240645665 -0.019143071 0.969402920 -0.044510506 -3.054241824 keyframe_000011.pcd
12 1778838524.435158014 -2.879293 0.011840 -0.729898 -0.238328342 -0.022974393 0.969390961 -0.054340993 -3.034783023 keyframe_000012.pcd
13 1778838525.135264874 -3.146015 -0.020350 -0.772819 -0.224961886 -0.027699822 0.972107928 -0.060258161 -3.024697333 keyframe_000013.pcd
14 1778838525.735190153 -3.399368 -0.061162 -0.836048 -0.231872599 -0.020240935 0.970066157 -0.069260758 -3.000957636 keyframe_000014.pcd
15 1778838526.434960604 -3.662178 -0.118691 -0.900969 -0.229970090 -0.010654779 0.969890395 -0.079453474 -2.973919771 keyframe_000015.pcd
16 1778838527.235193491 -3.952434 -0.182667 -0.970001 -0.223046414 -0.001333844 0.969655800 -0.100080703 -2.925270266 keyframe_000016.pcd
17 1778838527.935173273 -4.190960 -0.265324 -1.016113 -0.221757964 -0.006946537 0.967872761 -0.118310900 -2.888522962 keyframe_000017.pcd
18 1778838528.735127211 -4.441580 -0.361848 -1.077097 -0.207205452 -0.000696144 0.965907801 -0.155201599 -2.808577171 keyframe_000018.pcd
19 1778838529.535268068 -4.689412 -0.468459 -1.144801 -0.210810898 -0.002115798 0.960164749 -0.183406498 -2.747096260 keyframe_000019.pcd
20 1778838530.235090256 -4.926666 -0.582799 -1.193351 -0.208243980 0.002913818 0.958424348 -0.195060821 -2.720340656 keyframe_000020.pcd
21 1778838530.935273170 -5.174525 -0.692522 -1.245934 -0.203429665 0.005084340 0.957082030 -0.206360143 -2.696336192 keyframe_000021.pcd
22 1778838531.535285473 -5.396143 -0.820763 -1.306442 -0.219168624 -0.006852208 0.952445378 -0.211579687 -2.685009631 keyframe_000022.pcd
23 1778838532.035291433 -5.571475 -0.893415 -1.349506 -0.231412813 -0.015345057 0.957385430 -0.172121406 -2.772499162 keyframe_000023.pcd
24 1778838532.336390257 -5.690791 -0.859638 -1.371447 -0.235184478 -0.009905255 0.971765808 -0.016166685 -3.111494051 keyframe_000024.pcd
25 1778838533.035253763 -5.939278 -0.827623 -1.424633 -0.214826843 -0.019143625 0.976066932 0.027862048 3.072601365 keyframe_000025.pcd
26 1778838533.635099888 -6.215188 -0.800376 -1.483090 -0.223131507 -0.009995575 0.974249865 0.030815905 3.069925274 keyframe_000026.pcd
27 1778838534.135134459 -6.471420 -0.792912 -1.545884 -0.228877621 0.001533432 0.973279732 0.018418649 3.102318246 keyframe_000027.pcd
28 1778838534.635306597 -6.734709 -0.789004 -1.612516 -0.238346186 -0.010706767 0.970975339 0.016833064 3.098954081 keyframe_000028.pcd
29 1778838535.135322332 -6.968429 -0.763260 -1.662055 -0.238636054 -0.021438502 0.969338134 0.054560107 3.010545358 keyframe_000029.pcd
30 1778838535.835062504 -7.244868 -0.730039 -1.734398 -0.238697896 -0.009967066 0.967784574 0.079479492 2.961967486 keyframe_000030.pcd
31 1778838536.435370922 -7.515744 -0.674501 -1.786081 -0.230462972 -0.003183179 0.967078628 0.107868502 2.904764969 keyframe_000031.pcd
