# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778757647.493067503 -0.006660 0.019435 0.014510 0.000000000 0.000000000 0.000554044 0.999999847 0.001108088 keyframe_000000.pcd
1 1778757649.192983150 0.043258 -0.024251 0.030849 0.000000000 0.000000000 -0.100689716 0.994917877 -0.201721272 keyframe_000001.pcd
2 1778757649.592931747 0.107881 -0.055817 0.021351 0.000000000 0.000000000 -0.160998450 0.986954659 -0.323404433 keyframe_000002.pcd
3 1778757649.788618088 0.176760 -0.101796 0.015853 0.000000000 0.000000000 -0.235999070 0.971753281 -0.476493101 keyframe_000003.pcd
4 1778757650.593332291 0.235500 -0.112595 -0.011995 0.000000000 0.000000000 -0.299585594 0.954069427 -0.608516537 keyframe_000004.pcd
5 1778757651.192945957 0.327237 -0.094882 0.008090 0.000000000 0.000000000 -0.181720351 0.983350250 -0.365471297 keyframe_000005.pcd
6 1778757651.393342972 0.404398 -0.076672 0.017705 0.000000000 0.000000000 -0.049040861 0.998796773 -0.098121078 keyframe_000006.pcd
7 1778757651.693029881 0.411070 -0.057666 0.024990 0.000000000 0.000000000 0.035004956 0.999387139 0.070024217 keyframe_000007.pcd
8 1778757651.993317842 0.406732 -0.022451 0.026699 0.000000000 0.000000000 0.132097207 0.991236767 0.264968862 keyframe_000008.pcd
9 1778757658.093205690 0.771880 0.210623 0.145599 0.000000000 0.000000000 0.215882129 0.976419432 0.435190345 keyframe_000009.pcd
10 1778757658.593220472 0.806348 0.306137 0.151676 0.000000000 0.000000000 0.335625154 0.941995624 0.684537600 keyframe_000010.pcd
11 1778757658.893050671 0.803503 0.351748 0.159170 0.000000000 0.000000000 0.414559712 0.910022112 0.854917858 keyframe_000011.pcd
12 1778757661.393270254 1.180336 1.220796 0.336709 0.000000000 0.000000000 0.492370084 0.870385949 1.029621377 keyframe_000012.pcd
13 1778757661.893124342 1.229357 1.422351 0.369791 0.000000000 0.000000000 0.563863788 0.825867803 1.198113655 keyframe_000013.pcd
14 1778757662.193125963 1.210301 1.571936 0.385275 0.000000000 0.000000000 0.645797515 0.763508723 1.404134724 keyframe_000014.pcd
15 1778757664.193123579 1.262624 2.601371 0.473859 0.000000000 0.000000000 0.635398209 0.772184638 1.377048205 keyframe_000015.pcd
16 1778757666.394169331 1.285187 3.639485 0.548052 0.000000000 0.000000000 0.654223766 0.756301040 1.426311618 keyframe_000016.pcd
17 1778757668.594088793 1.328132 4.517054 0.643844 0.000000000 0.000000000 0.578803430 0.815467099 1.234521164 keyframe_000017.pcd
18 1778757670.393063307 1.500902 5.233658 0.754878 0.000000000 0.000000000 0.654546622 0.756021640 1.427165551 keyframe_000018.pcd
19 1778757670.894018173 1.439953 5.431826 0.747315 0.000000000 0.000000000 0.743044302 0.669242233 1.675215646 keyframe_000019.pcd
20 1778757673.293086052 1.161817 6.418266 0.731415 0.000000000 0.000000000 0.746784984 0.665065551 1.686429469 keyframe_000020.pcd
21 1778757674.694091082 0.968915 6.937478 0.715609 0.000000000 0.000000000 0.814750996 0.579811017 1.904599215 keyframe_000021.pcd
22 1778757675.493930101 0.770987 7.163169 0.676213 0.000000000 0.000000000 0.874335237 0.485322464 2.128128773 keyframe_000022.pcd
23 1778757675.693895817 0.694478 7.202560 0.653822 0.000000000 0.000000000 0.914110263 0.405465692 2.306616210 keyframe_000023.pcd
24 1778757676.293936491 0.540244 7.254651 0.618490 0.000000000 0.000000000 0.951022552 0.309121507 2.513054338 keyframe_000024.pcd
25 1778757676.992998362 0.460995 7.247189 0.592492 0.000000000 0.000000000 0.979382562 0.202014347 2.734764176 keyframe_000025.pcd
26 1778757677.493047237 0.379625 7.218000 0.551789 0.000000000 0.000000000 0.996592776 0.082479324 2.976446400 keyframe_000026.pcd
27 1778757679.892867804 -0.189747 7.162593 0.404415 0.000000000 0.000000000 0.999981528 -0.006078124 3.153748976 keyframe_000027.pcd
28 1778757682.693836689 -1.158257 7.073751 0.128931 0.000000000 0.000000000 0.999703963 -0.024330755 3.190258965 keyframe_000028.pcd
29 1778757684.692997932 -2.111429 6.942121 -0.169216 0.000000000 0.000000000 0.998753149 -0.049921421 3.241477013 keyframe_000029.pcd
30 1778757685.393762350 -2.462131 6.944845 -0.270571 0.000000000 0.000000000 0.998929207 0.046264881 3.049029850 keyframe_000030.pcd
31 1778757687.293827295 -3.388165 6.888581 -0.517279 0.000000000 0.000000000 0.997513015 -0.070482514 3.282674657 keyframe_000031.pcd
32 1778757687.793797016 -3.605545 6.792532 -0.594072 0.000000000 0.000000000 -0.986750212 0.162246785 -2.815658288 keyframe_000032.pcd
33 1778757688.693023682 -3.932868 6.606173 -0.704820 0.000000000 0.000000000 -0.958478497 0.285164813 -2.563235901 keyframe_000033.pcd
34 1778757688.993797541 -3.981594 6.525804 -0.719174 0.000000000 0.000000000 -0.928397541 0.371588490 -2.380153777 keyframe_000034.pcd
35 1778757689.493705750 -4.007152 6.430255 -0.748214 0.000000000 0.000000000 -0.886183786 0.463333894 -2.178085465 keyframe_000035.pcd
36 1778757689.893606901 -3.995860 6.342923 -0.751776 0.000000000 0.000000000 -0.832993483 0.553282801 -1.968992511 keyframe_000036.pcd
37 1778757691.493776321 -4.074126 5.971235 -0.803317 0.000000000 0.000000000 -0.773360909 0.633966012 -1.768251092 keyframe_000037.pcd
38 1778757691.993706703 -4.052368 5.823860 -0.805728 0.000000000 0.000000000 -0.704796327 0.709409710 -1.564272006 keyframe_000038.pcd
39 1778757695.493700504 -3.953937 4.819361 -0.860251 0.000000000 0.000000000 -0.688292624 0.725433156 -1.518265642 keyframe_000039.pcd
40 1778757698.593525648 -3.924946 3.810865 -0.926839 0.000000000 0.000000000 -0.671209540 0.741267666 -1.471678606 keyframe_000040.pcd
41 1778757701.493562460 -3.810774 2.774750 -0.965406 0.000000000 0.000000000 -0.686644088 0.726993739 -1.513725558 keyframe_000041.pcd
42 1778757702.293360949 -3.882130 2.503030 -1.011569 0.000000000 0.000000000 -0.752320961 0.658796760 -1.703156116 keyframe_000042.pcd
43 1778757704.593477964 -3.947544 1.678887 -1.118504 0.000000000 0.000000000 -0.688754165 0.724994965 -1.519538484 keyframe_000043.pcd
44 1778757707.292195559 -3.817253 0.667094 -1.152954 0.000000000 0.000000000 -0.654028024 0.756470319 -1.425794046 keyframe_000044.pcd
45 1778757709.493270636 -3.628001 -0.199409 -1.170529 0.000000000 0.000000000 -0.587641144 0.809121675 -1.256280830 keyframe_000045.pcd
46 1778757709.893285990 -3.536997 -0.303000 -1.159863 0.000000000 0.000000000 -0.516652816 0.856194994 -1.085873896 keyframe_000046.pcd
47 1778757710.393272161 -3.425882 -0.379464 -1.136585 0.000000000 0.000000000 -0.408900281 0.912579071 -0.842497339 keyframe_000047.pcd
48 1778757710.693318844 -3.332198 -0.383226 -1.108606 0.000000000 0.000000000 -0.317502586 0.948257406 -0.646189267 keyframe_000048.pcd
49 1778757710.993260622 -3.259773 -0.365235 -1.093052 0.000000000 0.000000000 -0.192025936 0.981389851 -0.386452170 keyframe_000049.pcd
50 1778757711.393314600 -3.163757 -0.337541 -1.072309 0.000000000 0.000000000 -0.082101185 0.996623999 -0.164387402 keyframe_000050.pcd
51 1778757711.693316936 -3.081696 -0.285730 -1.033899 0.000000000 0.000000000 0.015167825 0.999884962 0.030336813 keyframe_000051.pcd
52 1778757726.192988634 -2.090525 -0.267673 -0.763453 0.000000000 0.000000000 0.020831386 0.999783003 0.041665787 keyframe_000052.pcd
53 1778757738.092990160 -1.642866 -0.165685 -0.636453 0.000000000 0.000000000 0.107733836 0.994179773 0.215886671 keyframe_000053.pcd
54 1778757741.393117428 -0.915014 -0.014065 -0.423616 0.000000000 0.000000000 0.009441491 0.999955428 0.018883263 keyframe_000054.pcd
55 1778757744.093007326 -0.220316 0.008523 -0.218301 0.000000000 0.000000000 0.098330793 0.995153785 0.196979892 keyframe_000055.pcd
