# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778757647.493067503 -0.006660 0.019435 0.014510 -0.005353483 -0.002619154 0.000540024 0.999982094 0.001108088 keyframe_000000.pcd
1 1778757649.192983150 -0.006497 -0.004107 0.030849 0.025227833 -0.006829898 -0.092209688 0.995396545 -0.184975421 keyframe_000001.pcd
2 1778757649.592931747 -0.014408 -0.023735 0.021351 0.065390059 -0.009041831 -0.178676557 0.981690926 -0.359705237 keyframe_000002.pcd
3 1778757649.788618088 -0.019618 -0.057475 0.015853 0.092344086 -0.007140544 -0.278401937 0.955988464 -0.563321928 keyframe_000003.pcd
4 1778757650.593332291 -0.033576 -0.054982 -0.011995 0.141637750 -0.007374907 -0.366290220 0.919628095 -0.745795695 keyframe_000004.pcd
5 1778757651.192945957 -0.010802 -0.028060 0.008090 0.086867082 -0.005576686 -0.274714720 0.957577586 -0.555598961 keyframe_000005.pcd
6 1778757651.393342972 -0.000857 0.000865 0.017705 0.046883758 -0.006865765 -0.170702057 0.984182697 -0.343355746 keyframe_000006.pcd
7 1778757651.693029881 0.008905 0.017260 0.024990 0.041525982 -0.005149450 -0.083386562 0.995638367 -0.167253001 keyframe_000007.pcd
8 1778757651.993317842 0.011646 0.052075 0.026699 -0.009820257 -0.019683759 0.017598530 0.999603123 0.035604302 keyframe_000008.pcd
9 1778757658.093205690 0.418905 0.195583 0.145599 -0.038174313 -0.021205697 0.105878916 0.993419698 0.213729912 keyframe_000009.pcd
10 1778757658.593220472 0.472198 0.280739 0.151676 -0.083250350 -0.011176304 0.233150417 0.968806148 0.470893605 keyframe_000010.pcd
11 1778757658.893050671 0.477778 0.325453 0.159170 -0.093073102 -0.008779846 0.319304449 0.943029682 0.649034311 keyframe_000011.pcd
12 1778757661.393270254 1.023007 1.098636 0.336709 -0.105820285 -0.030981377 0.402515196 0.908748446 0.830746627 keyframe_000012.pcd
13 1778757661.893124342 1.109580 1.286050 0.369791 -0.131720717 -0.029691679 0.481954975 0.865729437 1.006045318 keyframe_000013.pcd
14 1778757662.193125963 1.118128 1.436030 0.385275 -0.151927080 -0.034365030 0.572358424 0.805073314 1.218682073 keyframe_000014.pcd
15 1778757664.193123579 1.358077 2.437665 0.473859 -0.160081924 -0.031451964 0.563906011 0.809564428 1.197032788 keyframe_000015.pcd
16 1778757666.394169331 1.564851 3.454457 0.548052 -0.167610221 -0.034130516 0.585681539 0.792287232 1.250522968 keyframe_000016.pcd
17 1778757668.594088793 1.759316 4.310478 0.643844 -0.126681231 -0.032031381 0.506014704 0.852569631 1.061953467 keyframe_000017.pcd
18 1778757670.393063307 2.051279 4.986254 0.754878 -0.153060214 -0.034255753 0.588013528 0.793498081 1.257098147 keyframe_000018.pcd
19 1778757670.894018173 2.023461 5.191358 0.747315 -0.194102222 -0.052526117 0.682740046 0.702446699 1.507369762 keyframe_000019.pcd
20 1778757673.293086052 1.912740 6.209878 0.731415 -0.188883531 -0.038596207 0.688034503 0.699601220 1.519435884 keyframe_000020.pcd
