# idx stamp x y z qx qy qz qw yaw pcd_file
0 1778757647.493067503 -0.006660 0.019435 0.014510 -0.005353483 -0.002619154 0.000540024 0.999982094 0.001108088 keyframe_000000.pcd
1 1778757648.893033743 -0.008334 0.010976 0.028128 0.008923116 -0.007758963 -0.043106561 0.999000501 -0.086382173 keyframe_000001.pcd
2 1778757649.192983150 -0.006497 -0.004107 0.030849 0.025227833 -0.006829898 -0.092209688 0.995396545 -0.184975421 keyframe_000002.pcd
3 1778757649.592931747 -0.014408 -0.023735 0.021351 0.065390059 -0.009041831 -0.178676557 0.981690926 -0.359705237 keyframe_000003.pcd
4 1778757649.693368673 -0.021646 -0.041923 0.017714 0.082819690 -0.010454785 -0.237689874 0.967747447 -0.480095442 keyframe_000004.pcd
5 1778757650.292966127 -0.008259 -0.045931 0.012199 0.115696175 -0.011568128 -0.308784089 0.943998390 -0.626585311 keyframe_000005.pcd
6 1778757650.593332291 -0.033576 -0.054982 -0.011995 0.141637750 -0.007374907 -0.366290220 0.919628095 -0.745795695 keyframe_000006.pcd
7 1778757651.093351841 -0.021959 -0.041551 -0.000129 0.111076471 -0.007622695 -0.320244034 0.940769722 -0.650045087 keyframe_000007.pcd
8 1778757651.192945957 -0.010802 -0.028060 0.008090 0.086867082 -0.005576686 -0.274714720 0.957577586 -0.555598961 keyframe_000008.pcd
9 1778757651.293411255 -0.004734 -0.012967 0.013107 0.065454695 -0.004587254 -0.222267656 0.972775272 -0.447953217 keyframe_000009.pcd
10 1778757651.393342972 -0.000857 0.000865 0.017705 0.046883758 -0.006865765 -0.170702057 0.984182697 -0.343355746 keyframe_000010.pcd
11 1778757651.593392134 0.007879 0.011326 0.023294 0.040667119 -0.004923352 -0.115218844 0.992495120 -0.231161966 keyframe_000011.pcd
12 1778757651.793051958 0.008799 0.031706 0.024299 0.028142138 -0.009270706 -0.037596370 0.998853636 -0.075710825 keyframe_000012.pcd
13 1778757651.993317842 0.011646 0.052075 0.026699 -0.009820257 -0.019683759 0.017598530 0.999603123 0.035604302 keyframe_000013.pcd
14 1778757652.193412542 0.095086 0.077787 0.051853 -0.010774043 -0.006341408 0.064245609 0.997855805 0.128715634 keyframe_000014.pcd
15 1778757658.193277597 0.437791 0.203538 0.145699 -0.038482583 -0.020160560 0.109929736 0.992989474 0.221793461 keyframe_000015.pcd
16 1778757658.493208647 0.475239 0.257877 0.146377 -0.068308724 -0.005960518 0.187386285 0.979890183 0.376949579 keyframe_000016.pcd
17 1778757658.593220472 0.472198 0.280739 0.151676 -0.083250350 -0.011176304 0.233150417 0.968806148 0.470893605 keyframe_000017.pcd
18 1778757658.793322086 0.475265 0.312014 0.160279 -0.090066565 -0.006103988 0.302149454 0.948976534 0.612717860 keyframe_000018.pcd
19 1778757659.193211555 0.509146 0.384012 0.166923 -0.096614236 -0.009876852 0.349525393 0.931879894 0.713031570 keyframe_000019.pcd
20 1778757660.392948389 0.775209 0.765480 0.258626 -0.109105761 -0.035165797 0.379584117 0.918027885 0.782040721 keyframe_000020.pcd
21 1778757661.393270254 1.023007 1.098636 0.336709 -0.105820285 -0.030981377 0.402515196 0.908748446 0.830746627 keyframe_000021.pcd
22 1778757661.693208933 1.084545 1.200842 0.347965 -0.109538302 -0.026427337 0.447344509 0.887234944 0.928354810 keyframe_000022.pcd
23 1778757661.993153572 1.115348 1.335884 0.377356 -0.150231279 -0.043815384 0.514983103 0.842794862 1.084589082 keyframe_000023.pcd
24 1778757662.193125963 1.118128 1.436030 0.385275 -0.151927080 -0.034365030 0.572358424 0.805073314 1.218682073 keyframe_000024.pcd
25 1778757662.693066359 1.158610 1.703731 0.392352 -0.172930100 -0.029507591 0.612000586 0.771154826 1.315345523 keyframe_000025.pcd
26 1778757663.284853935 1.247002 2.019729 0.437735 -0.161337098 -0.020819885 0.572817864 0.803378222 1.216542953 keyframe_000026.pcd
27 1778757664.193123579 1.358077 2.437665 0.473859 -0.160081924 -0.031451964 0.563906011 0.809564428 1.197032788 keyframe_000027.pcd
28 1778757665.193110704 1.450231 2.871725 0.501505 -0.147124269 -0.029422491 0.579164069 0.801285060 1.234574616 keyframe_000028.pcd
29 1778757666.093058586 1.533561 3.295423 0.542726 -0.165655393 -0.030507058 0.578415442 0.798162381 1.231924659 keyframe_000029.pcd
30 1778757666.994118214 1.592855 3.723872 0.573680 -0.164815289 -0.038609957 0.588500541 0.790577197 1.258674802 keyframe_000030.pcd
