# current_idx candidate_idx sc_distance yaw_shift_deg
17 0 0.309759 30.000
18 1 0.253581 0.000
19 1 0.317053 348.000
20 0 0.349426 336.000
26 10 0.305443 342.000
27 11 0.304085 336.000
28 11 0.298541 0.000
29 9 0.329002 162.000
30 13 0.281864 114.000
31 13 0.256795 90.000
32 13 0.282076 90.000
33 1 0.296996 54.000
34 4 0.312113 0.000
35 2 0.302292 12.000
36 1 0.287811 24.000
37 15 0.272936 12.000
38 20 0.253744 78.000
39 16 0.305626 6.000
40 4 0.291398 24.000
41 6 0.251531 354.000
42 2 0.222626 354.000
43 3 0.201208 330.000
44 1 0.245081 354.000
45 4 0.246690 336.000
46 4 0.246863 336.000
47 4 0.257506 324.000
48 4 0.266147 354.000
49 4 0.242923 336.000
50 4 0.269205 324.000
51 1 0.289293 348.000
52 1 0.271864 348.000
53 1 0.279695 342.000
54 0 0.269926 6.000
55 0 0.225543 354.000
56 0 0.148076 0.000
57 1 0.112106 6.000
58 6 0.103551 348.000
