

===== 2026-05-17T03:51:54.672134 start unitree_cmd_node =====
[INFO] [1778961116.512089920] [unitree_cmd_node]: unitree_cmd_node ACTIVE: /patrol_cmd -> /api/sport/request
[INFO] [1778961116.512809888] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1778961117.642582144] [unitree_cmd_node]: Move x=0.000, y=0.000, z=0.000
[INFO] [1778961117.693248000] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.115
[INFO] [1778961117.743467040] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.115
[INFO] [1778961117.793508032] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.115
[INFO] [1778961117.843418784] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.115
[INFO] [1778961117.893453824] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.113
[INFO] [1778961117.943464480] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.113
[INFO] [1778961117.993477568] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.106
[INFO] [1778961118.043499104] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.106
[INFO] [1778961118.093517856] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.101
[INFO] [1778961118.143430464] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.101
[INFO] [1778961118.193407616] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.099
[INFO] [1778961118.243453312] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.099
[INFO] [1778961118.293492480] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.101
[INFO] [1778961118.343472608] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.101
[INFO] [1778961118.393366944] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.102
[INFO] [1778961118.443355296] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.102
[INFO] [1778961118.493481120] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.037
[INFO] [1778961118.543384768] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.037
[INFO] [1778961118.593350912] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.021
[INFO] [1778961118.643414176] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.021
[INFO] [1778961118.693457280] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.027
