

===== 2026-05-17T03:51:55.676782 start waypoint_follower =====
[INFO] [1778961117.598879168] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1778961117.599540480] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/records/test_01/route.csv
[INFO] [1778961117.600038784] [waypoint_follower]: route points: 27
[INFO] [1778961117.600505632] [waypoint_follower]: loop_mode: pingpong
[INFO] [1778961117.600979200] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1778961117.601440448] [waypoint_follower]: reach_distance: 0.4
[INFO] [1778961117.656582112] [waypoint_follower]: init nearest_index=0, distance_to_start=0.097
[INFO] [1778961117.678211808] [waypoint_follower]: nearest=0, target=2, dist=0.83, alpha=-0.13, vx=0.35, yaw_rate=-0.12, dir=1
[INFO] [1778961118.678958592] [waypoint_follower]: nearest=1, target=3, dist=1.00, alpha=-0.03, vx=0.35, yaw_rate=-0.03, dir=1
[INFO] [1778961119.727952416] [waypoint_follower]: nearest=1, target=3, dist=0.70, alpha=-0.03, vx=0.35, yaw_rate=-0.02, dir=1
[INFO] [1778961120.778074240] [waypoint_follower]: nearest=2, target=4, dist=0.80, alpha=-0.02, vx=0.35, yaw_rate=-0.02, dir=1
[INFO] [1778961121.778117760] [waypoint_follower]: nearest=3, target=5, dist=0.94, alpha=-0.06, vx=0.35, yaw_rate=-0.05, dir=1
[INFO] [1778961122.827973056] [waypoint_follower]: nearest=3, target=5, dist=0.67, alpha=-0.02, vx=0.35, yaw_rate=-0.02, dir=1
[INFO] [1778961123.829256640] [waypoint_follower]: nearest=4, target=6, dist=0.79, alpha=-0.07, vx=0.35, yaw_rate=-0.06, dir=1
[INFO] [1778961124.879111808] [waypoint_follower]: nearest=5, target=7, dist=0.90, alpha=0.01, vx=0.35, yaw_rate=0.01, dir=1
[INFO] [1778961125.928044960] [waypoint_follower]: nearest=5, target=7, dist=0.63, alpha=0.00, vx=0.35, yaw_rate=0.00, dir=1
[INFO] [1778961126.977870144] [waypoint_follower]: nearest=6, target=8, dist=0.76, alpha=0.02, vx=0.35, yaw_rate=0.02, dir=1
[INFO] [1778961127.978676064] [waypoint_follower]: nearest=7, target=9, dist=0.90, alpha=0.02, vx=0.35, yaw_rate=0.02, dir=1
[INFO] [1778961128.979238432] [waypoint_follower]: nearest=7, target=9, dist=0.63, alpha=0.03, vx=0.35, yaw_rate=0.02, dir=1
[INFO] [1778961130.027935840] [waypoint_follower]: nearest=8, target=10, dist=0.72, alpha=-0.02, vx=0.35, yaw_rate=-0.01, dir=1
[INFO] [1778961131.027981568] [waypoint_follower]: nearest=9, target=11, dist=0.88, alpha=0.04, vx=0.35, yaw_rate=0.03, dir=1
[INFO] [1778961132.029031136] [waypoint_follower]: nearest=10, target=12, dist=1.02, alpha=0.04, vx=0.35, yaw_rate=0.04, dir=1
[INFO] [1778961133.078061856] [waypoint_follower]: nearest=10, target=12, dist=0.72, alpha=0.02, vx=0.35, yaw_rate=0.02, dir=1
[INFO] [1778961134.127959328] [waypoint_follower]: nearest=11, target=13, dist=0.90, alpha=0.06, vx=0.35, yaw_rate=0.05, dir=1
[INFO] [1778961135.178269760] [waypoint_follower]: nearest=12, target=14, dist=1.01, alpha=-0.03, vx=0.35, yaw_rate=-0.03, dir=1
[INFO] [1778961136.228000832] [waypoint_follower]: nearest=12, target=14, dist=0.73, alpha=0.01, vx=0.35, yaw_rate=0.01, dir=1
[INFO] [1778961137.278092736] [waypoint_follower]: nearest=13, target=15, dist=0.80, alpha=0.14, vx=0.35, yaw_rate=0.13, dir=1
[INFO] [1778961138.327966464] [waypoint_follower]: nearest=14, target=16, dist=0.92, alpha=0.29, vx=0.35, yaw_rate=0.26, dir=1
[INFO] [1778961139.328013504] [waypoint_follower]: nearest=14, target=16, dist=0.64, alpha=0.09, vx=0.35, yaw_rate=0.08, dir=1
