id,x,y,yaw,v
0,-48.038092,-22.186007,-0.231876,0.200
1,0.037677,-0.017963,0.012585,0.200
2,0.494546,-0.011647,0.009032,0.200
3,0.955636,-0.012428,0.003940,0.200
4,1.387901,0.002969,0.002067,0.200
5,1.821556,0.022177,0.003893,0.200
6,-0.015760,-0.007958,0.000728,0.200
7,0.401794,-0.036471,-0.020028,0.200
8,0.815940,-0.027578,-0.031107,0.200
9,1.290988,-0.065512,-0.006312,0.200
10,1.725319,-0.058223,0.003423,0.200
11,2.148828,-0.058830,0.021066,0.200
12,2.552671,-0.056827,0.019118,0.200
13,3.024372,-0.038192,0.016811,0.200
14,3.475149,-0.029171,0.013493,0.200
15,3.923145,-0.014651,0.012723,0.200
16,4.408904,-0.001400,0.025092,0.200
17,4.820368,0.013961,0.030014,0.200
18,5.234943,0.039485,0.034992,0.200
19,5.707762,0.045079,0.062858,0.200
20,6.127433,0.080573,0.067186,0.200
21,6.599610,0.108747,0.043459,0.200
22,7.000765,0.053753,-0.061826,0.200
23,7.470209,0.009496,-0.062488,0.200
24,7.895359,-0.027408,-0.066700,0.200
25,8.348816,-0.061552,-0.075653,0.200
26,8.798745,-0.104330,-0.060612,0.200
27,9.270465,-0.155629,-0.066336,0.200
28,9.684399,-0.185670,-0.055467,0.200
29,10.137364,-0.212433,-0.048443,0.200
30,10.599778,-0.241209,-0.045957,0.200
31,11.031496,-0.288388,-0.034058,0.200
32,11.491873,-0.280724,-0.024565,0.200
33,11.935845,-0.292386,-0.022219,0.200
34,12.388853,-0.296706,-0.021552,0.200
35,12.814256,-0.280137,-0.020921,0.200
36,13.276760,-0.295491,-0.023228,0.200
37,13.684536,-0.303423,-0.024072,0.200
38,14.177236,-0.321314,-0.012125,0.200
39,14.580180,-0.370819,-0.014062,0.200
40,15.011657,-0.324455,-0.015397,0.200
41,15.484066,-0.313878,0.002633,0.200
42,15.926925,-0.329092,0.008189,0.200
43,16.353133,-0.325544,0.011633,0.200
44,16.793348,-0.370225,0.012993,0.200
45,17.236191,-0.408674,-0.135184,0.200
46,17.685947,-0.464444,-0.131755,0.200
47,18.147344,-0.597076,-0.143827,0.200
48,18.715732,-0.660071,-0.115122,0.200
49,19.281591,-0.666987,-0.108200,0.200
50,19.679391,-0.876113,-0.111312,0.200
51,20.230987,-0.943896,-0.108070,0.200
52,20.658971,-1.032812,-0.114265,0.200
53,21.074629,-1.104040,-0.113555,0.200
54,21.488159,-1.117026,-0.119441,0.200
55,22.041594,-1.249732,-0.098163,0.200
56,22.536487,-1.318467,-0.102068,0.200
57,23.008382,-1.363071,-0.108634,0.200
58,23.477935,-1.398889,-0.101077,0.200
59,23.936278,-1.462553,-0.113922,0.200
60,24.389369,-1.531310,-0.097616,0.200
61,24.825951,-1.604613,-0.103479,0.200
62,25.253649,-1.660078,-0.107079,0.200
63,25.661450,-1.698854,-0.091227,0.200
64,26.082580,-1.742198,-0.084148,0.200
65,26.495994,-1.809166,-0.095664,0.200
66,26.893203,-1.864384,-0.085199,0.200
67,27.316624,-1.890520,-0.088992,0.200
68,27.723126,-1.958303,-0.077438,0.200
69,28.226168,-2.044448,-0.086442,0.200
70,28.669577,-2.084785,-0.090093,0.200
71,29.384143,-2.146619,-0.067600,0.200
72,29.937869,-2.185060,-0.041398,0.200
73,30.627235,-2.207379,-0.021162,0.200
74,31.178659,-2.398149,-0.045068,0.200
75,31.874208,-2.505386,-0.033318,0.200
76,32.520199,-2.416746,-0.034599,0.200
77,33.059141,-2.351614,-0.044427,0.200
78,33.608186,-2.287149,-0.065861,0.200
79,34.262522,-2.254914,-0.075665,0.200
80,34.718853,-2.287475,-0.070554,0.200
81,35.378861,-2.329614,-0.098256,0.200
82,35.974353,-2.386881,-0.091321,0.200
83,36.368559,-2.504981,-0.414801,0.200
84,35.935918,-2.996313,-0.354152,0.200
85,36.056610,-3.402223,-0.430711,0.200
86,36.311298,-3.721910,-0.349432,0.200
87,35.880735,-3.705160,-0.387283,0.200
88,35.901426,-4.182491,-0.372023,0.200
89,36.247055,-4.485740,-0.376016,0.200
90,36.577398,-4.749942,-0.574151,0.200
91,36.893873,-5.048101,-0.559178,0.200
92,37.152320,-5.423838,-0.547035,0.200
93,37.495735,-5.688162,-0.543702,0.200
94,37.793451,-6.018720,-0.566005,0.200
95,38.016618,-6.375030,-0.539669,0.200
96,38.356246,-6.606077,-0.525470,0.200
97,38.815049,-7.020917,-0.505404,0.200
98,39.158240,-7.402637,-0.520980,0.200
99,39.482939,-7.652772,-0.529470,0.200
100,39.962010,-7.952325,-0.581504,0.200
101,40.327846,-8.266964,-0.592348,0.200
102,40.739887,-8.494667,-0.554481,0.200
103,40.910318,-8.868433,-0.579542,0.200
104,41.267141,-9.101743,-0.574517,0.200
105,41.686788,-9.327637,-0.572490,0.200
