id,x,y,yaw,v
0,-0.084824,0.029916,0.060962,0.200
1,0.313960,-0.020024,-0.061470,0.200
2,0.726414,-0.005978,-0.013859,0.200
3,1.152042,-0.024468,-0.017501,0.200
4,1.573077,-0.029293,0.007945,0.200
5,1.975294,-0.023377,0.002508,0.200
6,2.399590,-0.042341,-0.004632,0.200
7,2.821368,-0.044888,-0.027741,0.200
8,3.240232,-0.024805,0.001570,0.200
9,3.678218,-0.005282,0.006946,0.200
10,4.084603,0.021568,0.034118,0.200
11,4.512118,0.042515,0.047827,0.200
12,4.916441,0.067460,0.067068,0.200
13,5.341731,0.096835,0.069504,0.200
14,5.755396,0.131529,0.077259,0.200
15,6.186096,0.149913,0.028045,0.200
16,6.610211,0.161251,0.021814,0.200
17,7.046480,0.179794,0.027715,0.200
18,7.447181,0.219027,0.056755,0.200
19,7.873123,0.216697,0.080692,0.200
20,8.279541,0.288481,0.089783,0.200
21,8.726655,0.309193,0.054033,0.200
