id,x,y,yaw,v
0,-1.031838,0.193841,0.008171,0.200
1,-0.583427,0.207438,0.011599,0.200
2,-0.100368,0.250883,0.029685,0.200
3,0.332508,0.266273,0.020044,0.200
4,0.742410,0.175528,-0.271536,0.200
5,1.137538,0.018566,-0.330486,0.200
6,1.527228,-0.114224,-0.306950,0.200
7,1.948390,-0.234135,-0.254543,0.200
8,2.315376,-0.064578,0.320031,0.200
9,2.683065,0.150290,0.438482,0.200
10,3.042665,0.345653,0.472232,0.200
11,3.435762,0.561767,0.329284,0.200
12,3.812071,0.342497,-0.316871,0.200
13,4.225062,0.166887,-0.417241,0.200
14,4.613803,-0.042193,-0.405979,0.200
15,5.021220,-0.098724,-0.168673,0.200
16,5.421307,-0.134676,-0.102349,0.200
17,5.884080,-0.068761,0.049184,0.200
18,6.297292,-0.035399,0.085759,0.200
19,6.701870,-0.005526,0.050766,0.200
20,7.121717,0.007494,0.006264,0.200
21,7.573507,0.036412,0.013400,0.200
