id,x,y,yaw,v
0,0.011630,-0.010548,-0.001875,0.200
1,0.480004,-0.036167,-0.005510,0.200
2,0.881617,-0.037946,-0.015369,0.200
3,1.311957,-0.056644,-0.011762,0.200
4,1.776811,-0.076736,-0.009499,0.200
5,2.262834,-0.101351,-0.010795,0.200
6,2.707594,-0.148078,-0.008252,0.200
7,3.156583,-0.116063,-0.008549,0.200
8,3.627084,-0.118798,-0.004585,0.200
9,4.111142,-0.102684,-0.004749,0.200
10,4.545315,-0.145992,-0.007078,0.200
11,5.052747,-0.189378,-0.004286,0.200
12,5.521905,-0.165276,-0.002598,0.200
13,6.004359,-0.196762,0.001145,0.200
14,6.412122,-0.179305,0.001825,0.200
15,6.912361,-0.170214,-0.002180,0.200
16,7.393476,-0.159416,-0.003824,0.200
17,7.899403,-0.190472,-0.004866,0.200
18,8.307288,-0.228313,-0.008023,0.200
19,8.717170,-0.188885,0.005349,0.200
20,9.194035,-0.165901,-0.000075,0.200
21,9.638387,-0.182611,0.007023,0.200
22,10.073440,-0.189471,0.011272,0.200
23,10.489417,-0.189626,0.024438,0.200
24,10.992071,-0.194656,0.028752,0.200
25,11.395571,-0.191469,0.007464,0.200
26,11.864682,-0.199644,0.025986,0.200
27,12.382114,-0.196868,0.029573,0.200
28,12.887418,-0.181910,0.023728,0.200
29,13.299094,-0.211784,-0.037067,0.200
30,13.777801,-0.200879,-0.032547,0.200
31,14.206413,-0.284282,-0.050391,0.200
32,14.711765,-0.342232,-0.027139,0.200
33,15.199893,-0.365007,-0.034996,0.200
34,15.596413,-0.442661,-0.060614,0.200
35,16.025791,-0.484783,-0.066210,0.200
36,16.542370,-0.464319,-0.043357,0.200
37,16.947164,-0.479058,-0.026077,0.200
38,17.447666,-0.501292,-0.023796,0.200
39,17.926784,-0.581589,-0.030323,0.200
40,18.385864,-0.567040,-0.015308,0.200
41,18.790981,-0.554904,0.010401,0.200
42,19.207875,-0.574074,0.007327,0.200
43,19.611881,-0.609337,-0.001244,0.200
44,20.005403,-0.526501,-0.000706,0.200
45,20.495241,-0.521479,-0.005234,0.200
46,20.942104,-0.596098,-0.003461,0.200
47,21.408973,-0.624627,0.013968,0.200
48,21.953935,-0.631913,-0.000654,0.200
49,22.364929,-0.600687,0.015606,0.200
50,22.784797,-0.583346,0.034241,0.200
51,23.217900,-0.574812,0.042937,0.200
52,23.638593,-0.576846,0.039534,0.200
53,24.180234,-0.545045,0.047869,0.200
54,24.627188,-0.571318,-0.001791,0.200
55,25.063946,-0.637289,-0.013521,0.200
56,25.537625,-0.680893,-0.013812,0.200
57,25.973620,-0.688040,-0.047935,0.200
58,26.493831,-0.730987,-0.029341,0.200
59,26.895269,-0.751286,-0.039305,0.200
60,27.314323,-0.769532,-0.025710,0.200
61,27.754862,-0.779680,-0.016070,0.200
62,28.152052,-0.831575,-0.019372,0.200
63,28.579648,-0.885116,0.000015,0.200
64,29.104292,-0.884312,-0.004106,0.200
65,29.540834,-0.873935,0.006730,0.200
66,29.952156,-0.890248,-0.000952,0.200
67,30.486798,-0.879648,0.008675,0.200
68,30.923324,-0.824681,0.002616,0.200
69,31.358906,-0.838365,-0.003092,0.200
70,31.768890,-0.884673,0.032121,0.200
71,32.294356,-0.884562,0.018951,0.200
72,32.796417,-0.913583,0.010630,0.200
73,33.331405,-0.828893,0.023186,0.200
74,33.819784,-0.855630,0.033941,0.200
75,34.230430,-0.865495,0.049291,0.200
76,34.641551,-0.851975,0.065625,0.200
77,35.083562,-0.829723,0.074347,0.200
78,35.496230,-0.847184,0.045557,0.200
79,35.902453,-0.793187,0.053163,0.200
80,36.411566,-0.830995,-0.038818,0.200
81,36.935070,-0.834923,-0.037939,0.200
82,37.452817,-0.933788,-0.033230,0.200
83,37.961071,-0.958537,-0.027926,0.200
84,38.376776,-0.963207,-0.044937,0.200
85,38.888660,-1.053181,-0.014142,0.200
86,39.327554,-1.137366,-0.040832,0.200
87,39.750875,-1.092531,-0.022534,0.200
88,40.259461,-1.059447,-0.022944,0.200
89,40.687935,-1.067922,-0.004590,0.200
90,41.120251,-1.125251,0.003626,0.200
91,41.585383,-1.200593,0.017424,0.200
92,41.986251,-1.160125,0.032202,0.200
93,42.489523,-1.119649,0.029361,0.200
94,42.900671,-1.112166,0.037873,0.200
95,43.300415,-1.063537,0.012432,0.200
96,43.821806,-1.163186,0.015241,0.200
97,44.258449,-1.156748,0.030840,0.200
98,44.712909,-1.114249,0.030343,0.200
99,45.127100,-1.101231,0.035999,0.200
100,45.527710,-1.151240,0.052039,0.200
101,45.941192,-1.070112,0.058698,0.200
102,45.514281,-1.256986,-2.628291,0.200
103,45.111012,-1.185179,-2.959128,0.200
104,44.685615,-1.237218,-3.008432,0.200
105,44.202715,-1.261734,-3.015593,0.200
106,43.725434,-1.318865,-3.045117,0.200
107,43.204535,-1.338735,-3.050485,0.200
108,42.720968,-1.350041,-3.118208,0.200
109,42.268054,-1.331275,3.018934,0.200
110,41.793002,-1.327210,3.016609,0.200
111,41.272854,-1.302142,3.021835,0.200
112,40.837526,-1.306228,3.076926,0.200
113,40.324795,-1.260500,3.018311,0.200
114,39.823355,-1.232782,3.031800,0.200
115,39.296033,-1.204572,3.046089,0.200
116,38.848107,-1.157258,3.054130,0.200
117,38.442470,-1.157203,3.093240,0.200
118,38.021411,-1.145516,2.955163,0.200
119,37.517222,-1.132016,2.955143,0.200
120,37.076240,-1.053942,2.927601,0.200
121,36.652677,-0.987125,2.968627,0.200
122,36.193447,-0.980511,2.996952,0.200
123,35.759777,-0.969941,2.986724,0.200
124,35.353416,-0.948161,2.967552,0.200
125,34.913105,-0.970661,3.123594,0.200
126,34.429796,-0.963208,-3.137729,0.200
127,33.899110,-0.914624,2.987519,0.200
128,33.477519,-0.872310,2.967414,0.200
129,33.059232,-0.835967,2.954003,0.200
130,32.593771,-0.787089,2.963210,0.200
131,32.080063,-0.744955,2.968824,0.200
132,31.668399,-0.708963,2.970179,0.200
133,31.147437,-0.651999,3.004653,0.200
134,30.720565,-0.623321,3.035556,0.200
135,30.317767,-0.629312,3.055199,0.200
136,29.916678,-0.678321,-3.108678,0.200
137,29.469304,-0.743580,-3.020685,0.200
138,28.990733,-0.843329,-3.036040,0.200
139,28.504424,-0.926380,-2.810393,0.200
140,28.023061,-1.016992,-2.792322,0.200
141,27.534530,-1.120766,-2.834584,0.200
142,27.054578,-1.106496,-3.085359,0.200
143,26.558430,-1.175615,-3.047103,0.200
144,26.158718,-1.202695,-3.037999,0.200
145,25.618925,-1.223205,-3.067402,0.200
146,25.103095,-1.308173,-3.066013,0.200
147,24.570384,-1.371482,-3.052899,0.200
148,24.136969,-1.373841,-3.048226,0.200
149,23.695268,-1.385229,-3.001526,0.200
150,23.260160,-1.327829,3.002713,0.200
151,22.847974,-1.290082,3.001759,0.200
152,22.373941,-1.259498,2.995926,0.200
153,21.836497,-1.226320,3.033371,0.200
154,21.343522,-1.167681,3.015402,0.200
155,20.808988,-1.169311,3.024342,0.200
156,20.373633,-1.136176,3.025998,0.200
157,19.934918,-1.112180,3.042745,0.200
158,19.510248,-1.097994,3.027122,0.200
159,18.969302,-1.084298,3.052753,0.200
160,18.434902,-1.101418,3.118314,0.200
161,17.990959,-1.070402,3.099842,0.200
162,17.585412,-1.075403,3.071452,0.200
163,17.183402,-1.119497,3.080420,0.200
164,16.654445,-1.108440,3.078057,0.200
165,16.187658,-1.102517,2.958073,0.200
166,15.763174,-1.043487,2.939879,0.200
167,15.240283,-0.983118,2.972239,0.200
168,14.722650,-0.965969,2.936023,0.200
169,14.203284,-0.874395,2.927355,0.200
170,13.802920,-0.813703,2.913442,0.200
171,13.270028,-0.774612,2.930100,0.200
172,12.842464,-0.813941,2.928603,0.200
173,12.442524,-0.741567,2.945352,0.200
174,11.926164,-0.666272,2.975121,0.200
175,11.524017,-0.651786,3.014415,0.200
176,11.101880,-0.746802,-2.723610,0.200
177,10.712285,-0.978690,-2.506949,0.200
178,10.274363,-1.176627,-2.517909,0.200
179,9.882648,-1.270475,-2.788212,0.200
180,9.472171,-1.405977,-2.756412,0.200
181,9.050456,-1.434305,3.089447,0.200
182,8.652327,-1.332073,2.915540,0.200
183,8.216475,-1.324462,3.136544,0.200
184,7.810303,-1.395388,-3.118280,0.200
185,7.305931,-1.366548,-3.104177,0.200
186,6.800279,-1.362297,-3.114336,0.200
187,6.288882,-1.376531,-3.111415,0.200
188,5.890074,-1.428737,-2.989994,0.200
189,5.493598,-1.539475,-2.778474,0.200
190,5.079312,-1.724010,-2.591891,0.200
191,4.665700,-1.921049,-2.446115,0.200
192,4.235620,-2.212591,-2.433351,0.200
193,3.769356,-2.340550,-2.674661,0.200
194,3.351534,-2.493141,-2.651002,0.200
195,2.904216,-2.712676,-2.687137,0.200
196,2.394057,-2.862931,-2.650498,0.200
197,1.981462,-3.118409,-2.379610,0.200
198,1.574101,-3.346998,-2.390029,0.200
199,1.177705,-3.621280,-2.370341,0.200
200,0.812394,-3.957618,-2.172124,0.200
201,0.483880,-4.301075,-2.086696,0.200
202,0.181080,-4.595832,-2.018098,0.200
203,-0.153560,-4.976312,-2.021004,0.200
204,-0.412902,-5.317559,-1.952187,0.200
205,-0.703302,-5.671142,-1.935080,0.200
206,-1.021802,-6.117397,-1.948104,0.200
207,-1.239596,-6.549048,-1.698341,0.200
208,-1.417438,-6.909320,-1.680826,0.200
209,-1.635547,-7.392105,-1.681507,0.200
210,-1.773122,-7.791870,-1.615414,0.200
211,-1.909424,-8.266339,-1.562013,0.200
212,-2.023484,-8.754540,-1.438074,0.200
213,-2.059112,-9.161807,-1.415363,0.200
214,-2.135925,-9.574060,-1.358976,0.200
215,-2.156523,-10.010182,-1.381720,0.200
216,-2.203836,-10.466646,-1.369611,0.200
217,-2.253374,-10.906731,-1.398938,0.200
218,-2.309955,-11.367005,-1.396280,0.200
219,-2.346478,-11.833508,-1.371833,0.200
220,-2.448346,-12.259565,-1.464014,0.200
221,-2.578710,-12.742891,-1.463209,0.200
222,-2.676795,-13.150083,-1.456474,0.200
223,-2.742015,-13.596780,-1.471133,0.200
224,-2.886010,-14.044204,-1.509446,0.200
225,-2.970753,-14.491283,-1.483727,0.200
226,-3.042343,-14.936341,-1.458682,0.200
227,-3.161063,-15.366150,-1.480620,0.200
228,-3.254511,-15.810787,-1.469725,0.200
229,-3.294634,-16.266477,-1.457653,0.200
230,-3.399330,-16.738629,-1.484322,0.200
231,-3.469925,-17.161084,-1.371256,0.200
232,-3.517403,-17.650379,-1.352051,0.200
233,-3.554628,-18.075960,-1.363485,0.200
234,-3.626061,-18.544411,-1.334648,0.200
235,-3.678559,-19.057911,-1.362503,0.200
236,-3.675404,-19.509064,-1.381166,0.200
237,-3.806734,-20.003275,-1.516752,0.200
238,-4.000548,-20.485246,-1.526805,0.200
239,-4.148379,-20.870285,-1.559044,0.200
240,-4.241700,-21.354918,-1.533101,0.200
241,-4.310626,-21.798959,-1.499096,0.200
242,-4.257287,-22.237707,-1.325971,0.200
243,-4.305720,-22.734064,-1.302969,0.200
244,-4.315961,-23.298705,-1.287168,0.200
245,-4.364268,-23.745346,-1.301530,0.200
246,-4.274836,-24.189785,-1.035553,0.200
247,-4.057455,-24.635071,-0.955129,0.200
248,-4.002335,-25.041989,-0.973700,0.200
249,-3.844420,-25.478645,-0.956199,0.200
250,-3.693824,-25.913166,-0.992652,0.200
251,-3.542845,-26.354758,-0.982762,0.200
252,-3.313701,-26.748061,-0.770750,0.200
253,-2.976522,-27.123095,-0.659616,0.200
254,-2.709262,-27.429067,-0.658778,0.200
255,-2.440793,-27.766105,-0.658391,0.200
256,-2.135729,-28.036336,-0.573191,0.200
257,-1.790197,-28.400591,-0.580082,0.200
258,-1.484745,-28.737173,-0.568861,0.200
259,-1.184708,-29.038845,-0.600986,0.200
260,-0.882924,-29.352659,-0.591579,0.200
261,-0.491846,-29.534166,-0.398323,0.200
262,-0.082410,-29.828578,-0.400851,0.200
263,0.386803,-29.998566,-0.274289,0.200
264,0.793483,-30.179194,-0.260302,0.200
265,1.209680,-30.299941,-0.285272,0.200
266,1.612343,-30.503698,-0.276114,0.200
267,2.089923,-30.729053,-0.280325,0.200
268,2.564928,-30.953107,-0.280712,0.200
269,2.943894,-31.116616,-0.270780,0.200
270,3.306272,-31.289572,-0.279035,0.200
271,3.698819,-31.431503,-0.263050,0.200
272,4.107871,-31.598947,-0.260765,0.200
273,4.516701,-31.776363,-0.272262,0.200
274,4.899106,-31.919541,-0.286127,0.200
275,5.270615,-32.071115,-0.264599,0.200
276,5.650710,-32.326174,-0.374926,0.200
277,6.055438,-32.532378,-0.374442,0.200
278,6.394437,-32.750896,-0.368117,0.200
279,6.784004,-32.911091,-0.364032,0.200
280,7.155651,-33.143297,-0.376917,0.200
281,7.486131,-33.378204,-0.386198,0.200
282,7.868897,-33.597114,-0.371484,0.200
283,8.225063,-33.805760,-0.368086,0.200
284,8.600193,-33.993013,-0.347635,0.200
285,9.013709,-34.223459,-0.358844,0.200
286,9.400582,-34.448911,-0.374687,0.200
287,9.754064,-34.674213,-0.355184,0.200
288,10.218081,-34.943608,-0.363601,0.200
289,10.641657,-35.181679,-0.348724,0.200
290,11.093023,-35.452735,-0.326470,0.200
291,11.542104,-35.654341,-0.355497,0.200
292,11.889288,-35.868853,-0.339741,0.200
293,12.323002,-36.059784,-0.231060,0.200
294,12.812385,-36.238143,-0.218104,0.200
295,13.311830,-36.399774,-0.219716,0.200
296,13.696569,-36.565703,-0.211007,0.200
297,14.094146,-36.705223,-0.195313,0.200
298,14.586141,-36.853581,-0.188586,0.200
299,15.106373,-37.016880,-0.183059,0.200
300,15.512138,-37.133911,-0.187296,0.200
301,15.916074,-37.298366,-0.198659,0.200
302,16.318374,-37.411147,-0.192609,0.200
303,16.826651,-37.555019,-0.201908,0.200
304,17.223926,-37.675017,-0.192503,0.200
305,17.696332,-37.871281,-0.201193,0.200
306,18.108689,-37.960610,-0.187257,0.200
307,18.534287,-38.063054,-0.173971,0.200
308,18.945210,-38.175726,-0.196303,0.200
309,19.442111,-38.334801,-0.160907,0.200
310,19.843114,-38.321582,0.128131,0.200
311,20.095114,-37.974441,0.717380,0.200
312,20.337737,-37.532388,0.856550,0.200
313,20.585090,-37.107264,0.911465,0.200
314,20.732997,-36.638055,0.997502,0.200
315,20.911572,-36.253134,0.985082,0.200
316,21.071750,-35.877086,0.971508,0.200
317,21.226565,-35.500957,0.957541,0.200
318,21.356310,-35.032094,1.119658,0.200
319,21.190955,-34.612530,1.620186,0.200
320,21.027899,-34.175403,1.646933,0.200
321,20.818256,-33.780684,1.827680,0.200
322,20.449023,-33.610704,2.273565,0.200
323,20.126640,-33.312933,2.228040,0.200
324,19.760558,-33.002926,2.282411,0.200
325,19.326008,-32.808697,2.436412,0.200
326,18.907762,-32.541034,2.485741,0.200
327,18.486477,-32.283053,2.478469,0.200
328,18.067573,-32.119031,2.586456,0.200
329,17.655825,-31.932568,2.647064,0.200
330,17.246231,-31.764657,2.557842,0.200
331,16.799540,-31.558667,2.464209,0.200
332,16.353294,-31.438410,2.688868,0.200
333,15.967711,-31.285325,2.654317,0.200
334,15.521345,-31.176047,2.688832,0.200
335,15.092629,-31.050853,2.698259,0.200
336,14.643632,-30.908192,2.691441,0.200
337,14.188277,-30.706799,2.685146,0.200
338,14.285993,-30.279353,0.758137,0.200
339,14.285131,-29.847975,1.292620,0.200
340,14.301568,-29.419088,1.265847,0.200
341,14.345929,-28.930236,1.243657,0.200
342,14.385143,-28.445247,1.248094,0.200
343,14.436696,-28.048190,1.244479,0.200
344,14.489904,-27.547846,1.117113,0.200
345,14.678849,-27.168941,0.933660,0.200
346,14.861799,-26.726124,0.954300,0.200
347,14.993588,-26.315025,1.023513,0.200
348,15.092053,-25.876912,1.085907,0.200
349,15.201152,-25.378847,1.108643,0.200
350,15.364385,-24.917042,1.037710,0.200
351,15.499951,-24.490275,1.064577,0.200
352,15.495788,-24.043652,1.142791,0.200
353,15.555847,-23.519701,1.052163,0.200
354,15.725321,-23.032073,0.908402,0.200
355,15.829402,-22.645720,0.822801,0.200
356,15.361989,-22.740941,0.970224,0.200
357,14.953242,-22.746316,1.026697,0.200
358,14.445242,-22.769030,1.051543,0.200
359,13.986700,-22.837967,1.035920,0.200
360,13.504579,-23.000819,1.000920,0.200
361,12.994628,-23.171004,0.971326,0.200
362,12.476257,-23.382647,1.020542,0.200
363,12.120584,-23.577855,1.006381,0.200
364,11.745915,-23.773028,0.963426,0.200
365,11.320572,-24.010706,0.942745,0.200
366,10.852782,-24.254968,0.907367,0.200
367,10.387887,-24.471053,0.940746,0.200
368,9.841620,-24.756611,0.934547,0.200
369,9.256341,-25.023712,0.928398,0.200
370,8.635829,-25.318199,0.947273,0.200
371,8.033262,-25.584883,0.954054,0.200
372,7.425631,-25.870520,0.961191,0.200
373,6.765455,-26.188487,0.933174,0.200
374,6.109407,-26.501991,0.918850,0.200
375,5.445022,-26.863747,0.900099,0.200
376,4.738574,-27.230276,0.891071,0.200
377,4.379504,-27.433953,0.920191,0.200
378,4.022825,-27.639961,0.917604,0.200
379,3.635421,-27.856798,0.932642,0.200
380,3.271798,-28.066122,0.931091,0.200
381,2.903807,-28.280388,0.926079,0.200
382,2.496088,-28.511300,0.913847,0.200
383,2.118338,-28.739498,0.929402,0.200
384,1.721762,-28.973359,0.937891,0.200
385,1.331178,-29.203555,0.950120,0.200
386,0.934981,-29.462722,0.966220,0.200
387,0.515174,-29.720658,0.961674,0.200
388,0.081270,-29.974330,0.980911,0.200
389,-0.363747,-30.253343,1.004366,0.200
390,-0.793295,-30.536210,1.005219,0.200
391,-1.268364,-30.834141,1.000692,0.200
392,-1.734587,-31.125137,1.016135,0.200
393,-2.211494,-31.420209,1.011735,0.200
394,-2.704960,-31.748057,1.016692,0.200
395,-3.206840,-32.076998,1.022528,0.200
396,-3.716778,-32.419724,1.025714,0.200
397,-4.236717,-32.771901,1.010131,0.200
398,-4.796593,-33.149585,1.015608,0.200
399,-5.280125,-33.540884,1.061940,0.200
400,-5.838179,-33.943976,1.077806,0.200
401,-6.391496,-34.362474,1.067291,0.200
402,-6.967565,-34.799919,1.055299,0.200
403,-7.558819,-35.234506,1.056640,0.200
404,-8.155052,-35.665420,1.051098,0.200
405,-8.760779,-36.106757,1.038075,0.200
406,-9.348795,-36.541724,1.028441,0.200
407,-9.983383,-36.991564,1.057485,0.200
408,-10.597554,-37.399902,1.053127,0.200
409,-11.198090,-37.840181,1.045627,0.200
410,-11.824407,-38.284907,1.084586,0.200
411,-12.445664,-38.752182,1.108614,0.200
412,-13.124525,-39.227476,1.131470,0.200
413,-13.772318,-39.645869,1.152336,0.200
414,-14.448506,-40.078479,1.137019,0.200
415,-15.110516,-40.516606,1.151689,0.200
416,-15.778014,-40.901093,1.138530,0.200
417,-16.439058,-41.311767,1.132544,0.200
418,-17.134272,-41.717809,1.162470,0.200
419,-17.863223,-42.115330,1.174694,0.200
420,-18.613483,-42.476431,1.185361,0.200
421,-19.343976,-42.868662,1.195041,0.200
422,-20.119648,-43.278343,1.213765,0.200
423,-20.905389,-43.638310,1.210034,0.200
424,-21.703613,-44.017203,1.217059,0.200
425,-22.538006,-44.379633,1.238036,0.200
426,-23.378650,-44.750305,1.226405,0.200
427,-24.217185,-45.107167,1.228436,0.200
428,-25.071109,-45.462581,1.240217,0.200
429,-25.937517,-45.821987,1.240700,0.200
430,-26.869219,-46.202243,1.271481,0.200
431,-27.798015,-46.566988,1.271060,0.200
432,-28.707687,-46.908091,1.266906,0.200
433,-29.659738,-47.258679,1.276621,0.200
434,-30.572309,-47.571495,1.278692,0.200
435,-31.535270,-47.889156,1.312202,0.200
436,-32.481100,-48.209276,1.318969,0.200
437,-33.478886,-48.524294,1.302561,0.200
438,-34.482800,-48.869019,1.320601,0.200
439,-35.556147,-49.226619,1.363563,0.200
440,-36.605974,-49.542483,1.324326,0.200
441,-37.630828,-49.864917,1.307997,0.200
442,-38.661192,-50.154533,1.294991,0.200
443,-39.675935,-50.426039,1.241140,0.200
444,-40.708703,-50.713295,1.222960,0.200
445,-41.764173,-51.011613,1.219079,0.200
446,-42.816738,-51.305779,1.231515,0.200
447,-43.851095,-51.626866,1.229037,0.200
448,-44.913230,-51.978228,1.194801,0.200
449,-46.008559,-52.302636,1.187285,0.200
450,-47.146002,-52.628140,1.138818,0.200
451,-48.261505,-52.985682,1.153217,0.200
452,-49.436640,-53.311668,1.138087,0.200
453,-50.644219,-53.651461,1.139191,0.200
454,-51.765059,-53.945777,1.152375,0.200
455,-52.955616,-54.231892,1.172941,0.200
456,-54.138770,-54.549077,1.160080,0.200
457,-55.341892,-54.901921,1.160876,0.200
458,-56.557112,-55.237467,1.102543,0.200
459,-57.794110,-55.580312,1.146747,0.200
460,-59.010577,-55.922907,1.135706,0.200
461,-60.240740,-56.247866,1.147800,0.200
462,-61.530876,-56.572219,1.165261,0.200
463,-62.761094,-56.848018,1.133142,0.200
464,-64.070109,-57.111574,1.128050,0.200
465,-65.356754,-57.356101,1.126564,0.200
466,-66.620879,-57.561472,1.113781,0.200
467,-67.923307,-57.776703,1.105393,0.200
468,-69.236973,-57.988807,1.072229,0.200
469,-70.568050,-58.216157,1.057590,0.200
470,-71.900910,-58.448792,1.046798,0.200
