id,x,y,yaw,v
0,0.022474,-0.011082,-0.000261,0.200
1,0.450789,-0.047489,-0.007234,0.200
2,0.912218,-0.059052,0.003977,0.200
3,1.361927,-0.070009,0.008361,0.200
4,1.794926,-0.064162,-0.001754,0.200
5,2.225761,-0.056221,0.003223,0.200
6,2.678902,-0.059639,0.005208,0.200
7,3.088776,-0.043349,0.011921,0.200
8,3.530128,-0.062051,0.017937,0.200
9,4.005865,-0.061555,0.008637,0.200
10,4.432282,-0.074209,0.011516,0.200
11,4.902545,-0.043951,0.049781,0.200
12,5.304990,-0.038484,0.034104,0.200
13,5.712989,-0.030645,0.040879,0.200
14,6.150401,0.012231,0.067711,0.200
15,6.556818,0.026363,0.065860,0.200
16,7.005299,0.052932,0.076513,0.200
17,7.466630,0.083229,0.067565,0.200
18,7.952518,0.051890,-0.037835,0.200
19,8.399895,-0.003669,-0.086490,0.200
20,8.804582,-0.050741,-0.100518,0.200
21,9.280397,-0.123172,-0.099040,0.200
22,9.695874,-0.160879,-0.098516,0.200
23,10.113949,-0.200144,-0.102868,0.200
24,10.563790,-0.233772,-0.086669,0.200
25,10.999686,-0.292926,-0.094287,0.200
26,11.396187,-0.377521,-0.085470,0.200
27,11.870949,-0.445540,-0.091524,0.200
28,12.266397,-0.512873,-0.092244,0.200
29,12.672116,-0.505647,-0.089806,0.200
30,13.123180,-0.585507,-0.080014,0.200
31,13.582190,-0.611335,-0.057962,0.200
32,14.029436,-0.677378,-0.063181,0.200
33,14.442093,-0.702145,-0.073270,0.200
34,14.895276,-0.744622,-0.064048,0.200
35,15.336410,-0.803396,-0.059469,0.200
36,15.819330,-0.857100,-0.059756,0.200
37,16.300683,-0.881298,-0.063022,0.200
38,16.719952,-0.924389,-0.068225,0.200
39,17.121052,-0.970583,-0.060088,0.200
40,17.521763,-0.975416,-0.052378,0.200
41,17.969782,-1.016393,-0.060013,0.200
42,18.455980,-1.038919,-0.068318,0.200
43,18.922187,-1.073830,-0.052126,0.200
44,19.357661,-1.085926,-0.033970,0.200
45,19.804813,-1.128874,-0.025901,0.200
46,20.206790,-1.178189,-0.043789,0.200
47,20.634402,-1.202518,-0.044820,0.200
48,21.027341,-1.281568,-0.043062,0.200
49,21.461124,-1.248832,-0.032410,0.200
50,21.924600,-1.271973,-0.015907,0.200
51,22.337164,-1.316005,-0.021193,0.200
52,22.775546,-1.346033,-0.021520,0.200
53,23.213515,-1.352127,-0.018103,0.200
54,23.639128,-1.383932,-0.020760,0.200
55,24.090475,-1.391029,-0.003819,0.200
56,24.536862,-1.406482,-0.011122,0.200
57,24.963888,-1.511056,-0.010957,0.200
58,25.403653,-1.469195,-0.005973,0.200
59,25.838668,-1.470623,-0.017007,0.200
60,26.257800,-1.439395,-0.001802,0.200
61,26.694291,-1.532379,-0.004964,0.200
62,27.184634,-1.491085,0.002039,0.200
63,27.665612,-1.499714,-0.010201,0.200
64,28.102042,-1.520142,0.001013,0.200
65,28.559544,-1.504760,0.013020,0.200
66,29.045253,-1.512868,0.014232,0.200
67,29.545569,-1.465900,0.026872,0.200
68,30.007675,-1.503901,0.043624,0.200
69,30.414144,-1.521344,0.028239,0.200
70,30.817197,-1.541488,0.043817,0.200
71,31.237370,-1.465152,0.047060,0.200
72,31.645813,-1.448633,0.051354,0.200
73,32.071652,-1.431034,0.069677,0.200
74,32.482155,-1.397664,0.074722,0.200
75,32.961754,-1.368069,0.071206,0.200
76,33.366691,-1.371098,0.075876,0.200
77,33.782804,-1.313194,0.078636,0.200
78,34.235232,-1.273185,0.080012,0.200
79,34.732448,-1.214811,0.061422,0.200
