id,x,y,yaw,v
0,0.000529,0.001220,0.002984,0.200
1,0.416306,-0.028343,-0.015939,0.200
2,0.841924,-0.024485,-0.025669,0.200
3,1.258289,-0.027636,0.003630,0.200
4,1.692595,-0.012952,-0.018566,0.200
5,2.132017,-0.012930,-0.014316,0.200
6,2.532122,0.009410,-0.003215,0.200
7,2.484091,-0.410774,-1.244062,0.200
8,2.494436,-0.821219,-1.248231,0.200
9,2.526903,-1.250231,-1.225555,0.200
10,2.565305,-1.654390,-1.213137,0.200
11,2.608204,-2.067965,-1.199237,0.200
12,2.669709,-2.486285,-1.189205,0.200
