id,x,y,yaw,v
0,-0.026295,-0.011152,0.011312,0.200
1,0.382591,-0.054621,-0.015276,0.200
2,0.789584,-0.024828,0.016670,0.200
3,1.227967,-0.034983,0.026302,0.200
4,1.268927,-0.440914,-0.886511,0.200
5,1.388255,-0.829336,-1.128304,0.200
6,1.455943,-1.280323,-1.137125,0.200
7,1.453637,-1.690965,-1.276331,0.200
8,1.437118,-2.100444,-1.281424,0.200
9,1.466788,-2.526676,-1.287561,0.200
10,1.475231,-3.009071,-1.297521,0.200
11,1.882178,-2.802288,-0.024049,0.200
12,2.011655,-2.401131,1.245034,0.200
13,2.050023,-2.000071,1.227415,0.200
14,2.089288,-1.584978,1.218958,0.200
15,2.137946,-1.121880,1.217657,0.200
16,2.196021,-0.596392,1.215934,0.200
17,2.277585,-0.113796,1.210684,0.200
18,1.874119,-0.179006,3.023837,0.200
19,1.415060,-0.180284,3.059555,0.200
20,0.956884,-0.120833,3.056209,0.200
21,0.464097,-0.066630,3.059665,0.200
22,-0.043532,-0.024208,3.037676,0.200
