id,x,y,yaw,v
0,19214781.682127,2628630.227141,2.072636,0.200
1,19351600.878340,2661946.899648,-2.440593,0.200
2,19533479.183401,2705821.366017,2.339036,0.200
3,19604699.458563,2722830.562509,-2.385153,0.200
4,19618906.716657,2726203.080937,-2.442476,0.200
5,19761764.649359,2760010.104764,2.186380,0.200
6,19937974.515146,2801422.571997,0.828401,0.200
7,20053105.444496,2828097.728623,-2.913589,0.200
8,20205706.386307,2863071.683927,1.601928,0.200
9,20340295.195163,2893593.871181,-1.152766,0.200
10,20471321.280229,2923014.138330,2.883881,0.200
11,20615434.912199,2955314.081821,1.279835,0.200
12,20678057.883863,2969225.177845,2.114528,0.200
13,20730490.637950,2980861.673467,-2.902305,0.200
14,20785055.706691,2992940.233484,-2.057970,0.200
15,20801873.549689,2996647.712456,-1.876100,0.200
16,20879742.693749,3013784.832782,1.620362,0.200
17,20919816.214793,3022589.862332,2.168192,0.200
18,21042350.298386,3049403.679442,-1.883827,0.200
19,21146206.924136,3071992.348895,1.912595,0.200
20,21220559.821739,3088121.817273,-2.695640,0.200
21,21260987.985207,3096863.165081,-2.132792,0.200
