id,x,y,yaw,v
0,0.023306,0.000012,-0.000156,0.200
1,0.409136,0.133594,0.003161,0.200
2,0.831032,-0.006230,0.018232,0.200
3,1.239363,0.027444,0.020674,0.200
4,1.663726,0.062350,0.035015,0.200
5,2.226972,0.068971,0.033239,0.200
6,2.656567,0.065994,0.016681,0.200
7,3.201157,0.065174,0.011511,0.200
8,3.615594,0.107184,0.012383,0.200
9,4.028689,0.118569,0.022599,0.200
10,4.478695,0.135798,0.028165,0.200
11,4.881197,0.184230,0.019876,0.200
12,5.306844,0.174709,0.020413,0.200
13,5.752887,0.220909,0.024359,0.200
14,6.202407,0.219879,0.032937,0.200
15,6.656329,0.272349,0.040094,0.200
16,7.127055,0.298492,0.053490,0.200
17,7.559226,0.332572,0.053784,0.200
18,7.993784,0.357697,0.052806,0.200
19,8.428675,0.382197,0.068014,0.200
20,8.844163,0.429516,0.066682,0.200
21,9.290403,0.464713,0.075046,0.200
22,9.731952,0.503514,0.081947,0.200
23,10.187289,0.561111,0.076222,0.200
24,10.589805,0.561829,0.073885,0.200
25,11.010766,0.588375,0.066041,0.200
26,11.450279,0.670191,0.071487,0.200
27,11.857610,0.681008,0.067097,0.200
28,12.273396,0.766899,0.078255,0.200
29,12.762669,0.835544,0.090331,0.200
30,13.183843,0.888251,0.089431,0.200
31,13.658862,0.933014,0.102883,0.200
32,14.070198,0.987697,0.094273,0.200
33,14.505836,1.072674,0.094702,0.200
34,14.927953,1.121072,0.110261,0.200
35,15.363763,1.165297,0.120362,0.200
36,15.792081,1.241868,0.108608,0.200
37,16.319296,1.305652,0.114536,0.200
38,16.738971,1.374236,0.098291,0.200
39,17.175789,1.436237,0.083104,0.200
40,17.621714,1.477258,0.082878,0.200
41,18.102601,1.511039,0.085731,0.200
42,18.558109,1.572756,0.081150,0.200
43,19.002325,1.711725,0.093416,0.200
44,19.402605,1.714253,0.095488,0.200
45,19.872562,1.753589,0.102472,0.200
46,20.325701,1.831267,0.089895,0.200
47,20.898639,1.880000,0.114006,0.200
48,21.315432,1.982052,0.107796,0.200
49,21.733753,2.031070,0.122143,0.200
50,22.134428,2.083184,0.114415,0.200
51,22.594325,2.181438,0.118504,0.200
52,23.084080,2.260759,0.139381,0.200
53,23.540679,2.343220,0.133565,0.200
54,23.994288,2.413954,0.133527,0.200
55,24.471699,2.477652,0.132401,0.200
56,24.894054,2.498985,0.135856,0.200
57,25.377005,2.586767,0.084367,0.200
58,25.788277,2.629329,0.070407,0.200
59,26.238115,2.636443,0.014069,0.200
60,26.723768,2.651834,0.010562,0.200
61,27.130861,2.649621,-0.002962,0.200
62,27.575712,2.666544,0.000076,0.200
63,28.002617,2.642343,0.001112,0.200
64,28.453189,2.658225,-0.005515,0.200
65,28.899501,2.658743,0.009547,0.200
66,29.299747,2.649284,0.000015,0.200
67,29.757066,2.677511,0.006998,0.200
68,30.245949,2.682842,0.005306,0.200
69,30.657139,2.729777,0.010694,0.200
70,31.100800,2.748667,0.010021,0.200
71,31.577788,2.772731,0.009866,0.200
72,32.044810,2.796497,0.016851,0.200
73,32.451417,2.829540,0.022871,0.200
74,32.862889,2.846367,0.031736,0.200
75,33.267212,2.876807,0.036300,0.200
76,33.706876,2.873819,0.042413,0.200
77,34.114945,2.899550,0.047601,0.200
78,34.523562,2.985669,0.049581,0.200
79,34.950143,2.977206,0.043585,0.200
80,35.421918,2.999806,0.040116,0.200
81,35.839547,3.027720,0.038089,0.200
82,36.285048,3.087772,0.042485,0.200
83,36.729259,3.100681,0.041101,0.200
84,37.152309,3.138361,0.049055,0.200
85,37.625068,3.176826,0.051938,0.200
86,38.116085,3.180398,0.054076,0.200
87,38.539452,3.236585,0.070287,0.200
88,38.996577,3.335758,0.086346,0.200
89,39.427256,3.546016,0.057632,0.200
90,39.842451,3.589924,0.051791,0.200
91,40.309116,3.553208,0.082784,0.200
92,40.735301,3.445562,0.094138,0.200
93,41.143001,3.442132,0.056218,0.200
94,41.595975,3.449017,0.049176,0.200
95,42.027983,3.487529,0.070547,0.200
96,42.493244,3.558168,0.082925,0.200
97,42.962937,3.615332,0.003280,0.200
98,43.413811,3.628655,-0.017617,0.200
99,43.894974,3.645402,-0.008644,0.200
100,44.379923,3.610284,0.002138,0.200
101,44.799913,3.608065,0.021564,0.200
102,45.285022,3.626235,0.010338,0.200
103,45.738148,3.639199,0.013624,0.200
104,46.174803,3.660141,0.014391,0.200
105,46.701338,3.728601,-0.023177,0.200
106,47.108042,3.820135,-0.013466,0.200
107,47.514056,3.784891,0.023175,0.200
108,48.038554,3.776044,0.022511,0.200
109,48.441974,3.752542,0.055291,0.200
110,48.882989,3.848193,0.030639,0.200
111,49.300102,3.872188,-0.000801,0.200
112,49.716183,3.801176,0.016989,0.200
113,50.161520,3.802418,0.045455,0.200
114,50.636513,3.859262,0.029242,0.200
115,51.027883,3.942414,0.012964,0.200
116,51.479659,3.990765,0.025138,0.200
117,51.896860,3.991361,0.035800,0.200
118,52.370271,3.988086,0.049255,0.200
119,52.785393,3.996588,0.050423,0.200
120,53.205660,3.929076,-0.068129,0.200
121,53.626648,3.713100,-0.315913,0.200
122,53.998854,3.533981,-0.338820,0.200
123,54.400496,3.518425,-0.304375,0.200
124,54.855990,3.401725,-0.313277,0.200
125,55.267824,3.219952,-0.306275,0.200
126,55.711044,3.031246,-0.302730,0.200
127,56.200058,2.857786,-0.280271,0.200
128,56.658359,2.743447,-0.280391,0.200
129,57.139638,2.547085,-0.281536,0.200
130,57.590473,2.377443,-0.277085,0.200
131,58.084203,2.196448,-0.266191,0.200
132,58.547056,2.077096,-0.276148,0.200
133,58.986830,1.923024,-0.264793,0.200
134,59.473576,1.785228,-0.256767,0.200
135,59.933293,1.658096,-0.252005,0.200
136,60.395898,1.566747,-0.253068,0.200
137,60.834807,1.420682,-0.248586,0.200
138,61.247161,1.256277,-0.254724,0.200
139,61.678747,1.161744,-0.249212,0.200
140,61.964931,0.784942,-0.736875,0.200
141,62.275299,0.449105,-0.733755,0.200
142,62.580839,0.050860,-0.727570,0.200
143,62.930949,-0.332676,-0.713574,0.200
144,63.200576,-0.661939,-0.717491,0.200
145,63.491788,-1.021719,-0.691495,0.200
146,63.851247,-1.358623,-0.696762,0.200
147,64.157996,-1.713081,-0.683742,0.200
148,64.457169,-2.038293,-0.679307,0.200
149,64.868280,-2.366770,-0.663885,0.200
150,65.056091,-2.721487,-0.667037,0.200
151,65.250094,-3.099338,-0.666249,0.200
152,65.597052,-3.340539,-0.649882,0.200
153,66.062610,-3.726075,-0.652695,0.200
154,66.604281,-4.214558,-0.657407,0.200
155,66.975384,-4.671937,-0.644129,0.200
156,67.382942,-5.090011,-0.626317,0.200
157,67.688421,-5.407460,-0.612601,0.200
158,68.064193,-5.821340,-0.622588,0.200
159,68.432829,-6.190376,-0.611805,0.200
160,68.838255,-6.452098,-0.600371,0.200
161,69.165901,-6.751649,-0.590224,0.200
162,69.508513,-7.114704,-0.597051,0.200
163,69.957122,-7.446297,-0.597238,0.200
164,70.249943,-7.746309,-0.556709,0.200
165,70.607999,-8.069557,-0.584187,0.200
166,70.946967,-8.423869,-0.610919,0.200
167,71.340811,-8.686796,-0.594075,0.200
168,71.691546,-9.037148,-0.610157,0.200
169,72.049631,-9.399570,-0.592224,0.200
170,72.389822,-9.701676,-0.586289,0.200
171,72.775953,-10.002260,-0.577900,0.200
172,73.215220,-10.340854,-0.573516,0.200
173,73.553010,-10.647719,-0.575062,0.200
174,73.864641,-10.899211,-0.580017,0.200
175,74.079307,-11.315567,-0.632182,0.200
176,74.344736,-11.696989,-0.605719,0.200
177,74.776732,-11.927261,-0.643169,0.200
178,75.155048,-12.168789,-0.604607,0.200
179,75.574708,-12.487439,-0.569148,0.200
180,75.968635,-12.572880,-0.555220,0.200
181,76.347130,-12.889985,-0.560890,0.200
182,76.838730,-13.150039,-0.567796,0.200
183,77.159688,-13.465437,-0.562674,0.200
184,77.480638,-13.753016,-0.547000,0.200
185,77.853520,-14.022317,-0.550878,0.200
186,78.260402,-14.318350,-0.537693,0.200
187,78.555308,-14.604178,-0.543667,0.200
188,78.939635,-14.875373,-0.541360,0.200
189,79.268045,-15.112549,-0.535000,0.200
190,79.694479,-15.210627,-0.144467,0.200
191,80.191750,-15.224725,-0.072394,0.200
192,80.599749,-15.274521,-0.083857,0.200
193,81.062413,-15.376946,-0.077486,0.200
194,81.506503,-15.369622,-0.092655,0.200
195,81.935773,-15.376661,-0.081367,0.200
196,82.412644,-15.387811,-0.074799,0.200
197,82.870761,-15.425496,-0.077085,0.200
198,83.321538,-15.482419,-0.072862,0.200
199,83.769632,-15.467892,-0.066532,0.200
200,84.267876,-15.499220,-0.066391,0.200
201,84.738807,-15.571736,-0.075579,0.200
202,85.145124,-15.551404,-0.070783,0.200
203,85.611600,-15.533835,-0.060505,0.200
204,86.072150,-15.615001,-0.048199,0.200
205,86.513060,-15.639147,-0.056717,0.200
206,86.923300,-15.571447,-0.034836,0.200
207,87.342677,-15.522558,-0.041909,0.200
208,87.741192,-15.597527,-0.057429,0.200
209,88.219142,-15.644231,-0.036750,0.200
210,88.735362,-15.644295,-0.041134,0.200
211,89.223752,-15.649599,-0.026509,0.200
212,89.625704,-15.577903,0.005340,0.200
213,90.098182,-15.585105,0.061176,0.200
214,90.528551,-15.493561,0.099213,0.200
215,90.966930,-15.390217,0.095698,0.200
216,91.456811,-15.407622,0.099832,0.200
217,91.966294,-15.349266,0.098617,0.200
218,92.411889,-15.225974,0.107469,0.200
219,92.773551,-15.020610,0.093880,0.200
220,93.292922,-14.961778,0.092260,0.200
221,93.751353,-14.956528,0.097626,0.200
222,94.181329,-14.887266,0.108918,0.200
223,94.649394,-14.824310,0.105669,0.200
224,95.109243,-14.712843,0.108262,0.200
225,95.533698,-14.615040,0.100605,0.200
226,95.952212,-14.564956,0.121287,0.200
227,96.397264,-14.491066,0.126754,0.200
228,96.828630,-14.412734,0.135235,0.200
229,97.312862,-14.290972,0.136569,0.200
230,97.795730,-14.196567,0.128397,0.200
231,98.267036,-14.099348,0.136698,0.200
232,98.697976,-13.990522,0.139278,0.200
233,99.180336,-13.845115,0.149358,0.200
234,99.646569,-13.750066,0.141098,0.200
235,100.066968,-13.703856,0.187571,0.200
236,100.347609,-13.403372,0.460904,0.200
237,100.613557,-13.093684,0.784734,0.200
238,100.645105,-12.660467,1.000934,0.200
239,100.838215,-12.275883,0.996233,0.200
