id,x,y,yaw,v
0,0.001932,0.010873,0.241565,0.200
1,0.099029,0.034795,0.241565,0.200
2,0.196125,0.058717,0.241565,0.200
3,0.260887,0.074673,-0.264548,0.200
4,0.357408,0.048526,-0.264548,0.200
5,0.453929,0.022378,-0.264548,0.200
6,0.550450,-0.003769,-0.264548,0.200
7,0.588715,-0.014135,-0.046230,0.200
8,0.688608,-0.018756,-0.046230,0.200
9,0.788501,-0.023378,-0.046230,0.200
10,0.888395,-0.027999,-0.046230,0.200
11,0.988288,-0.032620,-0.046230,0.200
12,1.088181,-0.037242,-0.046230,0.200
13,1.117832,-0.038613,0.134315,0.200
14,1.216931,-0.025222,0.134315,0.200
15,1.316030,-0.011831,0.134315,0.200
16,1.377953,-0.003464,-0.147472,0.200
17,1.476867,-0.018157,-0.147472,0.200
18,1.575782,-0.032851,-0.147472,0.200
19,1.674697,-0.047545,-0.147472,0.200
20,1.773611,-0.062239,-0.147472,0.200
21,1.838225,-0.071837,0.237482,0.200
22,1.935418,-0.048312,0.237482,0.200
23,2.032611,-0.024786,0.237482,0.200
24,2.047460,-0.021192,-0.171280,0.200
25,2.145997,-0.038236,-0.171280,0.200
26,2.244534,-0.055281,-0.171280,0.200
27,2.313510,-0.067212,0.000773,0.200
28,2.413510,-0.067135,0.000773,0.200
29,2.513510,-0.067058,0.000773,0.200
30,2.613510,-0.066980,0.000773,0.200
31,2.813510,-0.066826,0.000773,0.200
32,3.013510,-0.066671,0.000773,0.200
33,3.213510,-0.066517,0.000773,0.200
34,3.413510,-0.066362,0.000773,0.200
35,3.613510,-0.066208,0.000773,0.200
36,3.813510,-0.066053,0.000773,0.200
37,4.013510,-0.065899,0.000773,0.200
38,4.213510,-0.065744,0.000773,0.200
39,4.313510,-0.065667,0.000773,0.200
40,4.350511,-0.065638,-0.135701,0.200
41,4.449592,-0.079167,-0.135701,0.200
42,4.548672,-0.092695,-0.135701,0.200
43,4.647753,-0.106224,-0.135701,0.200
44,4.746834,-0.119752,-0.135701,0.200
45,4.845914,-0.133280,-0.135701,0.200
46,4.904351,-0.141259,-0.035545,0.200
47,5.004288,-0.144813,-0.035545,0.200
48,5.104225,-0.148367,-0.035545,0.200
49,5.204162,-0.151921,-0.035545,0.200
50,5.404035,-0.159028,-0.035545,0.200
51,5.603909,-0.166136,-0.035545,0.200
52,5.803783,-0.173244,-0.035545,0.200
53,6.003656,-0.180351,-0.035545,0.200
54,6.203530,-0.187459,-0.035545,0.200
55,6.403404,-0.194566,-0.035545,0.200
56,6.603277,-0.201674,-0.035545,0.200
57,6.681187,-0.204444,0.026623,0.200
58,6.881116,-0.199120,0.026623,0.200
59,7.081045,-0.193796,0.026623,0.200
60,7.280974,-0.188472,0.026623,0.200
61,7.480903,-0.183148,0.026623,0.200
62,7.680833,-0.177824,0.026623,0.200
63,7.880762,-0.172500,0.026623,0.200
64,8.080691,-0.167176,0.026623,0.200
65,8.280620,-0.161852,0.026623,0.200
66,8.380585,-0.159190,0.026623,0.200
67,8.480549,-0.156528,0.026623,0.200
68,8.490666,-0.156258,-0.068375,0.200
69,8.590433,-0.163091,-0.068375,0.200
70,8.690199,-0.169923,-0.068375,0.200
71,8.789965,-0.176755,-0.068375,0.200
72,8.889732,-0.183587,-0.068375,0.200
73,8.989498,-0.190419,-0.068375,0.200
74,9.081644,-0.196729,0.114508,0.200
75,9.180990,-0.185304,0.114508,0.200
76,9.280335,-0.173878,0.114508,0.200
77,9.379680,-0.162452,0.114508,0.200
78,9.479025,-0.151026,0.114508,0.200
79,9.578370,-0.139600,0.114508,0.200
80,9.635156,-0.133069,0.013065,0.200
81,9.735147,-0.131763,0.013065,0.200
82,9.835139,-0.130457,0.013065,0.200
83,9.935130,-0.129150,0.013065,0.200
84,10.135113,-0.126537,0.013065,0.200
85,10.335096,-0.123924,0.013065,0.200
86,10.535079,-0.121312,0.013065,0.200
87,10.613436,-0.120288,0.096810,0.200
88,10.812499,-0.100956,0.096810,0.200
89,11.011563,-0.081624,0.096810,0.200
90,11.210626,-0.062292,0.096810,0.200
91,11.409690,-0.042961,0.096810,0.200
92,11.608753,-0.023629,0.096810,0.200
93,11.807817,-0.004297,0.096810,0.200
94,11.907349,0.005369,-0.051235,0.200
95,12.007938,0.000211,-0.052311,0.200
96,12.107801,-0.005018,-0.052311,0.200
97,12.207664,-0.010247,-0.052311,0.200
98,12.407391,-0.020704,-0.052311,0.200
99,12.607117,-0.031161,-0.052311,0.200
100,12.806843,-0.041619,-0.052311,0.200
101,13.006570,-0.052076,-0.052311,0.200
102,13.206296,-0.062533,-0.052311,0.200
103,13.406023,-0.072991,-0.052311,0.200
104,13.605749,-0.083448,-0.052311,0.200
105,13.805476,-0.093905,-0.052311,0.200
106,14.005202,-0.104363,-0.052311,0.200
107,14.204928,-0.114820,-0.052311,0.200
108,14.404655,-0.125277,-0.052311,0.200
109,14.604381,-0.135735,-0.052311,0.200
110,14.804108,-0.146192,-0.052311,0.200
111,14.952278,-0.153950,-0.016340,0.200
112,15.152251,-0.157218,-0.016340,0.200
113,15.352225,-0.160486,-0.016340,0.200
114,15.552198,-0.163754,-0.016340,0.200
115,15.752171,-0.167022,-0.016340,0.200
116,15.952145,-0.170290,-0.016340,0.200
117,16.152118,-0.173558,-0.016340,0.200
118,16.352091,-0.176825,-0.016340,0.200
119,16.552065,-0.180093,-0.016340,0.200
120,16.752038,-0.183361,-0.016340,0.200
121,16.782739,-0.183863,0.061322,0.200
122,16.982363,-0.171606,0.061322,0.200
123,17.181987,-0.159349,0.061322,0.200
124,17.381611,-0.147093,0.061322,0.200
125,17.581236,-0.134836,0.061322,0.200
126,17.780860,-0.122579,0.061322,0.200
127,17.971078,-0.110900,-0.025904,0.200
128,18.171011,-0.116080,-0.025904,0.200
129,18.270977,-0.118670,-0.025904,0.200
130,18.370944,-0.121260,-0.025904,0.200
131,18.465252,-0.123704,0.079568,0.200
132,18.564936,-0.115755,0.079568,0.200
133,18.664620,-0.107807,0.079568,0.200
134,18.764303,-0.099858,0.079568,0.200
135,18.963671,-0.083961,0.079568,0.200
136,19.163038,-0.068065,0.079568,0.200
137,19.362405,-0.052168,0.079568,0.200
138,19.561772,-0.036271,0.079568,0.200
139,19.761139,-0.020374,0.079568,0.200
140,19.860823,-0.012425,0.079568,0.200
141,19.945473,-0.005676,-0.060807,0.200
142,20.045288,-0.011753,-0.060807,0.200
143,20.145103,-0.017830,-0.060807,0.200
144,20.244918,-0.023907,-0.060807,0.200
145,20.319002,-0.028417,0.226061,0.200
146,20.416457,-0.006003,0.226061,0.200
147,20.513913,0.016411,0.226061,0.200
148,20.611369,0.038825,0.226061,0.200
149,20.708824,0.061239,0.226061,0.200
150,20.713725,0.062366,-0.007377,0.200
151,20.813722,0.061629,-0.007377,0.200
152,20.913720,0.060891,-0.007377,0.200
153,21.013717,0.060153,-0.007377,0.200
154,21.213712,0.058678,-0.007377,0.200
155,21.413706,0.057203,-0.007377,0.200
156,21.513703,0.056465,-0.007377,0.200
157,21.535571,0.056304,0.194017,0.200
158,21.633694,0.075584,0.194017,0.200
159,21.731818,0.094864,0.194017,0.200
160,21.829942,0.114144,0.194017,0.200
161,21.928066,0.133425,0.194017,0.200
162,21.969446,0.141555,0.042449,0.200
163,22.069356,0.145799,0.042449,0.200
164,22.169266,0.150043,0.042449,0.200
165,22.269176,0.154286,0.042449,0.200
166,22.468996,0.162774,0.042449,0.200
167,22.668816,0.171261,0.042449,0.200
168,22.868636,0.179748,0.042449,0.200
169,23.068455,0.188236,0.042449,0.200
170,23.268275,0.196723,0.042449,0.200
171,23.468095,0.205210,0.042449,0.200
172,23.568005,0.209454,0.042449,0.200
173,23.594846,0.210594,0.321452,0.200
174,23.689724,0.242189,0.321452,0.200
175,23.784602,0.273783,0.321452,0.200
176,23.879480,0.305377,0.321452,0.200
177,23.913038,0.316552,-0.013788,0.200
178,24.013029,0.315174,-0.013788,0.200
179,24.113019,0.313795,-0.013788,0.200
180,24.213010,0.312416,-0.013788,0.200
181,24.243408,0.311997,2.388420,0.200
182,24.213275,0.340248,-0.216797,0.200
183,24.310934,0.318737,-0.216797,0.200
184,24.408594,0.297227,-0.216797,0.200
185,24.506253,0.275717,-0.216797,0.200
186,24.603912,0.254206,-0.216797,0.200
187,24.687851,0.235718,0.113036,0.200
188,24.787213,0.246998,0.113036,0.200
189,24.886575,0.258277,0.113036,0.200
190,24.985937,0.269557,0.113036,0.200
191,25.085298,0.280836,0.113036,0.200
192,25.184660,0.292116,0.113036,0.200
193,25.200439,0.293907,0.000946,0.200
194,25.300439,0.294001,0.000946,0.200
195,25.400439,0.294096,0.000946,0.200
196,25.500439,0.294191,0.000946,0.200
197,25.700439,0.294380,0.000946,0.200
198,25.800439,0.294474,0.000946,0.200
199,25.900439,0.294569,0.000946,0.200
200,25.974923,0.294639,0.503018,0.200
201,26.062536,0.342847,0.503018,0.200
202,26.081219,0.353127,-0.109331,0.200
203,26.180622,0.342215,-0.109331,0.200
204,26.280025,0.331304,-0.109331,0.200
205,26.379428,0.320393,-0.109331,0.200
206,26.478831,0.309481,-0.109331,0.200
207,26.578234,0.298570,-0.109331,0.200
208,26.673132,0.288153,0.285712,0.200
209,26.762286,0.314342,1.402332,0.200
210,26.779053,0.412927,1.402332,0.200
211,26.784454,0.444684,-0.170588,0.200
212,26.883003,0.427707,-0.170588,0.200
213,26.981551,0.410731,-0.170588,0.200
214,27.080100,0.393755,-0.170588,0.200
215,27.178648,0.376779,-0.170588,0.200
216,27.210979,0.371210,0.024199,0.200
217,27.310950,0.373629,0.024199,0.200
218,27.410920,0.376049,0.024199,0.200
219,27.510891,0.378469,0.024199,0.200
220,27.610862,0.380888,0.024199,0.200
221,27.710833,0.383308,0.024199,0.200
222,27.727272,0.383706,0.540023,0.200
223,27.813041,0.435121,0.540023,0.200
224,27.844573,0.454023,-0.119720,0.200
225,27.943857,0.442080,-0.119720,0.200
226,28.043141,0.430136,-0.119720,0.200
227,28.142426,0.418193,-0.119720,0.200
228,28.241710,0.406249,-0.119720,0.200
229,28.340994,0.394306,-0.119720,0.200
230,28.374154,0.390317,-0.014197,0.200
