id,x,y,yaw,v
0,-0.020606,-0.005258,0.001105,0.200
1,-0.016615,-0.006844,0.001678,0.200
2,-0.015661,-0.008053,0.000471,0.200
3,-0.018619,-0.008228,0.001038,0.200
4,-0.019631,-0.010838,0.000346,0.200
5,-0.019468,-0.009433,0.001023,0.200
6,-0.021051,-0.005467,0.000065,0.200
7,-0.014934,0.001418,0.000222,0.200
8,-0.014201,-0.000814,0.000279,0.200
9,-0.015906,-0.004135,0.000525,0.200
10,-0.015391,-0.006589,0.000189,0.200
11,-0.014227,-0.007551,0.001104,0.200
12,-0.016813,-0.009004,0.000698,0.200
13,-0.018171,-0.005794,0.001093,0.200
14,-0.021359,-0.007740,0.000055,0.200
15,-0.021558,-0.012348,0.000242,0.200
16,-0.019655,-0.008179,0.000602,0.200
17,-0.019756,-0.012120,0.000756,0.200
18,-0.018601,0.000270,0.001229,0.200
19,-0.025100,-0.002345,-0.000258,0.200
20,-0.024908,-0.002806,0.000732,0.200
21,-0.020625,-0.007549,0.000490,0.200
22,-0.015139,-0.007644,0.001355,0.200
23,-0.012462,-0.003458,0.001457,0.200
24,-0.011317,-0.005433,0.001522,0.200
25,-0.016215,-0.002197,0.000991,0.200
26,-0.014823,-0.005943,0.001124,0.200
27,-0.016003,-0.002053,0.000313,0.200
28,-0.019959,-0.009882,0.000117,0.200
29,-0.027672,-0.006502,-0.000202,0.200
30,-0.020227,-0.004411,-0.000180,0.200
31,-0.018118,0.001137,-0.000063,0.200
32,-0.015539,-0.004297,0.000387,0.200
33,-0.010453,-0.005354,0.000696,0.200
34,-0.015008,-0.008756,0.000745,0.200
35,-0.016445,-0.011314,0.000062,0.200
36,-0.015539,-0.007320,0.000668,0.200
37,-0.016037,-0.005817,0.000774,0.200
38,-0.014796,-0.006545,0.000399,0.200
39,-0.012868,-0.003164,0.001243,0.200
40,-0.014652,-0.002551,0.001039,0.200
41,-0.015841,0.000279,0.000775,0.200
42,-0.014656,-0.002276,0.000297,0.200
43,-0.014286,-0.007133,0.001137,0.200
44,-0.013242,-0.008104,0.001058,0.200
45,-0.013877,-0.008342,0.001116,0.200
46,-0.016709,-0.006672,0.001330,0.200
47,-0.015965,-0.003804,0.001226,0.200
48,-0.018094,-0.009753,0.001437,0.200
49,-0.017182,-0.012832,0.000076,0.200
50,-0.019071,-0.011393,0.000191,0.200
51,-0.015644,-0.006370,0.001555,0.200
52,-0.017381,-0.004633,0.001329,0.200
53,-0.014673,-0.003778,0.001033,0.200
54,-0.020894,-0.010227,-0.000372,0.200
55,-0.018764,-0.009503,0.000443,0.200
56,-0.019230,-0.009612,0.000626,0.200
57,-0.016200,-0.011688,0.001293,0.200
58,-0.015603,-0.008747,0.000847,0.200
59,-0.017132,-0.003618,0.000213,0.200
60,-0.020513,-0.007721,0.000437,0.200
61,-0.017511,-0.009650,0.001306,0.200
62,-0.014678,-0.009006,0.000912,0.200
63,-0.012488,-0.006894,0.001254,0.200
64,-0.016459,-0.007317,0.001030,0.200
65,-0.019034,-0.007431,0.000530,0.200
66,-0.017220,-0.011092,0.000742,0.200
67,-0.018215,-0.010634,-0.000639,0.200
68,-0.020051,-0.007174,0.000374,0.200
69,-0.018495,-0.006233,0.001000,0.200
70,-0.015425,-0.002419,0.001557,0.200
71,-0.017707,-0.003608,-0.000234,0.200
72,-0.018350,-0.006761,0.000250,0.200
73,-0.018708,-0.007042,0.000559,0.200
74,-0.018022,-0.008349,0.000061,0.200
75,-0.018826,-0.007598,0.000934,0.200
76,-0.018480,-0.005695,0.000778,0.200
77,-0.018937,-0.012136,0.000207,0.200
78,-0.019253,-0.010502,0.000637,0.200
79,-0.019996,-0.008178,0.001259,0.200
80,-0.019344,-0.008854,0.000626,0.200
81,-0.019218,-0.003690,0.000101,0.200
82,-0.017867,-0.006341,0.000944,0.200
83,-0.018477,-0.007790,-0.000155,0.200
84,-0.019879,-0.007593,0.000219,0.200
85,-0.019397,-0.005811,0.000934,0.200
86,-0.016990,-0.002454,0.001089,0.200
87,-0.019170,-0.002499,0.000534,0.200
88,-0.017925,-0.004112,0.000992,0.200
89,-0.016540,-0.005541,0.001404,0.200
90,-0.017772,-0.008035,0.000142,0.200
91,-0.019296,-0.009899,-0.000187,0.200
92,-0.019805,-0.007308,0.000525,0.200
93,-0.020006,-0.004802,0.000643,0.200
94,-0.019737,-0.004627,0.000357,0.200
95,-0.019891,-0.003607,0.000000,0.200
96,-0.016411,-0.007630,0.000781,0.200
97,-0.017217,-0.006474,0.000641,0.200
98,-0.020749,-0.005925,-0.000085,0.200
99,-0.019222,-0.005862,0.000392,0.200
100,-0.014833,-0.008594,0.000617,0.200
101,-0.015386,-0.000334,0.000248,0.200
102,-0.019237,-0.008783,0.001483,0.200
103,-0.015720,-0.007239,0.001899,0.200
104,-0.018556,-0.013270,0.001252,0.200
105,-0.018749,-0.008411,0.000443,0.200
106,-0.015308,-0.008092,0.000560,0.200
107,-0.018539,-0.006841,0.000522,0.200
108,-0.020296,-0.003702,-0.000094,0.200
109,-0.016226,-0.005788,0.000790,0.200
110,-0.013061,-0.012700,0.000903,0.200
111,-0.012280,-0.007400,0.001103,0.200
112,-0.016984,-0.008896,0.000765,0.200
