id,x,y,yaw,v
0,0.082995,-0.041681,-0.032596,0.200
1,0.086689,-0.043176,-0.032640,0.200
2,0.083101,-0.045274,-0.034336,0.200
3,0.082960,-0.042846,-0.032763,0.200
4,0.083785,-0.043870,-0.033141,0.200
5,0.079771,-0.043657,-0.033213,0.200
6,0.080939,-0.043535,-0.033591,0.200
7,0.083335,-0.045767,-0.032220,0.200
8,0.083524,-0.046123,-0.033232,0.200
9,0.082417,-0.040755,-0.033963,0.200
10,0.082897,-0.041472,-0.032450,0.200
11,0.085800,-0.039825,-0.032274,0.200
12,0.085608,-0.040073,-0.032778,0.200
13,0.088374,-0.042519,-0.032500,0.200
14,0.089128,-0.044474,-0.031909,0.200
15,0.086066,-0.046096,-0.032934,0.200
16,0.084055,-0.044783,-0.032326,0.200
17,0.082726,-0.042689,-0.032615,0.200
18,0.079698,-0.045016,-0.032910,0.200
19,0.079370,-0.044068,-0.033247,0.200
20,0.083341,-0.044031,-0.032388,0.200
21,0.084554,-0.044340,-0.032625,0.200
22,0.082089,-0.045566,-0.032827,0.200
23,0.085746,-0.042652,-0.032069,0.200
24,0.087497,-0.050697,-0.031963,0.200
25,0.084129,-0.049080,-0.032261,0.200
26,0.081280,-0.044620,-0.033133,0.200
27,0.086751,-0.042830,-0.031809,0.200
28,0.088861,-0.043164,-0.032515,0.200
29,0.084275,-0.040463,-0.032288,0.200
30,0.083557,-0.041771,-0.032656,0.200
31,0.080643,-0.044960,-0.032600,0.200
32,0.080590,-0.049348,-0.032117,0.200
33,0.088300,-0.050826,-0.031610,0.200
34,0.087558,-0.044185,-0.032863,0.200
35,0.083997,-0.039350,-0.032087,0.200
36,0.086490,-0.041845,-0.032693,0.200
37,0.086756,-0.044313,-0.032008,0.200
38,0.082881,-0.046311,-0.032757,0.200
39,0.086536,-0.047548,-0.032629,0.200
40,0.087682,-0.045589,-0.031532,0.200
41,0.086441,-0.042954,-0.032240,0.200
42,0.084346,-0.045036,-0.033065,0.200
43,0.085454,-0.046476,-0.032567,0.200
44,0.083149,-0.044522,-0.032555,0.200
45,0.083563,-0.043908,-0.032652,0.200
46,0.086158,-0.043343,-0.032745,0.200
47,0.084165,-0.042856,-0.032446,0.200
48,0.084770,-0.042878,-0.031932,0.200
49,0.083757,-0.042421,-0.032439,0.200
50,0.085426,-0.042826,-0.031886,0.200
51,0.085459,-0.040159,-0.032216,0.200
52,0.086558,-0.040579,-0.032484,0.200
53,0.084978,-0.041794,-0.032727,0.200
54,0.083886,-0.045064,-0.032609,0.200
55,0.082093,-0.046083,-0.032256,0.200
56,0.080276,-0.044608,-0.032234,0.200
57,0.082843,-0.046166,-0.032534,0.200
58,0.082822,-0.045253,-0.032315,0.200
59,0.084033,-0.042863,-0.033664,0.200
60,0.091756,-0.046324,-0.036609,0.200
61,0.102379,-0.049160,-0.036551,0.200
62,0.110748,-0.051506,-0.036871,0.200
63,0.126186,-0.057088,-0.039776,0.200
64,0.147393,-0.060641,-0.039294,0.200
65,0.173655,-0.069716,-0.031891,0.200
66,0.205685,-0.066215,-0.034161,0.200
67,0.233424,-0.068145,-0.028584,0.200
68,0.262387,-0.067067,-0.028571,0.200
69,0.296681,-0.074293,-0.027239,0.200
70,0.319523,-0.070255,-0.046866,0.200
71,0.345182,-0.069000,-0.041618,0.200
72,0.370299,-0.069112,-0.049996,0.200
73,0.405018,-0.067431,-0.048426,0.200
74,0.444160,-0.071860,-0.042631,0.200
75,0.468183,-0.075649,-0.033366,0.200
76,0.496866,-0.084836,-0.016093,0.200
77,0.534121,-0.088410,-0.013119,0.200
