id,x,y,yaw,v
0,0.000223,0.039072,0.001736,0.200
1,0.403564,-0.010890,-0.000559,0.200
2,0.847034,-0.009266,0.001702,0.200
3,1.283329,-0.003863,-0.007372,0.200
4,1.453185,-0.379255,-1.270715,0.200
5,1.418282,-0.792834,-1.265523,0.200
6,1.455493,-1.209315,-1.251136,0.200
7,1.499080,-1.619791,-1.243903,0.200
8,1.624291,-2.018564,-1.102939,0.200
9,1.949508,-1.759828,0.491782,0.200
10,2.062659,-1.369555,0.943809,0.200
11,1.918077,-0.983016,1.395732,0.200
12,1.914289,-0.518155,1.378419,0.200
13,1.859188,-0.033549,1.394215,0.200
14,1.433076,0.042874,2.811087,0.200
15,0.982608,0.147242,2.788948,0.200
16,0.525595,0.253995,2.795957,0.200
17,0.047444,0.339004,2.804840,0.200
18,-0.353228,0.289228,-2.948616,0.200
