id,x,y,yaw,v
0,-0.056348,0.021611,0.036507,0.200
1,0.407053,0.015241,0.028329,0.200
2,0.894892,0.051785,0.043979,0.200
3,1.479479,0.020290,0.004650,0.200
4,2.082887,0.119346,0.028903,0.200
5,2.585875,0.147491,0.069341,0.200
6,3.007106,0.109068,0.046302,0.200
7,3.500053,0.191699,0.043259,0.200
8,3.983301,0.217945,0.089082,0.200
9,4.405757,0.273088,0.068905,0.200
10,4.849880,0.335958,0.091313,0.200
11,5.262682,0.406694,0.096181,0.200
12,5.698079,0.465179,0.113748,0.200
13,6.166712,0.501790,0.114959,0.200
14,6.584003,0.585310,0.092058,0.200
15,6.976942,0.675449,0.103835,0.200
16,7.438531,0.730028,0.097556,0.200
17,7.845477,0.799256,0.104127,0.200
18,8.273356,0.834663,0.096016,0.200
19,8.713848,0.943721,0.102069,0.200
20,9.204083,1.011083,0.133272,0.200
21,9.617529,1.024831,0.007174,0.200
22,10.036108,1.062532,0.001309,0.200
23,10.454522,1.042885,-0.004315,0.200
24,10.880807,1.071682,-0.000675,0.200
25,11.298786,1.080548,0.007228,0.200
26,11.728175,1.139854,0.014147,0.200
27,12.216830,1.128153,0.028626,0.200
28,12.649084,1.174553,0.017687,0.200
29,13.075233,1.165493,0.019657,0.200
30,13.521195,1.213797,0.027655,0.200
31,13.952508,1.243972,0.034580,0.200
32,14.473489,1.300628,0.050035,0.200
33,14.908994,1.265552,0.017279,0.200
34,15.342181,1.331608,0.021810,0.200
35,15.758639,1.342611,0.009768,0.200
36,16.204289,1.371004,0.021794,0.200
37,16.630907,1.425982,0.021262,0.200
38,17.046416,1.460892,0.010376,0.200
39,17.481693,1.482518,0.056677,0.200
40,17.933115,1.519920,0.064178,0.200
41,18.330318,1.632935,0.052173,0.200
42,18.784652,1.608527,0.066405,0.200
43,19.251489,1.591849,-0.090232,0.200
44,19.661002,1.533981,-0.080681,0.200
45,20.077304,1.495938,-0.091703,0.200
46,20.571556,1.430718,-0.057239,0.200
47,21.098580,1.429633,-0.085750,0.200
48,21.539377,1.405461,-0.079857,0.200
49,21.950805,1.384605,-0.070383,0.200
50,22.473596,1.323038,-0.082751,0.200
51,22.982446,1.292351,-0.070228,0.200
52,23.412906,1.300270,-0.054490,0.200
53,23.820221,1.237666,-0.048158,0.200
54,24.238372,1.216944,-0.059013,0.200
55,24.657412,1.266314,-0.053401,0.200
56,25.083714,1.225874,-0.039552,0.200
57,25.525168,1.169250,-0.020024,0.200
58,25.964295,1.183245,-0.032158,0.200
59,26.426477,1.112878,-0.037209,0.200
60,26.876481,1.103682,-0.039330,0.200
61,27.299724,1.166481,-0.017950,0.200
62,27.678462,0.684993,-0.060373,0.200
63,28.141250,0.650223,-0.068443,0.200
64,28.582435,0.841466,-0.056111,0.200
65,28.989927,0.828200,-0.045961,0.200
66,29.425593,0.809140,-0.030224,0.200
67,29.867384,0.777057,-0.032187,0.200
68,30.286238,0.800432,-0.023521,0.200
69,30.779415,0.887578,-0.024274,0.200
70,31.199785,0.925040,-0.006999,0.200
71,31.711102,0.913816,-0.010442,0.200
72,32.143220,0.969593,-0.002467,0.200
73,32.616951,1.002243,0.002715,0.200
74,33.082069,1.049971,-0.006273,0.200
75,33.515030,1.068842,-0.001371,0.200
76,34.003302,1.147084,0.011344,0.200
77,34.523690,1.199059,0.031131,0.200
78,34.947381,1.241015,0.020194,0.200
79,35.669981,1.349036,0.016147,0.200
80,36.075313,1.351024,0.039997,0.200
81,36.630796,1.298936,-0.017204,0.200
82,37.030629,1.367969,0.002490,0.200
83,37.538256,1.447554,0.011552,0.200
84,37.905045,1.655787,0.036749,0.200
85,38.380099,1.730943,0.059740,0.200
