id,x,y,yaw,v
0,-0.006807,0.008766,0.000524,0.200
1,0.193193,0.008871,0.000524,0.200
2,0.393193,0.008976,0.000524,0.200
3,0.593193,0.009080,0.000524,0.200
4,0.793193,0.009185,0.000524,0.200
5,0.993193,0.009290,0.000524,0.200
6,1.193193,0.009395,0.000524,0.200
7,1.393193,0.009500,0.000524,0.200
8,1.593193,0.009604,0.000524,0.200
9,1.793193,0.009709,0.000524,0.200
10,1.993193,0.009814,0.000524,0.200
11,2.193193,0.009919,0.000524,0.200
12,2.393193,0.010024,0.000524,0.200
13,2.593193,0.010128,0.000524,0.200
14,2.793193,0.010233,0.000524,0.200
15,2.993193,0.010338,0.000524,0.200
16,3.193193,0.010443,0.000524,0.200
17,3.393193,0.010547,0.000524,0.200
18,3.593193,0.010652,0.000524,0.200
19,3.693193,0.010705,0.000524,0.200
20,3.698411,0.010707,1.376421,0.200
21,3.717726,0.108824,1.376421,0.200
22,3.737041,0.206941,1.376421,0.200
23,3.753808,0.292112,0.077867,0.200
24,3.853505,0.299890,0.077867,0.200
25,3.953202,0.307669,0.077867,0.200
26,4.052899,0.315448,0.077867,0.200
27,4.252293,0.331006,0.077867,0.200
28,4.451687,0.346563,0.077867,0.200
29,4.651081,0.362121,0.077867,0.200
30,4.850475,0.377679,0.077867,0.200
31,5.049869,0.393236,0.077867,0.200
32,5.249263,0.408794,0.077867,0.200
33,5.448657,0.424352,0.077867,0.200
34,5.648051,0.439909,0.077867,0.200
35,5.847445,0.455467,0.077867,0.200
36,6.046839,0.471024,0.077867,0.200
37,6.146536,0.478803,0.077867,0.200
38,6.215420,0.484178,1.134929,0.200
39,6.257640,0.574828,1.134929,0.200
40,6.263042,0.586429,-0.001957,0.200
41,6.363042,0.586233,-0.001957,0.200
42,6.463042,0.586037,-0.001957,0.200
43,6.563042,0.585841,-0.001957,0.200
44,6.763041,0.585450,-0.001957,0.200
45,6.963041,0.585059,-0.001957,0.200
46,7.163041,0.584667,-0.001957,0.200
47,7.363040,0.584276,-0.001957,0.200
48,7.563040,0.583884,-0.001957,0.200
49,7.763040,0.583493,-0.001957,0.200
50,7.963039,0.583101,-0.001957,0.200
51,8.163039,0.582710,-0.001957,0.200
52,8.363038,0.582319,-0.001957,0.200
53,8.563038,0.581927,-0.001957,0.200
54,8.763038,0.581536,-0.001957,0.200
55,8.963037,0.581144,-0.001957,0.200
56,9.163037,0.580753,-0.001957,0.200
57,9.363036,0.580361,-0.001957,0.200
58,9.563036,0.579970,-0.001957,0.200
59,9.763036,0.579579,-0.001957,0.200
60,9.963035,0.579187,-0.001957,0.200
61,10.163035,0.578796,-0.001957,0.200
62,10.363035,0.578404,-0.001957,0.200
63,10.563034,0.578013,-0.001957,0.200
64,10.763034,0.577621,-0.001957,0.200
65,10.963033,0.577230,-0.001957,0.200
66,11.163033,0.576839,-0.001957,0.200
67,11.363033,0.576447,-0.001957,0.200
68,11.563032,0.576056,-0.001957,0.200
69,11.763032,0.575664,-0.001957,0.200
70,11.963031,0.575273,-0.001957,0.200
71,12.163031,0.574881,-0.001957,0.200
72,12.363031,0.574490,-0.001957,0.200
73,12.563030,0.574099,-0.001957,0.200
74,12.763030,0.573707,-0.001957,0.200
75,12.963030,0.573316,-0.001957,0.200
76,13.163029,0.572924,-0.001957,0.200
77,13.363029,0.572533,-0.001957,0.200
78,13.563028,0.572141,-0.001957,0.200
79,13.763028,0.571750,-0.001957,0.200
80,13.963028,0.571359,-0.001957,0.200
81,14.163027,0.570967,-0.001957,0.200
82,14.363027,0.570576,-0.001957,0.200
83,14.563027,0.570184,-0.001957,0.200
84,14.763026,0.569793,-0.001957,0.200
85,14.963026,0.569401,-0.001957,0.200
86,15.163025,0.569010,-0.001957,0.200
87,15.363025,0.568619,-0.001957,0.200
88,15.563025,0.568227,-0.001957,0.200
89,15.763024,0.567836,-0.001957,0.200
90,15.963024,0.567444,-0.001957,0.200
91,16.163023,0.567053,-0.001957,0.200
92,16.363023,0.566661,-0.001957,0.200
93,16.563023,0.566270,-0.001957,0.200
94,16.763022,0.565879,-0.001957,0.200
95,16.963022,0.565487,-0.001957,0.200
96,17.163022,0.565096,-0.001957,0.200
97,17.363021,0.564704,-0.001957,0.200
98,17.563021,0.564313,-0.001957,0.200
99,17.763020,0.563921,-0.001957,0.200
100,17.863020,0.563726,-0.001957,0.200
101,17.963020,0.563530,-0.001957,0.200
102,18.000957,0.563456,1.388878,0.200
103,18.019049,0.661806,1.388878,0.200
104,18.024705,0.692554,0.052450,0.200
105,18.124567,0.697796,0.052450,0.200
106,18.224430,0.703039,0.052450,0.200
107,18.324292,0.708281,0.052450,0.200
108,18.524017,0.718767,0.052450,0.200
109,18.723742,0.729252,0.052450,0.200
110,18.923467,0.739737,0.052450,0.200
111,19.123192,0.750222,0.052450,0.200
112,19.322917,0.760707,0.052450,0.200
113,19.522642,0.771192,0.052450,0.200
114,19.722367,0.781677,0.052450,0.200
115,19.922092,0.792162,0.052450,0.200
116,20.121817,0.802648,0.052450,0.200
117,20.321542,0.813133,0.052450,0.200
118,20.521267,0.823618,0.052450,0.200
119,20.720992,0.834103,0.052450,0.200
120,20.920717,0.844588,0.052450,0.200
121,21.120442,0.855073,0.052450,0.200
122,21.320167,0.865558,0.052450,0.200
123,21.519892,0.876044,0.052450,0.200
124,21.719617,0.886529,0.052450,0.200
125,21.919342,0.897014,0.052450,0.200
126,22.119067,0.907499,0.052450,0.200
127,22.318792,0.917984,0.052450,0.200
128,22.518517,0.928469,0.052450,0.200
129,22.618379,0.933712,0.052450,0.200
130,22.664979,0.936158,0.873533,0.200
131,22.721446,1.003572,-0.553676,0.200
132,22.806506,0.950990,-0.553676,0.200
133,22.891566,0.898408,-0.553676,0.200
134,22.907133,0.888785,-0.271113,0.200
135,23.003480,0.862004,-0.271113,0.200
136,23.099828,0.835224,-0.271113,0.200
137,23.196175,0.808444,-0.271113,0.200
138,23.388870,0.754883,-0.271113,0.200
139,23.581564,0.701322,-0.271113,0.200
140,23.774259,0.647761,-0.271113,0.200
141,23.966954,0.594201,-0.271113,0.200
142,24.159649,0.540640,-0.271113,0.200
143,24.352343,0.487079,-0.271113,0.200
144,24.545038,0.433518,-0.271113,0.200
145,24.737733,0.379957,-0.271113,0.200
146,24.930427,0.326397,-0.271113,0.200
147,25.123122,0.272836,-0.271113,0.200
148,25.315817,0.219275,-0.271113,0.200
149,25.344245,0.211373,-0.219876,0.200
150,25.539430,0.167752,-0.219876,0.200
151,25.734614,0.124130,-0.219876,0.200
152,25.929799,0.080508,-0.219876,0.200
153,26.124984,0.036886,-0.219876,0.200
154,26.320169,-0.006736,-0.219876,0.200
155,26.515354,-0.050357,-0.219876,0.200
156,26.710539,-0.093979,-0.219876,0.200
157,26.905724,-0.137601,-0.219876,0.200
158,27.100909,-0.181223,-0.219876,0.200
159,27.296093,-0.224845,-0.219876,0.200
160,27.491278,-0.268467,-0.219876,0.200
161,27.686463,-0.312088,-0.219876,0.200
162,27.881648,-0.355710,-0.219876,0.200
163,28.076833,-0.399332,-0.219876,0.200
164,28.272018,-0.442954,-0.219876,0.200
165,28.467203,-0.486576,-0.219876,0.200
166,28.662388,-0.530197,-0.219876,0.200
167,28.857573,-0.573819,-0.219876,0.200
168,29.052757,-0.617441,-0.219876,0.200
169,29.247942,-0.661063,-0.219876,0.200
170,29.443127,-0.704685,-0.219876,0.200
171,29.638312,-0.748306,-0.219876,0.200
172,29.833497,-0.791928,-0.219876,0.200
173,29.931089,-0.813739,-0.219876,0.200
174,30.028682,-0.835550,-0.219876,0.200
175,30.120582,-0.856089,-0.117346,0.200
176,30.219894,-0.867797,-0.117346,0.200
177,30.319207,-0.879504,-0.117346,0.200
178,30.418519,-0.891212,-0.117346,0.200
179,30.617143,-0.914627,-0.117346,0.200
180,30.716456,-0.926335,-0.117346,0.200
181,30.724056,-0.927231,0.001238,0.200
182,30.824056,-0.927107,0.001238,0.200
183,30.924056,-0.926984,0.001238,0.200
184,31.024056,-0.926860,0.001238,0.200
185,31.224056,-0.926612,0.001238,0.200
186,31.424055,-0.926365,0.001238,0.200
187,31.624055,-0.926117,0.001238,0.200
188,31.824055,-0.925870,0.001238,0.200
189,32.024055,-0.925622,0.001238,0.200
190,32.224055,-0.925375,0.001238,0.200
191,32.424055,-0.925127,0.001238,0.200
192,32.624055,-0.924879,0.001238,0.200
193,32.824054,-0.924632,0.001238,0.200
194,33.024054,-0.924384,0.001238,0.200
195,33.224054,-0.924137,0.001238,0.200
196,33.424054,-0.923889,0.001238,0.200
197,33.624054,-0.923642,0.001238,0.200
198,33.824054,-0.923394,0.001238,0.200
199,34.024053,-0.923147,0.001238,0.200
200,34.224053,-0.922899,0.001238,0.200
201,34.424053,-0.922652,0.001238,0.200
202,34.624053,-0.922404,0.001238,0.200
203,34.824053,-0.922157,0.001238,0.200
204,35.024053,-0.921909,0.001238,0.200
205,35.224053,-0.921661,0.001238,0.200
206,35.424052,-0.921414,0.001238,0.200
207,35.624052,-0.921166,0.001238,0.200
208,35.824052,-0.920919,0.001238,0.200
209,36.024052,-0.920671,0.001238,0.200
210,36.224052,-0.920424,0.001238,0.200
211,36.424052,-0.920176,0.001238,0.200
212,36.624051,-0.919929,0.001238,0.200
