id,x,y,yaw,v
0,0.000000000,0.000000000,0.238234863,0.200
1,0.467578952,0.102001638,0.224399254,0.200
2,0.928624192,0.227966360,0.248532931,0.200
3,1.359934881,0.332783348,0.256728274,0.200
4,1.817461553,0.485611507,0.261526440,0.200
5,2.248974452,0.606082415,0.270140812,0.200
6,2.658150571,0.739782964,0.280855198,0.200
7,3.125936057,0.876843403,0.289199027,0.200
8,3.540649059,1.020857416,0.289058542,0.200
9,3.994189252,1.167273397,0.231087430,0.200
10,4.441908960,1.238786673,0.135430857,0.200
11,4.888835934,1.288132666,0.107798751,0.200
12,5.360322408,1.354915846,0.117815281,0.200
13,5.869167500,1.421766563,0.117020472,0.200
14,6.346813831,1.490352754,0.130351944,0.200
15,6.830816911,1.564516554,0.138211142,0.200
16,7.261477437,1.637831002,0.142305608,0.200
17,7.754714115,1.721113377,0.138492564,0.200
18,8.228044701,1.811115871,0.140336711,0.200
19,8.710570550,1.876479241,0.140416272,0.200
20,9.148598692,1.949661127,0.150329852,0.200
21,9.614664521,2.044009796,0.159651405,0.200
22,10.083139702,2.115083995,0.175117391,0.200
23,10.529924051,2.209400550,0.179607873,0.200
24,10.984579607,2.271050062,0.177310574,0.200
25,11.473705184,2.387959930,0.181322698,0.200
26,11.956875345,2.495021885,0.176693306,0.200
27,12.453997294,2.594532663,0.185999765,0.200
28,12.930243339,2.672682534,0.195870945,0.200
29,13.392953028,2.788708300,0.210885434,0.200
30,13.867774554,2.893094686,0.219431339,0.200
31,14.286504704,3.004513201,0.228033880,0.200
32,14.756338486,3.120737264,0.226556549,0.200
33,15.244226422,3.231120987,0.233997911,0.200
34,15.678250611,3.340759284,0.245463183,0.200
35,16.139799440,3.486409388,0.248952413,0.200
36,16.577057266,3.575961852,0.254804814,0.200
37,17.025860918,3.692217589,0.267200381,0.200
38,17.501871494,3.823518833,0.282592402,0.200
39,17.944146463,3.973261375,0.290614577,0.200
40,18.394744497,4.090605763,0.298826392,0.200
41,18.811067159,4.239994048,0.303108802,0.200
42,19.235846552,4.376783840,0.306648859,0.200
43,19.657134751,4.513633389,0.307071890,0.200
44,20.115980850,4.636234307,0.180483154,0.200
45,20.531542243,4.723391578,0.178143218,0.200
46,20.959201130,4.819840656,0.186255054,0.200
47,21.465348717,4.898426081,0.196673427,0.200
48,21.887346551,5.007796298,0.195347730,0.200
49,22.319277872,5.107894503,0.194380456,0.200
50,22.775012871,5.222322384,0.199270090,0.200
51,23.270584358,5.305474885,0.214045178,0.200
