id,x,y,yaw,v
0,-0.007381,-0.015780,-0.012472,0.200
1,0.392588,-0.020768,-0.012472,0.200
2,0.792557,-0.025757,-0.012472,0.200
3,1.192526,-0.030746,-0.012472,0.200
4,1.592495,-0.035735,-0.012472,0.200
5,1.992464,-0.040723,-0.012472,0.200
6,2.392433,-0.045712,-0.012472,0.200
7,2.692409,-0.049454,-0.012472,0.200
8,2.702876,-0.049584,0.109576,0.200
9,3.001076,-0.016777,0.109576,0.200
10,3.077560,-0.008363,-0.077289,0.200
11,3.376665,-0.031526,-0.077289,0.200
12,3.499807,-0.041063,0.027793,0.200
13,3.799691,-0.032726,0.027793,0.200
14,4.099575,-0.024389,0.027793,0.200
15,4.499420,-0.013274,0.027793,0.200
16,4.899266,-0.002158,0.027793,0.200
17,5.299111,0.008958,0.027793,0.200
18,5.500859,0.014566,0.088703,0.200
19,5.899287,0.050001,0.088703,0.200
20,6.297714,0.085436,0.088703,0.200
21,6.696141,0.120870,0.088703,0.200
22,7.094569,0.156305,0.088703,0.200
23,7.492996,0.191740,0.088703,0.200
24,7.626170,0.203584,0.046171,0.200
25,8.025743,0.222045,0.046171,0.200
26,8.425317,0.240507,0.046171,0.200
27,8.724997,0.254354,0.046171,0.200
28,8.812234,0.258384,0.284466,0.200
29,8.964316,0.302853,-0.116547,0.200
30,9.262281,0.267967,-0.116547,0.200
31,9.466637,0.244042,-0.009043,0.200
32,9.766625,0.241329,-0.009043,0.200
33,10.066613,0.238616,-0.009043,0.200
34,10.328971,0.236244,0.048466,0.200
35,10.728502,0.255623,0.048466,0.200
36,11.128032,0.275001,0.048466,0.200
37,11.527562,0.294380,0.048466,0.200
38,11.927093,0.313759,0.048466,0.200
39,12.326623,0.333137,0.048466,0.200
40,12.726153,0.352516,0.048466,0.200
41,13.125684,0.371895,0.048466,0.200
42,13.525214,0.391273,0.048466,0.200
43,13.883133,0.408634,-0.029468,0.200
44,14.282959,0.396848,-0.029468,0.200
45,14.492290,0.390678,0.162383,0.200
46,14.788344,0.439179,0.162383,0.200
47,14.991436,0.472451,-0.000188,0.200
48,15.291436,0.472394,-0.000188,0.200
49,15.591436,0.472338,-0.000188,0.200
50,15.610858,0.472334,0.205364,0.200
51,15.904554,0.533511,0.205364,0.200
52,15.962744,0.545632,0.078141,0.200
53,16.261829,0.569050,0.078141,0.200
54,16.560913,0.592469,0.078141,0.200
55,16.959692,0.623693,0.078141,0.200
56,17.358472,0.654918,0.078141,0.200
57,17.657556,0.678337,0.078141,0.200
58,17.666182,0.679012,-0.088929,0.200
59,17.964997,0.652369,-0.088929,0.200
60,18.263811,0.625725,-0.088929,0.200
61,18.662231,0.590201,-0.088929,0.200
62,19.060650,0.554676,-0.088929,0.200
63,19.459070,0.519152,-0.088929,0.200
64,19.857489,0.483627,-0.088929,0.200
65,20.255908,0.448102,-0.088929,0.200
66,20.654328,0.412578,-0.088929,0.200
67,21.052747,0.377053,-0.088929,0.200
68,21.451167,0.341529,-0.088929,0.200
69,21.849586,0.306004,-0.088929,0.200
70,22.248005,0.270480,-0.088929,0.200
71,22.646425,0.234955,-0.088929,0.200
72,23.044844,0.199430,-0.088929,0.200
73,23.443263,0.163906,-0.088929,0.200
74,23.841683,0.128381,-0.088929,0.200
75,24.240102,0.092857,-0.088929,0.200
76,24.638522,0.057332,-0.088929,0.200
77,25.036941,0.021808,-0.088929,0.200
78,25.435360,-0.013717,-0.088929,0.200
79,25.833780,-0.049242,-0.088929,0.200
80,26.232199,-0.084766,-0.088929,0.200
81,26.630619,-0.120291,-0.088929,0.200
82,27.029038,-0.155815,-0.088929,0.200
83,27.427457,-0.191340,-0.088929,0.200
84,27.825877,-0.226864,-0.088929,0.200
85,28.224296,-0.262389,-0.088929,0.200
86,28.622715,-0.297913,-0.088929,0.200
87,28.872742,-0.320207,-1.024977,0.200
88,28.932726,-0.418969,0.010838,0.200
89,29.232709,-0.415717,0.010838,0.200
90,29.532691,-0.412466,0.010838,0.200
91,29.932668,-0.408130,0.010838,0.200
92,30.332644,-0.403795,0.010838,0.200
93,30.732621,-0.399460,0.010838,0.200
94,31.132597,-0.395125,0.010838,0.200
95,31.532574,-0.390790,0.010838,0.200
96,31.932550,-0.386454,0.010838,0.200
97,32.332527,-0.382119,0.010838,0.200
98,32.732503,-0.377784,0.010838,0.200
99,33.132480,-0.373449,0.010838,0.200
100,33.532456,-0.369113,0.010838,0.200
101,33.932433,-0.364778,0.010838,0.200
102,34.332409,-0.360443,0.010838,0.200
103,34.732386,-0.356108,0.010838,0.200
104,35.132362,-0.351772,0.010838,0.200
105,35.532339,-0.347437,0.010838,0.200
106,35.932315,-0.343102,0.010838,0.200
107,36.332292,-0.338767,0.010838,0.200
108,36.732268,-0.334431,0.010838,0.200
109,37.132245,-0.330096,0.010838,0.200
110,37.532221,-0.325761,0.010838,0.200
111,37.932198,-0.321426,0.010838,0.200
