id,x,y,yaw,v
0,-0.007381,-0.015780,-0.000437,0.200
1,0.146262,-0.015181,-0.001962,0.200
2,0.299904,-0.014581,-0.003488,0.200
3,0.453547,-0.013982,-0.005013,0.200
4,0.658006,-0.016148,-0.010117,0.200
5,0.862466,-0.018314,-0.015222,0.200
6,1.016980,-0.018015,-0.014975,0.200
7,1.171495,-0.017716,-0.014728,0.200
8,1.326009,-0.017417,-0.014481,0.200
9,1.527687,-0.025454,-0.014523,0.200
10,1.729366,-0.033492,-0.014564,0.200
11,1.881449,-0.036029,-0.012167,0.200
12,2.033532,-0.038567,-0.009769,0.200
13,2.185615,-0.041104,-0.007372,0.200
14,2.334056,-0.042339,-0.009196,0.200
15,2.482496,-0.043573,-0.011021,0.200
16,2.630937,-0.044808,-0.012845,0.200
17,2.779811,-0.032660,-0.010053,0.200
18,2.928686,-0.020511,-0.007262,0.200
19,3.077560,-0.008363,-0.004470,0.200
20,3.288684,-0.024713,0.003926,0.200
21,3.499807,-0.041063,0.012322,0.200
22,3.709232,-0.037378,0.018186,0.200
23,3.918656,-0.033692,0.024049,0.200
24,4.074653,-0.028758,0.019721,0.200
25,4.230649,-0.023824,0.015394,0.200
26,4.386646,-0.018890,0.011066,0.200
27,4.538207,-0.008648,0.010334,0.200
28,4.689769,0.001594,0.009602,0.200
29,4.841330,0.011836,0.008870,0.200
30,5.059779,0.016804,0.008311,0.200
31,5.278229,0.021772,0.007753,0.200
32,5.468411,0.030343,0.013536,0.200
33,5.658592,0.038913,0.019319,0.200
34,5.848774,0.047484,0.025102,0.200
35,6.011200,0.057030,0.032435,0.200
36,6.173627,0.066577,0.039769,0.200
37,6.336053,0.076123,0.047102,0.200
38,6.542376,0.093606,0.038012,0.200
39,6.748699,0.111090,0.028922,0.200
40,6.965915,0.129702,0.023898,0.200
41,7.183130,0.148314,0.018875,0.200
42,7.330810,0.166737,0.024748,0.200
43,7.478490,0.185161,0.030620,0.200
44,7.626170,0.203584,0.036493,0.200
45,7.778827,0.206789,0.038042,0.200
46,7.931484,0.209993,0.039592,0.200
47,8.084141,0.213198,0.041141,0.200
48,8.230436,0.224383,0.044013,0.200
49,8.376731,0.235568,0.046885,0.200
50,8.523026,0.246753,0.049757,0.200
51,8.670123,0.265453,0.036625,0.200
52,8.817219,0.284153,0.023492,0.200
53,8.964316,0.302853,0.010360,0.200
54,9.178810,0.279116,-0.004509,0.200
55,9.393304,0.255380,-0.019378,0.200
56,9.542910,0.252975,-0.018893,0.200
57,9.692517,0.250569,-0.018407,0.200
58,9.842123,0.248164,-0.017922,0.200
59,10.051561,0.242978,-0.021133,0.200
60,10.260999,0.237792,-0.024345,0.200
