id,x,y,yaw,v
0,-0.007381,-0.015780,-0.012472,0.200
1,0.192603,-0.018274,-0.012472,0.200
2,0.392588,-0.020769,-0.012472,0.200
3,0.592572,-0.023263,-0.012472,0.200
4,0.792557,-0.025757,-0.012472,0.200
5,0.992541,-0.028252,-0.012472,0.200
6,1.192526,-0.030746,-0.012472,0.200
7,1.392510,-0.033240,-0.012472,0.200
8,1.592495,-0.035735,-0.012472,0.200
9,1.792479,-0.038229,-0.012472,0.200
10,1.992463,-0.040723,-0.012472,0.200
11,2.192448,-0.043218,-0.012472,0.200
12,2.392432,-0.045712,-0.012472,0.200
13,2.592417,-0.048206,-0.012472,0.200
14,2.702876,-0.049584,0.109575,0.200
15,2.901677,-0.027713,0.109575,0.200
16,3.077560,-0.008363,-0.026186,0.200
17,3.277491,-0.013600,-0.026186,0.200
18,3.477423,-0.018836,-0.026186,0.200
19,3.677354,-0.024073,-0.026186,0.200
20,3.877286,-0.029309,-0.026186,0.200
21,4.077217,-0.034546,0.038016,0.200
22,4.279061,-0.026869,0.038656,0.200
23,4.478911,-0.019139,0.038656,0.200
24,4.678762,-0.011410,0.038656,0.200
25,4.878612,-0.003681,0.038656,0.200
26,5.078463,0.004048,0.038656,0.200
27,5.278314,0.011778,0.038656,0.200
28,5.428186,0.017574,0.074724,0.200
29,5.627628,0.032505,0.074724,0.200
30,5.827070,0.047436,0.074724,0.200
31,6.026512,0.062367,0.074724,0.200
32,6.225954,0.077298,0.074724,0.200
33,6.425395,0.092229,0.074724,0.200
34,6.624837,0.107160,0.074724,0.200
35,6.824279,0.122091,0.074724,0.200
36,7.023721,0.137022,0.074724,0.200
37,7.223163,0.151953,0.074724,0.200
38,7.422605,0.166884,0.074724,0.200
39,7.622047,0.181815,0.074724,0.200
40,7.821489,0.196746,0.074724,0.200
41,8.020931,0.211677,0.074724,0.200
42,8.220372,0.226608,0.074724,0.200
43,8.419814,0.241539,0.074724,0.200
44,8.619256,0.256470,0.074724,0.200
45,8.818698,0.271401,0.074724,0.200
46,9.018140,0.286332,0.074724,0.200
47,9.173588,0.297969,-0.153054,0.200
48,9.371250,0.267478,-0.153054,0.200
49,9.532766,0.242562,0.009841,0.200
50,9.732756,0.244530,0.009841,0.200
51,9.932747,0.246498,0.009841,0.200
52,10.132737,0.248466,0.009841,0.200
53,10.332727,0.250435,0.009841,0.200
54,10.532718,0.252403,0.009841,0.200
55,10.569523,0.252765,0.045975,0.200
56,10.769312,0.261957,0.045975,0.200
57,10.969100,0.271149,0.045975,0.200
58,11.168889,0.280341,0.045975,0.200
59,11.368678,0.289532,0.045975,0.200
60,11.568466,0.298724,0.045975,0.200
61,11.768255,0.307916,0.045975,0.200
62,11.968044,0.317108,0.045975,0.200
63,12.167832,0.326300,0.045975,0.200
64,12.367621,0.335492,0.045975,0.200
65,12.567410,0.344684,0.045975,0.200
66,12.767198,0.353875,0.045975,0.200
67,12.966987,0.363067,0.045975,0.200
68,13.166776,0.372259,0.045975,0.200
69,13.366564,0.381451,0.045975,0.200
70,13.566353,0.390643,0.045975,0.200
71,13.766142,0.399835,0.045975,0.200
72,13.965930,0.409027,0.045975,0.200
73,14.165719,0.418218,0.045975,0.200
74,14.188011,0.419244,-0.093607,0.200
75,14.387135,0.400550,-0.093607,0.200
76,14.492290,0.390678,0.086319,0.200
77,14.691545,0.407920,0.086319,0.200
78,14.890801,0.425163,0.086319,0.200
79,15.090056,0.442405,0.086319,0.200
80,15.289311,0.459647,0.086319,0.200
81,15.488567,0.476889,0.086319,0.200
82,15.687822,0.494132,0.086319,0.200
83,15.887078,0.511374,0.086319,0.200
84,16.086333,0.528616,0.086319,0.200
85,16.285588,0.545859,0.086319,0.200
86,16.484844,0.563101,0.086319,0.200
87,16.684099,0.580343,0.086319,0.200
88,16.883354,0.597586,0.086319,0.200
89,17.082610,0.614828,0.086319,0.200
90,17.281865,0.632070,0.086319,0.200
91,17.481121,0.649312,0.086319,0.200
92,17.680376,0.666555,0.086319,0.200
93,17.739754,0.671693,-0.029250,0.200
94,17.939668,0.665844,-0.029250,0.200
95,18.105023,0.661006,-0.146709,0.200
96,18.302875,0.631769,-0.146709,0.200
97,18.500726,0.602533,-0.146709,0.200
98,18.698578,0.573296,-0.146709,0.200
99,18.896429,0.544059,-0.146709,0.200
100,19.094281,0.514823,-0.146709,0.200
101,19.292132,0.485586,-0.146709,0.200
102,19.489984,0.456349,-0.146709,0.200
103,19.687835,0.427113,-0.146709,0.200
104,19.885687,0.397876,-0.146709,0.200
105,20.083538,0.368639,-0.146709,0.200
106,20.281390,0.339403,-0.146709,0.200
107,20.479241,0.310166,-0.146709,0.200
