id,x,y,yaw,v
0,0.004785,0.013695,-0.000230,0.200
1,0.426024,-0.006960,0.002483,0.200
2,0.868874,-0.022054,0.014188,0.200
3,1.363135,-0.025100,0.009654,0.200
4,1.801213,-0.013638,0.017023,0.200
5,2.256615,0.017403,0.051331,0.200
6,2.691089,0.067999,0.118936,0.200
7,3.153729,0.129290,0.132874,0.200
8,3.634175,0.222436,0.169056,0.200
9,4.035751,0.319958,0.201906,0.200
10,4.435758,0.388964,0.184302,0.200
11,4.954181,0.468680,0.191354,0.200
12,5.365163,0.534867,0.187873,0.200
13,5.805101,0.593620,0.190756,0.200
14,6.241816,0.664327,0.086121,0.200
15,6.694221,0.718040,0.096307,0.200
16,7.233570,0.730061,0.079311,0.200
17,7.786821,0.795688,0.076112,0.200
18,8.202491,0.820726,0.098159,0.200
19,8.622265,0.860126,0.103414,0.200
20,9.136771,0.885093,0.104140,0.200
21,9.564438,0.936622,0.093858,0.200
22,9.973493,0.991528,0.113266,0.200
23,10.384402,1.204942,0.601456,0.200
24,10.754896,1.446404,0.588971,0.200
25,11.125694,1.768091,0.586342,0.200
26,11.482034,2.017653,0.577234,0.200
27,11.841111,2.233934,0.597966,0.200
28,12.183746,2.500510,0.603164,0.200
29,12.525062,2.726984,0.594349,0.200
30,12.890738,2.964059,0.595160,0.200
31,13.264591,3.222209,0.588287,0.200
32,13.602972,3.450267,0.553545,0.200
33,14.042108,3.574618,0.323094,0.200
34,14.461276,3.718735,0.189675,0.200
35,14.857764,3.797367,0.219978,0.200
36,15.362081,3.907054,0.217790,0.200
37,15.872109,4.016081,0.126711,0.200
38,16.352153,4.016178,0.080469,0.200
39,16.880882,4.034817,0.071652,0.200
40,17.428770,4.055448,0.077723,0.200
41,17.831252,4.109223,0.082654,0.200
42,18.339564,4.092935,0.086855,0.200
43,18.822916,4.142499,0.085621,0.200
44,19.263133,4.210696,0.082872,0.200
45,19.690080,4.242954,0.091735,0.200
46,20.132611,4.260547,0.075842,0.200
47,20.553082,4.284082,0.091368,0.200
48,20.985157,4.319797,0.082200,0.200
49,21.427954,4.363933,0.083313,0.200
50,21.874260,4.438731,0.087075,0.200
51,22.330476,4.466989,0.071102,0.200
52,22.744966,4.476355,0.095909,0.200
53,23.168544,4.490177,0.098778,0.200
54,23.591724,4.514369,0.082455,0.200
55,24.039527,4.549791,0.081826,0.200
56,24.512697,4.586109,0.075336,0.200
