id,x,y,yaw,v
0,-0.0070,0.0090,0.0005,0.200
1,0.1930,0.0090,0.0000,0.200
2,0.3930,0.0090,0.0000,0.200
3,0.5930,0.0090,0.0006,0.200
4,0.7930,0.0091,0.0008,0.200
5,0.9930,0.0093,0.0006,0.200
6,1.1930,0.0094,0.0004,0.200
7,1.3930,0.0095,0.0003,0.200
8,1.5930,0.0095,0.0003,0.200
9,1.7930,0.0096,0.0007,0.200
10,1.9930,0.0097,0.0007,0.200
11,2.1930,0.0099,0.0011,0.200
12,2.3930,0.0101,0.0139,0.200
13,2.5930,0.0129,0.0181,0.200
14,2.7929,0.0165,0.0229,0.200
15,2.9929,0.0211,0.0305,0.200
16,3.1928,0.0272,0.0383,0.200
17,3.3927,0.0348,0.0459,0.200
18,3.5924,0.0440,0.0536,0.200
19,3.7922,0.0547,0.0613,0.200
20,3.9918,0.0670,0.0689,0.200
21,4.1913,0.0807,0.0767,0.200
22,4.3907,0.0961,0.0848,0.200
23,4.5900,0.1130,0.0924,0.200
24,4.7891,0.1314,0.0994,0.200
25,4.9882,0.1513,0.0930,0.200
26,5.1873,0.1699,0.0802,0.200
27,5.3866,0.1859,0.0775,0.200
28,5.5860,0.2014,0.0746,0.200
29,5.7855,0.2163,0.0711,0.200
30,5.9850,0.2305,0.0680,0.200
31,6.1845,0.2441,0.0645,0.200
32,6.3841,0.2570,0.0614,0.200
33,6.5837,0.2692,0.0582,0.200
34,6.7834,0.2809,0.0549,0.200
35,6.9831,0.2919,0.0516,0.200
36,7.1828,0.3022,0.0485,0.200
37,7.3826,0.3119,0.0451,0.200
38,7.5824,0.3209,0.0439,0.200
39,7.7822,0.3297,0.0437,0.200
40,7.9820,0.3384,0.0504,0.200
41,8.1817,0.3485,0.0507,0.200
42,8.3815,0.3586,0.0504,0.200
43,8.5812,0.3687,0.0504,0.200
44,8.7810,0.3788,0.0504,0.200
45,8.9807,0.3888,0.0504,0.200
46,9.1805,0.3989,0.0507,0.200
47,9.3802,0.4090,0.0504,0.200
48,9.5800,0.4191,0.0504,0.200
49,9.7797,0.4292,0.0504,0.200
50,9.9794,0.4392,0.0504,0.200
51,10.1792,0.4493,0.0504,0.200
52,10.3789,0.4594,0.0504,0.200
53,10.5787,0.4694,0.0504,0.200
54,10.7784,0.4795,0.0504,0.200
55,10.9782,0.4896,0.0504,0.200
56,11.1779,0.4996,0.0504,0.200
57,11.3777,0.5097,0.0504,0.200
58,11.5774,0.5198,0.0504,0.200
59,11.7772,0.5298,0.0507,0.200
60,11.9769,0.5400,0.0504,0.200
61,12.1767,0.5500,0.0504,0.200
62,12.3764,0.5601,0.0504,0.200
63,12.5761,0.5702,0.0504,0.200
64,12.7759,0.5802,0.0507,0.200
65,12.9756,0.5904,0.0504,0.200
66,13.1754,0.6004,0.0504,0.200
67,13.3751,0.6105,0.0504,0.200
